id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	旭川医療センター	https://asahikawa.hosp.go.jp/	310	旭川市花咲町7-4048	0166-51-3161	43.798897	142.381932
2	独立行政法人国立病院機構	函館病院	http://hnh-hosp.jp/	310	函館市川原町18-16	0138-51-6281	41.788905	140.774105
3	独立行政法人国立病院機構	北海道医療センター	http://www.hosp.go.jp/~hokkaidomc/	500	札幌市西区山の手5条7-1-1	011-611-8111	43.069017	141.290226
4	国立大学法人	北海道大学病院	http://www.huhp.hokudai.ac.jp	944	札幌市北区北14条西5	011-716-1161	43.077247	141.345618
5	独立行政法人労働者健康安全機構	釧路労災病院	http://www.kushiroh.johas.go.jp	450	釧路市中園町13-23	0154-22-7191	43.00739	144.384587
6	独立行政法人労働者健康安全機構	北海道中央労災病院	http://hokkaidoh.johas.go.jp/	199	岩見沢市4条東16-5	0126-22-1300	43.215844	141.789906
7	独立行政法人地域医療機能推進機構	独立行政法人地域医療機能推進機構　札幌北辰病院	http://hokushin.jcho.go.jp/	276	札幌市厚別区厚別中央2条6-2-1	011-893-3000	43.041785	141.473877
8	独立行政法人地域医療機能推進機構	登別病院	https://noboribetsu.jcho.go.jp/	199	登別市登別温泉町133	0143-84-2165	42.488052	141.1481
9	独立行政法人地域医療機能推進機構	北海道病院	http://hokkaido.jcho.go.jp	358	札幌市豊平区中の島1条8-3-18	011-831-5151	43.025541	141.355744
10	都道府県	北海道立江差病院	http://www.pref.hokkaido.lg.jp/db/esb/	198	桧山郡江差町字伏木戸町484	0139-52-0036	41.913409	140.144633
11	都道府県	北海道立羽幌病院	http://www.pref.hokkaido.lg.jp/hf/hbb/	120	苫前郡羽幌町栄町110	0164-62-6060	44.354358	141.694608
12	市町村	小樽市立病院	http://www.otaru-general-hospital.jp/	388	小樽市若松1-1-1	0134-25-1211	43.185408	141.007699
13	市町村	広域紋別病院	http://www.mombetsu-hospital.jp/	150	紋別市落石町1-3-37	0158-24-3111	44.361778	143.346719
14	市町村	士別市立病院	http://www.shibetsu-hp.jp/	148	士別市東11条5-3029-1	0165-23-2166	44.178685	142.407505
15	市町村	市立旭川病院	http://www.city.asahikawa.hokkaido.jp/hospital/	478	旭川市金星町1-1-65	0166-24-3181	43.778162	142.364934
16	市町村	市立釧路総合病院	http://www.kushiro-cghp.jp	643	釧路市春湖台1-12	0154-41-6121	42.97672	144.403459
17	市町村	市立札幌病院	http://www.city.sapporo.jp/hospital/	672	札幌市中央区北11条西13-1-1	011-726-2211	43.071051	141.334181
18	市町村	市立千歳市民病院	https://chitose-shimin-hospital.jp	190	千歳市北光2-1-1	0123-24-3000	42.843903	141.639862
