id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	沼田病院	http://www.numata-hosp.jp/	179	沼田市上原町1551-4	0278-23-2181	36.645414	139.061272
2	独立行政法人地域医療機能推進機構	群馬中央病院	http://gunma.jcho.go.jp/	333	前橋市紅雲町1-7-13	027-221-8165	36.386049	139.060301
3	市町村	伊勢崎市民病院	http://www.hospital.isesaki.gunma.jp/	494	伊勢崎市連取本町12-1	0270-25-5022	36.323415	139.17838
4	市町村	桐生厚生総合病院	http://www.kosei-hospital.kiryu.gunma.jp/	471	桐生市織姫町6-3	0277-44-7171	36.405584	139.327527
5	市町村	公立碓氷病院	http://usui-hospital.jp	199	安中市原市1-9-10	027-385-8221	36.316337	138.858332
6	市町村	公立館林厚生病院	http://www.tatebayashikoseibyoin.jp/	329	館林市成島町262-1	0276-72-3140	36.248075	139.518614
7	市町村	公立富岡総合病院	http://www.tomioka-hosp.jp/	338	富岡市富岡2073-1	0274-63-2111	36.263206	138.903677
8	市町村	公立七日市病院	http://www.nano-hosp.jp/	169	富岡市七日市643	0274-62-5100	36.258617	138.883733
9	市町村	公立藤岡総合病院	http://www.fujioka-hosp.or.jp/	399	藤岡市中栗須813-1	0274-22-3311	36.267269	139.078397
10	市町村	下仁田厚生病院	http://www15.wind.ne.jp/~s-hospital/	134	甘楽郡下仁田町下仁田409	0274-82-3555	36.213146	138.78604
11	日赤	原町赤十字病院	http://www.haramachi.jrc.or.jp/	199	吾妻郡東吾妻町大字原町698	0279-68-2711	36.572286	138.825797
12	日赤	前橋赤十字病院	http://www.maebashi.jrc.or.jp	555	前橋市朝倉町389-1	027-265-3333	36.359184	139.096712
13	済生会	群馬県済生会前橋病院	http://www.maebashi.saiseikai.or.jp/	327	前橋市上新田町564-1	027-252-6011	36.367727	139.061331
14	健康保険組合及び連合会	太田記念病院	http://www.ota-hosp.or.jp/	404	太田市大島町455番地１	0276-55-2200	36.299527	139.360714
15	公益法人	榛名荘病院	http://www.harunaso.or.jp/harunasou/	231	高崎市中室田町5989	027-374-1135	36.397921	138.860219
16	公益法人	美原記念病院	http://mihara-ibbv.jp/hp/	189	伊勢崎市太田町366	0270-24-3355	36.328086	139.180479
17	公益法人	老年病研究所附属病院	http://www.ronenbyo.or.jp/hospital/	253	前橋市大友町3-26-8	027-253-3311	36.392775	139.041717
18	医療法人	イムス太田中央総合病院	http://www.ims.gr.jp/ohta/	350	太田市東今泉町875-1	0276-37-2378	36.328698	139.380901
19	医療法人	上大類病院	http://www.juuyakukai.or.jp/hp/	25	高崎市上大類町759	027-352-1019	36.33403	139.030168
20	医療法人	上牧温泉病院	http://www.kamimoku-spa-hp.com/hospital/	76	利根郡みなかみ町石倉198-2	0278-72-5858	36.739683	138.983434
21	医療法人	関越中央病院	http://www.kan-etsu-hospital.com/	90	高崎市北原町71	027-373-5115	36.405635	139.02472
22	医療法人	くすの木病院	http://www.kusunoki-hp.com	214	藤岡市藤岡607-22	0274-24-3111	36.249139	139.082687
23	医療法人	黒沢病院	http://www.bishinkai.or.jp/	108	高崎市矢中町187	027-352-1166	36.312419	139.04981
24	医療法人	恵愛堂病院	http://www.keiaido.com	270	みどり市大間々町大間々504-6	0277-73-2211	36.422458	139.27947
25	医療法人	宏愛会第一病院	http://www.koaikai.jp/daiichi/	123	太田市六千石町99-63	0277-78-1555	36.338614	139.286571
26	医療法人	上武呼吸器科内科病院	http://www5c.biglobe.ne.jp/~jobuknh/	120	前橋市田口町586-1	027-232-5000	36.447976	139.045934
27	医療法人	昭和病院	http://www2.odn.ne.jp/showa-hp	140	高崎市綿貫町１３４１	027-347-1171	36.304476	139.080489
28	医療法人	善衆会病院	http://zenshukai.com	198	前橋市笂井町54番地1	027-261-5410	36.370193	139.138677
29	医療法人	角田病院	http://www.tsunoda.or.jp/	125	佐波郡玉村町上新田675-4	0270-65-7171	36.311113	139.099278
30	医療法人	東邦病院	http://www.toho-hp.jp/index.php	443	みどり市笠懸町阿左美1155	0277-76-6311	36.391654	139.308506
31	医療法人	日新病院	http://www.sanikukai.com/nisshin/	90	桐生市菱町3-2069-1	0277-30-3660	36.409987	139.352228
32	医療法人	日高病院	http://www.hidaka-kai.com/hidaka/	287	高崎市中尾町886	027-362-6201	36.363952	139.028613
33	医療法人	真木病院	http://www.makikai.jp/	150	高崎市筑縄町71-1	027-361-8411	36.348326	138.986158
34	医療法人	綿貫病院	http://watanuki-hp.com	90	高崎市末広町41-1	027-322-2206	36.334649	139.008035
35	特定医療法人	慶友整形外科病院	http://www.ku-kai.or.jp	137	館林市赤生田町2267-1	0276-49-9000	36.231325	139.551908
36	特定医療法人	第一病院	http://www.daiichi-hp.or.jp	193	高崎市下小鳥町1277	027-362-1811	36.347764	138.999697
37	特定医療法人	本島総合病院	http://www.motojima.jp	349	太田市西本町3-8	0276-22-7131	36.295198	139.369631
38	社会医療法人	鶴谷病院	http://www.tsurugaya.or.jp/	320	伊勢崎市境百々421	0270-74-0670	36.276947	139.254509
39	社会医療法人	沼田脳神経外科循環器科病院	https://kijokai.or.jp/numata-nouge/	84	沼田市栄町8	0278-22-5052	36.638037	139.052683
40	個人	産科婦人科舘出張佐藤病院	http://www.sato-hospital.gr.jp/	84	高崎市若松町96	027-322-2243	36.320077	139.005867
