id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	埼玉病院	https://saitama.hosp.go.jp/	550	和光市諏訪2-1	048-462-1101	35.776875	139.618926
2	独立行政法人国立病院機構	西埼玉中央病院	http://www.hosp.go.jp/~wsaitama/byouin_shoukai.html	325	所沢市若狭2-1671	042-948-1111	35.804018	139.425514
3	独立行政法人国立病院機構	東埼玉病院	https://higashisaitama.hosp.go.jp	532	蓮田市黒浜4147	048-768-1161	35.996636	139.676648
4	独立行政法人地域医療機能推進機構	さいたま北部医療センター	http://saitamahokubu.jcho.go.jp/	163	さいたま市北区宮原町1-851	048-663-1671	35.933685	139.62174
5	独立行政法人地域医療機能推進機構	埼玉メディカルセンター	http://saitama.jcho.go.jp/	395	さいたま市浦和区北浦和4-9-3	048-832-4951	35.872539	139.643323
6	都道府県	埼玉県立がんセンター	https://www.pref.saitama.lg.jp/saitama-cc/	503	北足立郡伊奈町小室780	048-722-1111	35.984363	139.617896
7	都道府県	埼玉県立循環器・呼吸器病センター	https://www.pref.saitama.lg.jp/junko-c/	343	熊谷市板井1696	048-536-9900	36.111129	139.305193
8	市町村	春日部市立医療センター	http://www.kasukabe-cityhp.jp/	363	春日部市中央6-7-1	048-735-1261	35.974408	139.751488
9	市町村	川口市立医療センター	http://kawaguchi-mmc.org/	539	川口市西新井宿180	048-287-2525	35.843245	139.730522
10	市町村	越谷市立病院	http://www.mhp.koshigaya.saitama.jp/	481	越谷市東越谷10-32	048-965-2221	35.898018	139.805953
11	市町村	さいたま市立病院	http://saitama-city-hsp.jp/	567	さいたま市緑区三室2460	048-873-4111	35.890325	139.679712
12	市町村	草加市立病院	http://www.soka-city-hospital.jp	380	草加市草加2-21-1	048-946-2200	35.835332	139.796364
13	市町村	所沢市市民医療センター	https://www.city.tokorozawa.saitama.jp/iryo/	49	所沢市上安松1224-1	04-2992-1151	35.791848	139.480867
14	市町村	東松山市立市民病院	http://www.hmy-municipalhosp.jp/	114	東松山市大字松山2392	0493-24-6111	36.054036	139.405818
15	市町村	蕨市立病院	http://www.city.warabi.saitama.jp/hp/menu000001700/hpg000001649.htm	130	蕨市北町2-12-18	048-432-2277	35.828179	139.680027
16	日赤	小川赤十字病院	http://www.ogawa.jrc.or.jp/	302	比企郡小川町小川1525	0493-72-2333	36.060572	139.273149
17	日赤	さいたま赤十字病院	http://www.saitama-med.jrc.or.jp/	638	さいたま市中央区新都心１番地5	048-852-1111	35.891809	139.631434
18	日赤	深谷赤十字病院	http://www.fukaya.jrc.or.jp/	474	深谷市上柴町西5-8-1	048-571-1511	36.18359	139.294097
19	済生会	埼玉県済生会川口総合病院	http://www.saiseikai.gr.jp/	424	川口市西川口5-11-5	048-253-1551	35.809606	139.703183
20	済生会	埼玉県済生会栗橋病院	http://www.saikuri.org/	329	久喜市小右衛門714-6	0480-52-3611	36.114867	139.717147
21	済生会	埼玉県済生会鴻巣病院	http://www.kounosu-hp.jp	379	鴻巣市八幡田849	048-596-2221	36.073065	139.502153
22	公益法人	東松山医師会病院	http://www.hmahp.or.jp	261	東松山市神明町1-15-10	0493-22-2822	36.03386	139.407711
23	医療法人	上尾中央総合病院	http://www.ach.or.jp/	733	上尾市柏座1-10-10	048-773-1111	35.974433	139.585549
24	医療法人	上尾中央第二病院	https://www.ach2.jp/	186	上尾市地頭方421-1	048-781-1101	35.952994	139.571674
25	医療法人	伊奈病院	http://www.inahp.saitama.jp/	151	北足立郡伊奈町小室9419	048-721-3692	35.999558	139.626784
26	医療法人	大宮共立病院	https://www.omiya-kyoritsu.or.jp	298	さいたま市見沼区片柳1550	048-686-7151	35.904674	139.690988
27	医療法人	籠原病院	http://kagohara-hospital.net/	25	熊谷市美土里町3-136	048-532-6717	36.169283	139.318463
28	医療法人	笠幡病院	http://www.kasahatahp.com	136	川越市笠幡4955-1	049-232-1231	35.903621	139.413013
29	医療法人	春日部嬉泉病院	http://www.kasukabe-kisen.jp/	60	春日部市中央1-53-16	048-736-0111	35.977168	139.752445
30	医療法人	霞ヶ関南病院	http://www.kasumi-gr.com/index2.html	199	川越市安比奈新田283-1	049-232-1313	35.902005	139.419202
31	医療法人	上福岡総合病院	http://www.kamifukuoka.or.jp	284	ふじみ野市福岡931	049-266-0111	35.876555	139.539746
32	医療法人	川口工業総合病院	http://www.kogyohsp.gr.jp	199	川口市青木1-18-15	048-252-4873	35.803756	139.730796
33	医療法人	かわぐち心臓呼吸器病院	http://www.kheartlung.jp/	108	川口市前川1-1-51	048-264-5533	35.833088	139.708636
34	医療法人	川越胃腸病院	http://www.kib.or.jp/	40	川越市仙波町2-9-2	049-225-6888	35.906143	139.489473
35	医療法人	行田中央総合病院	http://www.gcgh.jp/	160	行田市富士見町2-17-17	048-553-2000	36.147985	139.475165
36	医療法人	熊谷総合病院	http://www.kumasou.or.jp/	310	熊谷市中西4-5-1	048-521-0065	36.148337	139.396291
37	医療法人	宏仁会小川病院	http://www.kohjinkai.or.jp	34	比企郡小川町大字原川205	0493-73-2750	36.067033	139.245955
38	医療法人	公平病院	http://www.koudaira.life	44	戸田市笹目南町20-16	048-421-3030	35.812945	139.652704
39	医療法人	小林病院	http://iruma-kobayashi.com/	99	入間市宮寺2417	04-2934-5121	35.794082	139.378791
