id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	下志津病院	https://www.nsh.gr.jp/	440	四街道市鹿渡934-5	043-422-2511	35.666461	140.166807
2	独立行政法人国立病院機構	下総精神医療センター	http://www.hosp.go.jp/~simofusa/	435	千葉市緑区辺田町578	043-291-1221	35.559771	140.189565
3	独立行政法人国立病院機構	千葉医療センター	https://chiba.hosp.go.jp/index.html	455	千葉市中央区椿森4-1-2	043-251-5311	35.621636	140.121623
4	独立行政法人国立病院機構	千葉東病院	http://www.chiba-easthp.jp/	409	千葉市中央区仁戸名町673	043-261-5171	35.583818	140.158847
5	国立大学法人	千葉大学医学部附属病院	http://www.ho.chiba-u.ac.jp	850	千葉市中央区亥鼻1-8-1	043-222-7171	35.604022	140.131649
6	独立行政法人労働者健康安全機構	千葉労災病院	http://www.chibah.johas.go.jp/	400	市原市辰巳台東2-16	0436-74-1111	35.521909	140.158203
7	国立研究開発法人	国府台病院	http://www.ncgmkohnodai.go.jp/	442	市川市国府台1-7-1	047-372-3501	35.746078	139.905748
8	国立研究開発法人	国立がん研究センター東病院	http://www.ncc.go.jp/jp/ncce/index.html	425	柏市柏の葉６丁目５番１号	04-7133-1111	35.899727	139.941618
9	独立行政法人地域医療機能推進機構	JCHO千葉病院	http://chiba.jcho.go.jp/	199	千葉市中央区仁戸名町682	043-261-2211	35.582857	140.162776
10	独立行政法人地域医療機能推進機構	船橋中央病院	http://funabashi.jcho.go.jp/	464	船橋市海神6-13-10	047-433-2111	35.705893	139.969494
11	都道府県	千葉県がんセンター	http://www.pref.chiba.lg.jp/gan/	341	千葉市中央区仁戸名町666-2	043-264-5431	35.582237	140.158607
12	都道府県	千葉県救急医療センター	https://www.pref.chiba.lg.jp/kyuukyuu/	100	千葉市美浜区磯辺3-32-1	043-279-2211	35.628845	140.051544
13	都道府県	千葉県こども病院	https://www.pref.chiba.lg.jp/kodomo/	224	千葉市緑区辺田町579-1	043-292-2111	35.557998	140.19083
14	都道府県	千葉県循環器病センター	https://www.pref.chiba.lg.jp/junkan/	220	市原市鶴舞575	0436-88-3111	35.384826	140.185239
15	都道府県	千葉県精神科医療センター	https://www.pref.chiba.lg.jp/seishin/	50	千葉市美浜区豊砂5	043-276-1361	35.650576	140.026537
16	都道府県	千葉県千葉リハビリテーションセンター	http://www.chiba-reha.jp/	242	千葉市緑区誉田町1-45-2	043-291-1831	35.557129	140.192394
17	都道府県	千葉県立佐原病院	https://www.pref.chiba.lg.jp/sawara/	231	香取市佐原イ2285	0478-54-1231	35.885599	140.510126
