id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	東京医療センター	http://www.ntmc.go.jp/	741	目黒区東が丘2-5-1	03-3411-0111	35.626448	139.666459
2	独立行政法人国立病院機構	東京病院	http://www.hosp.go.jp/~tokyo/	522	清瀬市竹丘3-1-1	042-491-2111	35.767834	139.50523
3	独立行政法人国立病院機構	村山医療センター	http://www.murayama-hosp.jp/	303	武蔵村山市学園2-37-1	042-561-1221	35.747259	139.399031
4	国立大学法人	東京医科歯科大学医学部附属病院	http://www.tmd.ac.jp/medhospital/	753	文京区湯島1-5-45	03-3813-6111	35.701696	139.764209
5	国立大学法人	東京大学医学部附属病院	http://www.h.u-tokyo.ac.jp	1228	文京区本郷7-3-1	03-3815-5411	35.714163	139.762102
6	独立行政法人労働者健康安全機構	東京労災病院	http://www.tokyoh.johas.go.jp/	400	大田区大森南4-13-21	03-3742-7301	35.565611	139.747214
7	国立研究開発法人	国立がん研究センター中央病院	http://www.ncc.go.jp/jp/ncch/	578	中央区築地5-1-1	03-3542-2511	35.665005	139.767583
8	国立研究開発法人	国立国際医療研究センター病院	http://www.ncgm.go.jp/index.html	763	新宿区戸山1-21-1	03-3202-7181	35.702292	139.716664
9	国立研究開発法人	国立成育医療研究センター病院	http://www.ncchd.go.jp/	460	世田谷区大蔵2-10-1	03-3416-0181	35.633399	139.611529
10	独立行政法人地域医療機能推進機構	東京蒲田医療センター	http://kamata.jcho.go.jp	230	大田区南蒲田2-19-2	03-3738-8221	35.55437	139.7238
11	独立行政法人地域医療機能推進機構	東京城東病院	http://joto.jcho.go.jp	130	江東区亀戸9-13-1	03-3685-1431	35.695177	139.846095
12	独立行政法人地域医療機能推進機構	東京新宿メディカルセンター	http://shinjuku.jcho.go.jp/	520	新宿区津久戸町5-1	03-3269-8111	35.703433	139.742135
13	独立行政法人地域医療機能推進機構	東京高輪病院	http://takanawa.jcho.go.jp/	247	港区高輪3-10-11	03-3443-9191	35.631341	139.732021
14	独立行政法人地域医療機能推進機構	東京山手メディカルセンター	http://yamate.jcho.go.jp/	418	新宿区百人町3-22-1	03-3364-0251	35.704759	139.699067
15	国（その他）	自衛隊中央病院	http://www.mod.go.jp/gsdf/chosp/	500	世田谷区池尻1-2-24	03-3411-0151	35.64481	139.683125
16	都道府県	東京都立大塚病院	http://www.byouin.metro.tokyo.jp/ohtsuka/	508	豊島区南大塚2-8-1	03-3941-3211	35.72526	139.732543
17	都道府県	東京都立駒込病院	http://www.cick.jp/	815	文京区本駒込3-18-22	03-3823-2101	35.729843	139.756393
18	都道府県	東京都立小児総合医療センター	http://www.byouin.metro.tokyo.jp/shouni/	561	府中市武蔵台2-8-29	042-300-5111	35.691802	139.462225
19	都道府県	東京都立神経病院	http://www.byouin.metro.tokyo.jp/tmnh/	304	府中市武蔵台2-6-1	042-323-5110	35.690557	139.461285
20	都道府県	東京都立多摩総合医療センター	http://www.fuchu-hp.fuchu.tokyo.jp/	789	府中市武蔵台2-8-29	042-323-5111	35.691802	139.462225
21	都道府県	東京都立広尾病院	http://www.byouin.metro.tokyo.jp/hiroo/	426	渋谷区恵比寿2-34-10	03-3444-1181	35.646828	139.721689
22	都道府県	東京都立松沢病院	http://www.byouin.metro.tokyo.jp/matsuzawa/	898	世田谷区上北沢2-1-1	03-3303-7211	35.66678	139.620278
23	都道府県	都立墨東病院	http://bokutoh-hp.metro.tokyo.jp/	765	墨田区江東橋4-23-15	03-3633-6151	35.694594	139.818958
24	市町村	稲城市立病院	http://www.hospital.inagi.tokyo.jp/	290	稲城市大丸1171	042-377-0931	35.646872	139.485143
25	市町村	青梅市立総合病院	http://www.mghp.ome.tokyo.jp/	529	青梅市東青梅4-16-5	0428-22-3191	35.782502	139.28118
26	市町村	公立阿伎留医療センター	http://www.akiru-med.jp	305	あきる野市引田78-1	042-558-0321	35.732189	139.272619
27	市町村	公立昭和病院	http://www.kouritu-showa.jp/	518	小平市花小金井8-1-1	042-461-0052	35.731464	139.503033
28	市町村	公立福生病院	http://www.fussahp.jp	316	福生市加美平1-6-1	042-551-1111	35.746974	139.326844
29	市町村	町田市民病院	http://machida-city-hospital-tokyo.jp	447	町田市旭町2-15-41	042-722-2230	35.556913	139.438796
30	地方独立行政法人	東京都健康長寿医療センター	http://www.tmghig.jp/	550	板橋区栄町35-2	03-3964-1141	35.751787	139.703303
31	日赤	大森赤十字病院	http://omori.jrc.or.jp/	344	大田区中央4-30-1	03-3775-3111	35.578907	139.717896
32	日赤	葛飾赤十字産院	http://katsushika.jrc.or.jp/	113	葛飾区立石5-11-12	03-3693-5211	35.742572	139.846624
33	日赤	日本赤十字社医療センター	http://www.med.jrc.or.jp/	708	渋谷区広尾4-1-22	03-3400-1311	35.654524	139.717985
34	日赤	武蔵野赤十字病院	http://www.musashino.jrc.or.jp/	611	武蔵野市境南町1-26-1	0422-32-3111	35.697696	139.547536
35	済生会	東京都済生会中央病院	http://www.saichu.jp	535	港区三田1-4-17	03-3451-8211	35.654062	139.74357
36	済生会	東京都済生会向島病院	http://www.saiseikai-mkj.jp/	102	墨田区八広1-5-10	03-3610-3651	35.720687	139.822228
37	共済組合及び連合会	関東中央病院	http://www.kanto-ctr-hsp.com	403	世田谷区上用賀6-25-1	03-3429-1171	35.636835	139.626088
38	共済組合及び連合会	九段坂病院	http://www.kudanzaka.com	231	千代田区九段南1-6-12	03-3262-9191	35.693798	139.752063
39	共済組合及び連合会	立川病院	http://www.tachikawa-hosp.gr.jp/	493	立川市錦町4-2-22	042-523-3131	35.69256	139.422365
40	共済組合及び連合会	東京共済病院	http://www.tkh.meguro.tokyo.jp	350	目黒区中目黒2-3-8	03-3712-3151	35.641571	139.704112
41	共済組合及び連合会	虎の門病院	http://www.toranomon.gr.jp/	868	港区虎ノ門2-2-2	03-3588-1111	35.669009	139.746174
42	共済組合及び連合会	三宿病院	http://www.mishuku.gr.jp/	253	目黒区上目黒5-33-12	03-3711-5771	35.642356	139.68526
43	国民健康保険組合	総合病院厚生中央病院	http://kohseichuo.jp/	320	目黒区三田1-11-7	03-3713-2141	35.641464	139.712549
44	公益法人	愛誠病院	http://www.aisei-byouin.or.jp	441	板橋区加賀1-3-1	03-3961-5351	35.753788	139.721036
45	公益法人	板橋区医師会病院	http://www.itabashi-med.jp	192	板橋区高島平3-12-6	03-3975-8151	35.786955	139.658041
46	公益法人	永寿総合病院	http://www.eijuhp.com/index.html	400	台東区東上野2-23-16	03-3833-8381	35.709701	139.779703
47	公益法人	永寿総合病院　柳橋分院	http://www.yanagibashihp.com/	80	台東区柳橋2-20-4	03-3851-9375	35.698941	139.789649
48	公益法人	荏原病院	http://www.ebara-hp.ota.tokyo.jp/	506	大田区東雪谷4-5-10	03-5734-8000	35.593755	139.693208
49	公益法人	大久保病院	http://www.ohkubohospital.jp	304	新宿区歌舞伎町2-44-1	03-5273-7711	35.696697	139.701143
50	公益法人	がん研究会有明病院	http://www.jfcr.or.jp/hospital/	700	江東区有明3-8-31	03-3520-0111	35.634222	139.794691
51	公益法人	杏雲堂病院	http://www.kyoundo.jp	198	千代田区神田駿河台1-8	03-3292-2051	35.698015	139.763245
