id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	久里浜医療センター	http://www.kurihama-med.jp/	332	横須賀市野比5-3-1	046-848-1550	35.211957	139.701856
2	独立行政法人国立病院機構	箱根病院	https://hakone.hosp.go.jp/	199	小田原市風祭412	0465-22-3196	35.247581	139.129528
3	独立行政法人国立病院機構	横浜医療センター	http://www.yokohama-mc.jp/	510	横浜市戸塚区原宿3-60-2	045-851-2621	35.380364	139.504504
4	独立行政法人労働者健康安全機構	関東労災病院	http://www.kantoh.johas.go.jp/	610	川崎市中原区木月住吉町1-1	044-411-3131	35.568334	139.656753
5	独立行政法人労働者健康安全機構	横浜労災病院	https://www.yokohamah.johas.go.jp/	650	横浜市港北区小机町3211	045-474-8111	35.511348	139.610067
6	独立行政法人地域医療機能推進機構	相模野病院	http://sagamino.jcho.go.jp	212	相模原市中央区淵野辺1-2-30	042-752-2025	35.572753	139.388703
7	独立行政法人地域医療機能推進機構	湯河原病院	http://yugawara.jcho.go.jp/	199	足柄下郡湯河原町宮上438	0465-63-2211	35.144398	139.078391
8	独立行政法人地域医療機能推進機構	横浜中央病院	http://yokohama.jcho.go.jp	250	横浜市中区山下町268	045-641-1921	35.440831	139.643674
9	独立行政法人地域医療機能推進機構	横浜保土ヶ谷中央病院	http://hodogaya.jcho.go.jp/	241	横浜市保土ヶ谷区釜台町43-1	045-331-1251	35.472712	139.583234
10	市町村	川崎市立井田病院	http://www.city.kawasaki.jp/33/cmsfiles/contents/0000037/37855/ida/	383	川崎市中原区井田2-27-1	044-766-2188	35.559996	139.640871
11	市町村	川崎市立川崎病院	http://www.city.kawasaki.jp/32/cmsfiles/contents/0000037/37856/kawasaki/	713	川崎市川崎区新川通12-1	044-233-5521	35.52673	139.705939
12	市町村	茅ヶ崎市立病院	http://hosp.city.chigasaki.kanagawa.jp/	401	茅ケ崎市本村5-15-1	0467-52-1111	35.339923	139.415136
13	市町村	平塚市民病院	http://www.hiratsuka-city-hospital.jp/	416	平塚市南原1-19-1	0463-32-0015	35.336384	139.325428
14	市町村	藤沢市民病院	http://www.city.fujisawa.kanagawa.jp/hospital/	536	藤沢市藤沢2-6-1	0466-25-3111	35.350636	139.481572
15	市町村	三浦市立病院	http://www.city.miura.kanagawa.jp/byouin/	136	三浦市岬陽町4-33	046-882-2111	35.144817	139.628733
16	市町村	大和市立病院	http://www.yamatocity-mh.jp/	403	大和市深見西8-3-6	046-260-0111	35.486833	139.459159
17	市町村	横須賀市立うわまち病院	http://www.jadecom.or.jp/jadecomhp/uwamachi/html/	417	横須賀市上町2-36	046-823-2630	35.271745	139.668251
18	市町村	横須賀市立市民病院	http://www.jadecom.or.jp/jadecomhp/yokosuka-shimin/html/	482	横須賀市長坂1-3-2	046-856-3136	35.222749	139.627078
19	市町村	横浜市立市民病院		650	横浜市保土ヶ谷区岡沢町56	045-331-1961	35.472967	139.599371
20	市町村	横浜市立みなと赤十字病院	http://www.yokohama.jrc.or.jp	634	横浜市中区新山下3-12-1	045-628-6100	35.436448	139.664251
21	地方独立行政法人	神奈川県立がんセンター	http://kcch.kanagawa-pho.jp/	415	横浜市旭区中尾2-3-2	045-520-2222	35.468193	139.526397
22	地方独立行政法人	神奈川県立こども医療センター	http://kcmc.kanagawa-pho.jp/	419	横浜市南区六ッ川2-138-4	045-711-2351	35.421525	139.579558
