id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	さいがた医療センター	https://saigata.hosp.go.jp/	410	上越市大潟区犀潟468-1	025-534-3131	37.210428	138.309
2	独立行政法人国立病院機構	新潟病院	http://www.niigata-nh.go.jp/html/index.html	350	柏崎市赤坂町3-52	0257-22-2126	37.358333	138.537123
3	独立行政法人国立病院機構	西新潟中央病院	https://nishiniigata.hosp.go.jp/	400	新潟市西区真砂1-14-1	025-265-3171	37.88997	138.986373
4	都道府県	魚沼基幹病院	www.uonuma-kikan-hospital.jp/	454	南魚沼市浦佐4132番地	025-777-3200	37.171225	138.936029
5	都道府県	新潟県立柿崎病院	http://kakizaki-hp.niigata.jp/	55	上越市柿崎区柿崎6412-1	025-536-3131	37.277622	138.392347
6	都道府県	新潟県立加茂病院	http://www.kamo-hospital.kamo.niigata.jp/	180	加茂市青海町1-9-1	0256-52-0701	37.664802	139.055532
7	都道府県	新潟県立がんセンター新潟病院	http://www.niigata-cc.jp	450	新潟市中央区川岸町2-15-3	025-266-5111	37.910535	139.029248
8	都道府県	新潟県立坂町病院	http://www.iwafune.ne.jp/~sakamachi-hosp/	148	村上市下鍜冶屋589	0254-62-3111	38.11332	139.448487
9	都道府県	新潟県立新発田病院	http://www.sbthp.jp/	478	新発田市本町1-2-8	0254-22-3121	37.946565	139.333975
10	都道府県	新潟県立精神医療センター	http://www.psyche-niigata.jp/	400	長岡市寿2-4-1	0258-24-3930	37.478109	138.852954
11	都道府県	新潟県立中央病院	http://www.cent-hosp.pref.niigata.jp/	530	上越市新南町205	025-522-7711	37.10669	138.270549
12	都道府県	新潟県立津川病院	http://tsugawa-hospital.sakura.ne.jp/	67	東蒲原郡阿賀町津川200	0254-92-3311	37.678908	139.463182
13	都道府県	新潟県立燕労災病院	http://www.tsrh.jp	300	燕市佐渡633	0256-64-5111	37.66629	138.952169
14	都道府県	新潟県立十日町病院	http://www.tokamachi-hosp-niigata.jp/	275	十日町市高田町三丁目南32-9	025-757-5566	37.131209	138.752463
15	都道府県	新潟県立松代病院	http://www.matsudai-hp.server-shared.com	55	十日町市松代3592-2	025-597-2100	37.135043	138.615055
16	都道府県	新潟県立妙高病院	http://www.myoukou-hsp.gr.jp/	60	妙高市田口147-1	0255-86-2003	36.869257	138.204717
17	都道府県	新潟県立吉田病院	http://www.ash.ne.jp/~yosidahp/	199	燕市吉田大保町32-14	0256-92-5111	37.687278	138.884977
