id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人地域医療機能推進機構	高岡ふしき病院	http://takaoka.jcho.go.jp/	199	高岡市伏木古府元町8-5	0766-44-1181	36.790261	137.045844
2	都道府県	富山県立中央病院	http://www.tch.pref.toyama.jp/	733	富山市西長江2-2-78	076-424-1531	36.692586	137.23794
3	市町村	射水市民病院	http://hosp.city.imizu.toyama.jp/	199	射水市朴木20	0766-82-8100	36.759642	137.081948
4	市町村	金沢医科大学氷見市民病院	http://www.kanazawa-med.ac.jp/~himi/	250	氷見市鞍川1130	0766-74-1900	36.85523	136.968046
5	市町村	かみいち総合病院	http://www.kamiichi-hosp.jp/	199	中新川郡上市町法音寺51	076-472-1212	36.702248	137.36105
6	市町村	黒部市民病院	https://med-kurobe.jp/	414	黒部市三日市1108番地1	0765-54-2211	36.871323	137.440951
7	市町村	市立砺波総合病院	http://www.city.tonami.toyama.jp/tgh/	514	砺波市新富町1-61	0763-32-3320	36.640179	136.950806
8	市町村	高岡市民病院	http://www.med-takaoka.jp/	401	高岡市宝町4-1	0766-23-0204	36.756108	137.028769
9	市町村	富山市民病院	http://www.tch.toyama.toyama.jp/	595	富山市今泉北部町2-1	076-422-1112	36.672714	137.212754
10	市町村	富山市立富山まちなか病院	https://www.tch.toyama.toyama.jp/tmh/	50	富山市鹿島町2-2-29	076-423-7727	36.689943	137.204303
11	市町村	南砺市民病院	http://shiminhp.city.nanto.toyama.jp/www/index.jsp	175	南砺市井波938	0763-82-1475	36.569872	136.973819
12	日赤	富山赤十字病院	http://www.toyama-med.jrc.or.jp/	401	富山市牛島本町2-1-58	076-433-2222	36.7083	137.209237
13	済生会	富山県済生会高岡病院	http://www.takaoka-saiseikai.jp/	251	高岡市二塚387-1	0766-21-0570	36.721315	137.015437
14	済生会	富山県済生会富山病院	http://saiseikai-toyama.jp/	250	富山市楠木33-1	076-437-1111	36.737775	137.255003
15	厚生連	厚生連高岡病院	http://www.kouseiren-ta.or.jp/	533	高岡市永楽町5-10	0766-21-3930	36.743555	136.996621
16	厚生連	滑川病院	http://www.kouseiren-namerikawa.jp	279	滑川市常盤町119	076-475-1000	36.769994	137.345418
17	共済組合及び連合会	北陸中央病院	http://hokuriku-ctr-hsp.jp/	193	小矢部市野寺123	0766-67-1150	36.665042	136.889864
18	医療法人	坂本記念病院	http://jinkei.main.jp/	120	下新川郡入善町入膳3345-2	0765-72-5555	36.933137	137.501015
19	医療法人	サンバリー福岡病院	http://sunvery-group.com	118	高岡市福岡町大野150	0766-64-3535	36.71935	136.93526
20	医療法人	真生会富山病院	http://www.shinseikai.jp	99	射水市下若89-10	0766-52-2156	36.716821	137.076782
21	医療法人	富山西総合病院	http://toyama-nishi.jp	154	富山市婦中町下轡田1019	076-461-7700	36.659797	137.17453
22	医療法人	長谷川病院	http://www.h-uro.com/	40	富山市星井町2-7-40	076-422-3040	36.684207	137.21223
23	医療法人	藤木病院	http://www.keijinkai-f.or.jp	60	中新川郡立山町大石原225	076-463-1301	36.665243	137.297969
24	特定医療法人	西能病院	http://www.sainouhp.or.jp/sainou/	97	富山市高田70	076-422-2211	36.684852	137.184836
