id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人地域医療機能推進機構	金沢病院	http://kanazawa.jcho.go.jp/	248	金沢市沖町ハ-15	076-252-2200	36.592503	136.65322
2	都道府県	石川県立高松病院	http://www.pref.ishikawa.jp/takabyo/	400	かほく市内高松ヤ36	076-281-1125	36.766756	136.737404
3	都道府県	石川県立中央病院	http://www.pref.ishikawa.jp/ipch/	662	金沢市鞍月東2-1	076-237-8211	36.596398	136.629821
4	市町村	公立能登総合病院	http://www.noto-hospital.nanao.ishikawa.jp/	434	七尾市藤橋町ア部6-4	0767-52-6611	37.045062	136.946592
5	市町村	公立松任石川中央病院	http://www.mattohp.jp/	305	白山市倉光3-8	076-275-2222	36.510865	136.5665
6	市町村	津幡町国民健康保険直営　河北中央病院	http://kahoku-hp.jp/	60	河北郡津幡町字津幡口51-2	076-289-3123	36.670182	136.736973
7	日赤	金沢赤十字病院	http://www.kanazawa-rc-hosp.jp	262	金沢市三馬2-251	076-242-8131	36.530331	136.636178
8	済生会	石川県済生会金沢病院	http://www.saiseikaikanazawa.jp/	260	金沢市赤土町二13-6	076-266-1060	36.584323	136.595736
9	共済組合及び連合会	北陸病院	http://www.hokuriku-hosp.jp	125	金沢市泉が丘2-13-43	076-243-1191	36.542806	136.644927
10	公益法人	城北病院	http://jouhoku-hosp.com/	314	金沢市京町20-3	076-251-6111	36.581921	136.656695
11	医療法人	浅ノ川総合病院	http://www.asanogawa-gh.or.jp	499	金沢市小坂町中83	076-252-2101	36.593105	136.677499
12	医療法人	金沢有松病院	http://www.k-arimatsu.jp	140	金沢市有松5-1-7	076-242-2111	36.539456	136.639015
13	医療法人	金沢西病院	http://www.knh.or.jp/	166	金沢市駅西本町6-15-41	076-233-1811	36.585938	136.625345
14	医療法人	金沢脳神経外科病院	http://www.nouge.net/	220	野々市市郷町262-2	076-246-5600	36.526481	136.588084
15	医療法人	整形外科米澤病院	http://www.yonezawa-hospital.jp	72	金沢市京町1-30	076-252-3281	36.580722	136.655555
16	医療法人	芳珠記念病院	http://www.houju.or.jp/	320	能美市緑が丘11-71	0761-51-5551	36.441912	136.535887
17	医療法人	みらい病院	http://eijukai.jp/	150	金沢市鞍月東1-9	076-237-8000	36.593811	136.629999
18	特定医療法人	南ヶ丘病院	http://www.minamigaoka-hp.or.jp	120	金沢市馬替2-125	076-298-3366	36.521118	136.619977
19	特定医療法人	やわたメディカルセンター	http://www.yawatamedical.com/	208	小松市八幡イ12-7	0761-47-1212	36.392207	136.490772
20	社会医療法人	恵寿総合病院	http://www.keiju.co.jp/	426	七尾市富岡町94	0767-52-3211	37.050426	136.960972
