id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	あわら病院	http://www.awara-hosp.jp/	172	あわら市北潟238-1	0776-79-1211	36.255879	136.211912
2	独立行政法人国立病院機構	敦賀医療センター	http://www.fukui-hosp.jp/	275	敦賀市桜ヶ丘町33-1	0770-25-1600	35.622589	136.034793
3	独立行政法人地域医療機能推進機構	福井勝山総合病院	http://fukui.jcho.go.jp/	199	勝山市長山町2-6-21	0779-88-0350	36.070869	136.506244
4	独立行政法人地域医療機能推進機構	若狭高浜病院	http://takahama.jcho.go.jp	115	大飯郡高浜町宮崎87-14-2	0770-72-0880	35.489298	135.547382
5	都道府県	福井県立病院	http://fph.pref.fukui.lg.jp/	872	福井市四ツ井2-8-1	0776-54-5151	36.068779	136.239091
6	市町村	越前町国民健康保険織田病院	http://ota.jadecom.or.jp	55	丹生郡越前町織田106-44-1	0778-36-1000	35.95731	136.047127
7	市町村	公立丹南病院	http://www.jadecom.or.jp/jadecomhp/tannan/html/	179	鯖江市三六町1-2-31	0778-51-2260	35.970102	136.177977
8	市町村	市立敦賀病院	http://tsuruga-hp.jp/	332	敦賀市三島町1-6-60	0770-22-3611	35.652314	136.064145
9	市町村	杉田玄白記念公立小浜病院	http://www.obamahp-wakasa.jp/hospital/	456	小浜市大手町2-2	0770-52-0990	35.494288	135.746075
10	市町村	レイクヒルズ美方病院	http://www.obamahp-wakasa.jp/reiku/	100	三方上中郡若狭町気山315-1-9	0770-45-1131	35.584651	135.913062
11	日赤	福井赤十字病院	http://www.fukui-med.jrc.or.jp/	600	福井市月見2-4-1	0776-36-3630	36.047141	136.213004
12	済生会	福井県済生会病院	http://www.fukui-saiseikai.com/	460	福井市和田中町舟橋7-1	0776-23-1111	36.047253	136.252308
13	公益法人	松原病院	http://www.fmatsubara.com/	260	福井市文京2-9-1	0776-22-3717	36.078127	136.219589
14	医療法人	池端病院	http://www.ikebata.jp/	30	越前市今宿町8-1	0778-23-0150	35.865334	136.170002
15	医療法人	大滝病院	http://www.otaki-hp.or.jp/otaki/	110	福井市日光1-2-1	0776-23-3215	36.071356	136.203343
16	医療法人	笠原病院	http://www.kasahara-hosp.or.jp/	103	越前市塚町214	0778-23-1155	35.916049	136.191854
17	医療法人	木村病院	http://www.kimura-hospital.jp/	133	あわら市北金津57-25	0776-73-3323	36.216645	136.217595
18	医療法人	田中病院	http://www.tanaka-hosp.jp	148	福井市大手2-3-1	0776-22-8500	36.064224	136.223978
19	医療法人	中村病院	http://www.nakamura-hp.or.jp/	199	越前市天王町4-28	0778-22-0618	35.900516	136.166775
20	医療法人	林病院	http://www.hayashi-hospital.or.jp	206	越前市府中1-3-5	0778-22-0336	35.9026	136.169862
21	医療法人	福井厚生病院	http://www.koseikaigroup.jp/hospital/	199	福井市下六条町201番地	0776-41-3377	36.036463	136.233339
22	医療法人	藤田記念病院	http://www.fujita-mhp.jp	59	福井市宝永4-15-7	0776-21-1277	36.069651	136.220133
23	特定医療法人	春江病院	http://www.harue-hp.org	137	坂井市春江町針原65-7	0776-51-0029	36.123826	136.212916
24	特定医療法人	福井循環器病院	http://www.fcvc.or.jp	199	福井市新保2-228	0776-54-5660	36.077846	136.25025
25	特定医療法人	安川病院	http://www.yasukawa-hospital.jp	80	福井市大和田2-108	0776-52-2800	36.09515	136.247039
26	医療生協	光陽生協病院	http://hospital.koyo-gr.jp/	57	福井市光陽3-10-24	0776-24-5009	36.0655	136.195336
27	その他法人	福井総合病院	http://www.f-gh.jp/	315	福井市江上町第58号16-1	0776-59-2508	36.132529	136.165244
