id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人地域医療機能推進機構	山梨病院	http://yamanashi.jcho.go.jp	168	甲府市朝日3-11-16	055-252-8831	35.672045	138.563224
2	市町村	国民健康保険富士吉田市立病院	http://www.fymh.jp/forms/top/top.aspx	310	富士吉田市上吉田東7-11-1	0555-22-4111	35.474092	138.802026
3	地方独立行政法人	山梨県立北病院	http://www.ych.pref.yamanashi.jp/kitabyo/	192	韮崎市旭町上條南割3314-13	0551-22-1621	35.666508	138.43669
4	地方独立行政法人	山梨県立中央病院	https://www.ych.pref.yamanashi.jp	644	甲府市富士見1-1-1	055-253-7111	35.670919	138.550807
5	日赤	山梨赤十字病院	http://www.yamanashi-med.jrc.or.jp/	269	南都留郡富士河口湖町船津6663-1	0555-72-2222	35.485111	138.767555
6	公益法人	塩山市民病院	http://www.kosei.jp/enzan/	179	甲州市塩山西広門田433-1	0553-32-5111	35.694986	138.721103
7	公益法人	山梨厚生病院	http://www.kosei.jp/	497	山梨市落合860	0553-23-1311	35.686356	138.665246
8	医療法人	赤坂台病院	http://akasakadai.com/	100	甲斐市竜王新町2150	055-279-0111	35.678427	138.5076
9	医療法人	石和温泉病院	http://www.isawa-hsp.or.jp/	193	笛吹市石和町八田330-5	055-263-0111	35.65601	138.641159
10	医療法人	一宮温泉病院	http://1nomiya.or.jp	123	笛吹市一宮町坪井1745	0553-47-3131	35.653173	138.662699
11	医療法人	峡南病院	http://www9.plala.or.jp/yamanashi-ha/hospital/h09.html	40	南巨摩郡富士川町鰍沢1806	0556-22-4411	35.544051	138.458401
12	医療法人	恵信韮崎相互病院	http://nirasakisougo.com/	64	韮崎市一ツ谷1865-1	0551-22-2521	35.717253	138.436019
13	医療法人	甲府城南病院	http://www.kofujonan.or.jp/	298	甲府市上町753-1	055-241-5811	35.629419	138.595226
14	医療法人	笛吹中央病院	http://www.fch.or.jp	150	笛吹市石和町四日市場47-1	055-262-2185	35.641174	138.635207
15	医療法人	宮川病院	http://www.miyagawa-hospital.com/	41	南アルプス市上今諏訪1750	055-282-1107	35.634103	138.495808
16	特定医療法人	甲州リハビリテーション病院	http://www.krg.ne.jp/rehabili/	180	笛吹市石和町四日市場2031-25	055-262-3121	35.645714	138.625282
17	社会医療法人	加納岩総合病院	http://www.kanoiwa-hospital.or.jp/	160	山梨市上神内川1309	0553-22-2511	35.689895	138.683625
