id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	八戸病院	http://www.hosp.go.jp/~hatinohe/	138	八戸市吹上3-13-1	0178-45-6111	40.499966	141.496103
2	独立行政法人労働者健康安全機構	青森労災病院	https://www.aomorih.johas.go.jp/	468	八戸市大字白銀町字南ヶ丘1番地	0178-33-1551	40.51775	141.545298
3	都道府県	青森県立中央病院	http://aomori-kenbyo.jp/	684	青森市東造道2-1-1	017-726-8111	40.829795	140.79478
4	市町村	青森市民病院	https://www.city.aomori.aomori.jp/byouin/top.html	459	青森市勝田1-14-20	017-734-2171	40.815814	140.754871
5	市町村	黒石市国民健康保険黒石病院	http://hospital-kuroishi.jp	257	黒石市北美町一丁目70番地	0172-52-2121	40.655347	140.601072
6	市町村	公立七戸病院	http://www.hospital-shichinohe.aomori.jp/	110	上北郡七戸町字影津内98-1	0176-62-2105	40.698472	141.158548
7	市町村	国民健康保険大間病院	http://www.shimokita-mc.jp/oma/	48	下北郡大間町大字大間字大間平20-78	0175-37-2105	41.526564	140.926709
8	市町村	三戸中央病院	http://www.sannohe-hp.jp/	142	三戸郡三戸町川守田字沖中9-1	0179-20-1131	40.390954	141.268016
9	市町村	つがる総合病院	http://www.tsgren.jp/tsugaru-general-hospital/	438	五所川原市字岩木町12番地3	0173-35-3111	40.80786	140.440781
10	市町村	十和田市立中央病院	http://www.hp-chuou-towada.towada.aomori.jp/	379	十和田市西十二番町14-8	0176-23-5121	40.611893	141.204401
11	市町村	八戸市立市民病院	http://www.hospital.hachinohe.aomori.jp	608	八戸市田向三丁目１番1号	0178-72-5111	40.493803	141.512439
12	市町村	弘前市立病院	http://www.city.hirosaki.aomori.jp/hospital/	250	弘前市大字大町3-8-1	0172-34-3211	40.597074	140.478471
13	市町村	三沢市立三沢病院	http://www.hospital.misawa.aomori.jp/	220	三沢市大字三沢字堀口164-65	0176-53-2161	40.669329	141.389883
14	市町村	むつ総合病院	http://www.hospital-mutsu.or.jp/	434	むつ市小川町1-2-8	0175-22-2111	41.293311	141.201229
15	日赤	八戸赤十字病院	http://www.hachinohe.jrc.or.jp	434	八戸市田面木字中明戸2	0178-27-3111	40.500889	141.447915
16	公益法人	メディカルコート八戸西病院	http://sg-silver.jp/	199	八戸市長苗代字中坪77	0178-28-4000	40.516983	141.451529
17	医療法人	八戸平和病院	http://www.heiwa-hp.or.jp/	121	八戸市湊高台2-4-6	0178-31-2222	40.506896	141.53752
18	医療生協	健生病院	https://www.kensei-hp.jp/	282	弘前市大字扇町2-2-2	0172-55-7717	40.58658	140.50135
19	その他法人	鳴海病院	http://www.narumihospital.or.jp/	116	弘前市品川町19	0172-32-5211	40.596965	140.475238
