id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	信州上田医療センター	http://www.nagano-hosp.go.jp/	420	上田市緑が丘1-27-21	0268-22-1890	36.413137	138.251505
2	独立行政法人国立病院機構	まつもと医療センター	http://mmccenta.jp/index.html	573	松本市村井町南2-20-30	0263-58-4567	36.175729	137.964117
3	市町村	飯田市立病院	http://www.imh.jp	423	飯田市八幡町438	0265-21-1255	35.499701	137.836749
4	市町村	伊那中央病院	https://www.inahp.jp	394	伊那市小四郎久保1313-1	0265-72-3121	35.855831	137.954977
5	市町村	岡谷市民病院	http://www.okaya-hosp.jp/	295	岡谷市本町4-11-33	0266-23-8000	36.065399	138.048055
6	市町村	組合立諏訪中央病院	http://www.suwachuo.jp/	360	茅野市玉川4300	0266-72-1000	35.990559	138.175829
7	市町村	国民健康保険　依田窪病院	http://www.yodakubo-hp.jp/	140	小県郡長和町古町2857	0268-68-2036	36.273465	138.266265
8	市町村	昭和伊南総合病院	http://www.sihp.jp/	300	駒ヶ根市赤穂3230	0265-82-2121	35.73773	137.920043
9	市町村	市立大町総合病院	https://www.omachi-hospital.jp	199	大町市大町3130	0261-22-0415	36.501408	137.858221
10	市町村	町立辰野病院	http://hosp.town.tatsuno.nagano.jp	100	上伊那郡辰野町大字辰野1445-5	0266-41-0238	35.984198	137.991198
11	地方独立行政法人	長野県立信州医療センター	http://shinshumedicalcenter.jp	320	須坂市大字須坂1332	026-245-1650	36.653931	138.309451
12	地方独立行政法人	長野市民病院	http://www.hospital.nagano.nagano.jp/	400	長野市富竹1333-1	026-295-1199	36.669633	138.254297
13	日赤	安曇野赤十字病院	http://www.azumino.jrc.or.jp/	316	安曇野市豊科5685	0263-72-3170	36.302769	137.907885
14	日赤	飯山赤十字病院	http://www.iiyama.jrc.or.jp/	284	飯山市大字飯山226-1	0269-62-4195	36.844574	138.362247
15	日赤	川西赤十字病院	http://kawanishi.jrc.or.jp	84	佐久市望月318	0267-53-3011	36.265487	138.358625
16	日赤	下伊那赤十字病院	http://shimoina.jrc.or.jp/	112	下伊那郡松川町元大島3159-1	0265-36-2255	35.60017	137.911541
17	日赤	諏訪赤十字病院	http://www.suwa.jrc.or.jp/	455	諏訪市湖岸通り5-11-50	0266-52-6111	36.043501	138.107144
18	日赤	長野赤十字病院	http://www.nagano-med.jrc.or.jp/	680	長野市若里5-22-1	026-226-4131	36.627338	138.190035
19	厚生連	浅間南麓こもろ医療センター	http://www.komoro-mc.com	246	小諸市相生町3-3-21	0267-22-1070	36.326826	138.426062
20	厚生連	鹿教湯三才山リハビリテーションセンター鹿教湯病院	http://km-rehacenter.jp/kakeyu/	416	上田市鹿教湯温泉1308	0268-44-2111	36.302368	138.135624
21	厚生連	鹿教湯三才山リハビリテーションセンター三才山病院	http://km-rehacenter.jp/misayama/	246	上田市鹿教湯温泉1777	0268-44-2321	36.294634	138.090028
22	厚生連	北アルプス医療センターあづみ病院	http://www.azumi-ghp.jp/	320	北安曇郡池田町池田3207-1	0261-62-3166	36.420746	137.87334
23	厚生連	佐久総合病院	http://www.sakuhp.or.jp/ja/honin/index.html	309	佐久市臼田197	0267-82-3131	36.19756	138.479902
24	厚生連	下伊那厚生病院	http://shimoina-hp.jp/	111	下伊那郡高森町吉田481-13	0265-35-7511	35.551166	137.888672
25	厚生連	長野松代総合病院	http://www.nagano-matsushiro.or.jp/	365	長野市松代町松代183	026-278-2031	36.563836	138.198686
26	厚生連	富士見高原医療福祉センター富士見高原病院	http://www.fujimihp.com/	161	諏訪郡富士見町落合11100	0266-62-3030	35.914738	138.244677
27	厚生連	北信総合病院	http://www.hokushin-hosp.jp/	419	中野市西1-5-63	0269-22-2151	36.74693	138.365332
28	厚生連	南長野医療センター篠ノ井総合病院	http://www.shinonoi-ghp.jp	433	長野市篠ノ井会666-1	026-292-2261	36.574487	138.149596
29	厚生連	南長野医療センター新町病院	http://www.shinmachi-hsp.com/	140	長野市信州新町上条137	026-262-3111	36.573024	138.021545
30	医療法人	朝日ながの病院	http://www.asahi-nagano.com/	161	長野市三輪1-2-43	026-215-8081	36.655772	138.204683
31	医療法人	一之瀬脳神経外科病院	http://inh.or.jp/	77	松本市島立2093	0263-48-3300	36.229085	137.937161
32	医療法人	輝山会記念病院	http://www.kizankai.or.jp/	199	飯田市毛賀1707	0265-26-8111	35.476742	137.841726
33	医療法人	諏訪湖畔病院	http://www.kensei-kai.jp/	273	岡谷市長地小萩1-11-30	0266-27-5500	36.080607	138.055978
34	医療法人	中村病院	http://www.nakamura-hospital.jp/	100	塩尻市広丘高出1614-2	0263-52-3321	36.122048	137.958896
35	医療法人	藤森病院		60	松本市中央2-9-8	0263-33-3672	36.233235	137.970812
36	医療法人	松岡病院	http://www.matuokahp.com/	128	松本市寿北2-6-2	0263-25-1093	36.204821	137.976696
37	医療法人	山田記念朝日病院	http://www.asahi-hospital.com	48	長野市南堀135-1	026-244-6411	36.663374	138.241495
38	特定医療法人	新生病院	http://www.newlife.or.jp/	155	上高井郡小布施町大字小布施851	026-247-2033	36.688852	138.320293
39	特定医療法人	丸子中央病院	http://maruko-hp.jp/	200	上田市中丸子1771-1	0268-42-1111	36.338161	138.270306
40	社会医療法人	相澤東病院	http://www.ai-hosp.or.jp/higashi/index.html	54	松本市本庄2-11-16	0263-33-2500	36.226281	137.975634
41	社会医療法人	相澤病院	http://www.ai-hosp.or.jp	460	松本市本庄2-5-1	0263-33-8600	36.22668	137.973589
42	社会医療法人	飯田病院	http://www.iida.or.jp/	447	飯田市大通1-15	0265-22-5150	35.515931	137.817729
43	社会医療法人	くろさわ病院	http://www.keijinnet.or.jp/	83	佐久市中込1-17-8	0267-64-1711	36.230916	138.477631
44	社会医療法人	塩尻協立病院	http://www.chushin-miniren.gr.jp/shiojiri/	99	塩尻市桟敷437	0263-53-5353	36.114453	137.969068
45	社会医療法人	城西病院	http://www.shironishi.or.jp/sh/	239	松本市城西1-5-16	0263-33-6400	36.239485	137.962472
46	社会医療法人	諏訪共立病院	http://www.skhp.or.jp/	110	諏訪郡下諏訪町矢木町214	0266-28-3071	36.076783	138.082078
47	社会医療法人	松本協立病院	http://www.chushin-miniren.gr.jp/	199	松本市巾上9-26	0263-35-5333	36.229743	137.962993
48	社会医療法人	丸の内病院	http://www.marunouchi.or.jp/	199	松本市渚1-7-45	0263-28-3003	36.235595	137.955217
49	医療生協	長野中央病院	http://www.nagano-chuo-hospital.jp/	322	長野市西鶴賀町1570	026-234-3307	36.651286	138.195366
