id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人地域医療機能推進機構	可児とうのう病院	http://kani.jcho.go.jp/	250	可児市土田1221-5	0574-25-3113	35.417771	137.01701
2	市町村	大垣市民病院	http://www.ogaki-mh.jp/	903	大垣市南頬町4-86	0584-81-3341	35.35225	136.621839
3	市町村	岐阜市民病院	http://gmhosp.jp/	609	岐阜市鹿島町7-1	058-251-1101	35.414566	136.733532
4	市町村	郡上市民病院	http://www.gujo-hospital.jp/	150	郡上市八幡町島谷1261	0575-67-1611	35.747276	136.951445
5	市町村	総合病院中津川市民病院	http://nakatsugawa-hp.jp/	360	中津川市駒場1522-1	0573-66-1251	35.489576	137.479652
6	市町村	多治見市民病院	http://www.kouseikai-tajimi-shimin.jp	250	多治見市前畑町3-43	0572-22-5211	35.330724	137.118121
7	市町村	羽島市民病院	http://www.hashima-hp.jp	281	羽島市新生町3-246	058-393-0111	35.328686	136.709054
8	市町村	美濃市立美濃病院	http://minohospital.jp/	122	美濃市中央4-3	0575-33-1221	35.538898	136.901281
9	地方独立行政法人	岐阜県総合医療センター	https://www.gifu-hp.jp/	604	岐阜市野一色4-6-1	058-246-1111	35.410625	136.798871
10	地方独立行政法人	岐阜県立下呂温泉病院	http://www.gero-hp.jp	206	下呂市森2211	0576-23-2222	35.807979	137.252843
11	地方独立行政法人	岐阜県立多治見病院	http://www.tajimi-hospital.jp	575	多治見市前畑町5-161	0572-22-5311	35.328153	137.111777
12	日赤	岐阜赤十字病院	http://www.gifu-med.jrc.or.jp/	311	岐阜市岩倉町3-36	058-231-2266	35.433792	136.755329
13	日赤	高山赤十字病院	http://www.takayama.jrc.or.jp/	472	高山市天満町3-11	0577-32-1111	36.13693	137.254542
14	厚生連	岐阜・西濃医療センター揖斐厚生病院	http://www.ibi.gfkosei.or.jp/	281	揖斐郡揖斐川町三輪2547-4	0585-21-1111	35.483631	136.573204
15	厚生連	岐阜・西濃医療センター　岐北厚生病院	http://www.gihoku.gfkosei.or.jp/	316	山県市高富1187-3	0581-22-1811	35.492252	136.787456
16	厚生連	岐阜・西濃医療センタ－　西美濃厚生病院	http://www.nishimino.gfkosei.or.jp	315	養老郡養老町押越986	0584-32-1161	35.30522	136.558044
17	厚生連	飛騨医療センター　久美愛厚生病院	http://www.kumiai.gfkosei.or.jp/	300	高山市中切町1-1	0577-32-1115	36.166948	137.237246
18	厚生連	中濃厚生病院	http://www.chuno.gfkosei.or.jp/	495	関市若草通5-1	0575-22-2211	35.494672	136.921259
19	厚生連	東濃厚生病院	http://www.tohno.gfkosei.or.jp/	270	瑞浪市土岐町76-1	0572-68-4111	35.365118	137.25559
20	共済組合及び連合会	東海中央病院	http://www.tokaihp.jp	332	各務原市蘇原東島町4-6-2	058-382-3101	35.409955	136.87518
21	医療法人	岩砂病院・岩砂マタニティ	https://iwasa-gifu.or.jp/	132	岐阜市八代1-7-1	058-231-2631	35.458231	136.774149
22	医療法人	大垣徳洲会病院	http://www.ogaki.tokushukai.or.jp	283	大垣市林町6-85-1	0584-77-6110	35.372434	136.617675
23	医療法人	笠松病院	http://www.seiyuukai.or.jp	88	岐阜市中鶉3-11	058-276-2881	35.383592	136.734308
24	医療法人	河村病院	http://kawamuramedical.or.jp/	315	岐阜市芥見大般若1-84	058-241-3311	35.439033	136.844064
25	医療法人	岐阜清流病院	http://www.skhosp.or.jp/	372	岐阜市川部3-25	058-239-8111	35.43544	136.707556
26	医療法人	澤田病院	http://www.sawada-hp.or.jp	229	岐阜市野一色7-2-5	058-247-3355	35.417279	136.805528
27	医療法人	白川病院	http://www.shirakawahp.com	124	加茂郡白川町坂ノ東5770	0574-72-2222	35.603722	137.164937
28	医療法人	関中央病院	http://www.sekichuo.jp	150	関市平成通2-6-18	0575-22-0012	35.470559	136.936046
29	医療法人	八幡病院	http://hachiman-hosp.jp/	71	郡上市八幡町桜町278	0575-65-2151	35.750703	136.960721
30	医療法人	平野総合病院	http://www.hiranogh.com/hiraindex.html	189	岐阜市黒野176-5	058-239-2325	35.458513	136.726991
31	医療法人	山内ホスピタル	http://www.kanamekai.com	129	岐阜市市橋3-7-22	058-276-2131	35.399203	136.725356
32	特定医療法人	太田病院	http://www.ohta-hospital.jp/hospital/index.html	89	美濃加茂市太田町2855-1	0574-26-1251	35.439896	137.014795
33	特定医療法人	新生病院	https://www.shinsei-hospital.jp/	96	揖斐郡池田町本郷1551-1	0585-45-3161	35.442998	136.575717
34	特定医療法人	のぞみの丘ホスピタル	http://www.minokamo.or.jp	310	美濃加茂市蜂屋町上蜂屋3555	0574-25-3188	35.454078	137.012972
35	特定医療法人	博愛会病院	http://www.hakuaikai.jp	281	不破郡垂井町2210-42	0584-23-1251	35.373334	136.537876
36	社会医療法人	木沢記念病院	http://kizawa-memorial-hospital.jp	452	美濃加茂市古井町下古井590	0574-25-2181	35.440652	137.023428
37	社会医療法人	鷲見病院	http://sumihosp.or.jp/	149	郡上市白鳥町白鳥2-1	0575-82-3151	35.880103	136.857761
38	社会医療法人	松波総合病院	http://www.matsunami-hsp.or.jp/	501	羽島郡笠松町田代185-1	058-388-0111	35.364532	136.757091
39	私立学校法人	朝日大学病院	http://www.murakami.asahi-u.ac.jp	381	岐阜市橋本町3-23	058-253-8001	35.410641	136.749838
40	その他法人	海津市医師会病院	http://www.kaizu.gifu.med.or.jp/byouin/top_a.html	136	海津市海津町福江656-16	0584-53-7111	35.172384	136.661255
41	個人	藤掛第一病院	http://www.fujikake-hosp.jp	119	岐阜市一番町1	058-265-5255	35.418451	136.761811
