id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	静岡医療センター	https://shizuoka-mc.hosp.go.jp/	450	駿東郡清水町長沢762-1	055-975-2000	35.0999	138.889892
2	独立行政法人国立病院機構	静岡てんかん・神経医療センター	http://www.shizuokamind.org/	410	静岡市葵区漆山886	054-245-5446	35.019419	138.397724
3	独立行政法人労働者健康安全機構	浜松労災病院	http://www.hamamatsuh.johas.go.jp/	312	浜松市東区将監町25	053-462-1211	34.717212	137.756009
4	独立行政法人地域医療機能推進機構	桜ヶ丘病院	http://sakuragaoka.jcho.go.jp/	199	静岡市清水区桜が丘町13-23	054-353-5311	35.009154	138.479607
5	独立行政法人地域医療機能推進機構	三島総合病院	http://mishima.jcho.go.jp	181	三島市谷田字藤久保2276	055-975-3031	35.124065	138.951745
6	都道府県	静岡県立静岡がんセンター	http://www.scchr.jp/	615	駿東郡長泉町下長窪1007番地	055-989-5222	35.157143	138.882554
7	市町村	磐田市立総合病院	http://www.hospital.iwata.shizuoka.jp/	500	磐田市大久保512-3	0538-38-5000	34.768963	137.857029
8	市町村	菊川市立総合病院	http://www.kikugawa-hosp.jp	260	菊川市東横地1632	0537-35-2135	34.733336	138.099504
9	市町村	共立蒲原総合病院	http://www.kanbarahp.com/	267	富士市中之郷2500-1	0545-81-2211	35.133609	138.616376
10	市町村	公立森町病院	http://hospital.town.morimachi.shizuoka.jp	131	周智郡森町草ケ谷391-1	0538-85-2181	34.824792	137.918033
11	市町村	静岡市立清水病院	http://www.shimizuhospital.com/	463	静岡市清水区宮加三1231	054-336-1111	34.982884	138.490215
12	市町村	市立御前崎総合病院	https://omaezaki-hospital.jp/	199	御前崎市池新田2060	0537-86-8511	34.64575	138.119051
13	市町村	市立湖西病院	https://www.hospital.kosai.shizuoka.jp/	196	湖西市鷲津2259-1	053-576-1231	34.712482	137.549105
14	市町村	市立島田市民病院	http://www.municipal-hospital.shimada.shizuoka.jp/	536	島田市野田1200-5	0547-35-2111	34.846005	138.18321
15	市町村	中東遠総合医療センター	http://www.chutoen-hp.shizuoka.jp	500	掛川市菖蒲ヶ池1-1	0537-28-9501	34.75645	137.998087
16	市町村	沼津市立病院	http://www.numazu-hospital.shizuoka.jp/	387	沼津市東椎路字春ノ木550	055-924-5100	35.119769	138.835208
17	市町村	浜松医療センター	http://www.hmedc.or.jp/	606	浜松市中区富塚町328	053-453-7111	34.716209	137.701268
18	市町村	浜松市リハビリテーション病院	http://www.hriha.jp/	225	浜松市中区和合北1-6-1	053-471-8331	34.737761	137.719515
19	市町村	藤枝市立総合病院	http://www.hospital.fujieda.shizuoka.jp/	564	藤枝市駿河台4-1-11	054-646-1111	34.861287	138.229896
20	市町村	富士市立中央病院	http://byoin.city.fuji.shizuoka.jp/	520	富士市高島町50	0545-52-1131	35.158269	138.670788
21	市町村	富士宮市立病院	http://fujinomiya-hp.jp	380	富士宮市錦町3-1	0544-27-3151	35.219554	138.615319
22	市町村	焼津市立総合病院	http://www.hospital.yaizu.shizuoka.jp/	471	焼津市道原1000	054-623-3111	34.83772	138.305564
23	地方独立行政法人	静岡県立総合病院	http://www.shizuoka-pho.jp/sogo/	712	静岡市葵区北安東4-27-1	054-247-6111	35.003136	138.386272
24	地方独立行政法人	静岡市立静岡病院	https://www.shizuokahospital.jp	506	静岡市葵区追手町10-93	054-253-3125	34.978432	138.380185
25	日赤	伊豆赤十字病院	http://izurc.jp	94	伊豆市小立野100	0558-72-2148	34.97566	138.94524
26	日赤	引佐赤十字病院	http://www.inasa.jrc.or.jp/	99	浜松市北区引佐町金指1020	053-542-0115	34.819396	137.681945
27	日赤	静岡赤十字病院	http://www.shizuoka-med.jrc.or.jp/	465	静岡市葵区追手町8-2	054-254-4311	34.976412	138.380497
28	日赤	裾野赤十字病院	http://www.susono-jrc.jp/	104	裾野市佐野713	055-992-0008	35.179311	138.911966
29	日赤	浜松赤十字病院	http://www.hamamatsu.jrc.or.jp	312	浜松市浜北区小林1088-1	053-401-1111	34.806124	137.79006
30	済生会	静岡済生会総合病院	http://www.siz.saiseikai.or.jp/hosp/	521	静岡市駿河区小鹿1-1-1	054-285-6171	34.975457	138.41309
31	厚生連	ＪＡ静岡厚生連遠州病院	http://k-enshu.ja-shizuoka.or.jp	400	浜松市中区中央1-1-1	053-453-1111	34.71293	137.734718
32	厚生連	ＪＡ静岡厚生連清水厚生病院	http://www.ja-shizuoka.or.jp/k-shimizu/	154	静岡市清水区庵原町578-1	054-366-3333	35.045223	138.474947
33	厚生連	静岡厚生病院	http://www.ja-shizuoka.or.jp/szkosei-hosp/	265	静岡市葵区北番町23	054-271-7177	34.978829	138.370236
34	厚生連	リハビリテーション中伊豆温泉病院	http://www.k-nakaizu.jp/	285	伊豆市上白岩1000	0558-83-3333	34.960026	138.98244
35	公益法人	公益社団法人有隣厚生会富士病院	http://www.yuurinkouseikai.or.jp/	160	御殿場市新橋1784	0550-83-3333	35.298351	138.935582
36	公益法人	東部病院	http://www.toububyouin.org/	60	御殿場市茱萸沢1180-2	0550-89-8000	35.306193	138.921031
37	公益法人	沼津リハビリテーション病院	http://www.fukkou-kai.jp/nrh/	106	沼津市上香貫蔓陀ケ原2510-22	055-931-1911	35.074913	138.863726
38	医療法人	熱川温泉病院	http://www.atagawa.gr.jp	199	賀茂郡東伊豆町白田424	0557-23-0843	34.80697	139.052933
39	医療法人	熱海所記念病院	http://atami-tokoro.jp/	144	熱海市昭和町20-20	0557-82-3000	35.091503	139.06853
40	医療法人	池田病院	http://www.ikeda-hp-g.or.jp	88	駿東郡長泉町本宿411-5	055-986-1212	35.120475	138.890461
41	医療法人	伊豆平和病院	http://www.shinkohkai.jp/heiwa/	169	田方郡函南町平井1690-13	055-974-1355	35.106757	138.987424
42	医療法人	岡本石井病院	http://www.seishinkai-med.or.jp/	197	焼津市小川新町5-2-3	054-627-5585	34.853323	138.317899
43	医療法人	御殿場かいせい病院	http://www.gotenba-kaisei.jp	120	御殿場市大坂57-8	0550-87-3737	35.245336	138.925084
44	医療法人	湖山リハビリテーション病院	http://www.momoha.or.jp	192	富士市大渕405-25	0545-36-2000	35.196312	138.696868
45	医療法人	十全記念病院	http://www.jyuzen-byouin.com/	299	浜松市浜北区小松1700	053-586-1115	34.792356	137.764086
