id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	豊橋医療センター	http://www.toyohashi-hosp.jp/	414	豊橋市飯村町字浜道上50	0532-62-0301	34.746315	137.43425
2	独立行政法人国立病院機構	名古屋医療センター	http://www.nnh.go.jp/	728	名古屋市中区三の丸4-1-1	052-951-1111	35.184366	136.905539
3	独立行政法人国立病院機構	東名古屋病院	https://higashinagoya.hosp.go.jp/	370	名古屋市名東区梅森坂5-101	052-801-1151	35.140179	137.017379
4	独立行政法人労働者健康安全機構	旭労災病院	http://www.asahih.johas.go.jp	250	尾張旭市平子町北61	0561-54-3131	35.223623	137.016619
5	独立行政法人労働者健康安全機構	中部労災病院	http://www.chubuh.johas.go.jp	556	名古屋市港区港明1-10-6	052-652-5511	35.108258	136.889353
6	独立行政法人地域医療機能推進機構	中京病院	https://chukyo.jcho.go.jp/	661	名古屋市南区三条1-1-10	052-691-7151	35.109881	136.901974
7	都道府県	愛知県医療療育総合センター中央病院	http://www.aichi-colony.jp/	267	春日井市神屋町713-8	0568-88-0811	35.303501	137.038171
8	都道府県	愛知県がんセンター	http://www.pref.aichi.jp/cancer-center/hosp/	500	名古屋市千種区鹿子殿1-1	052-762-6111	35.175783	136.971823
9	都道府県	愛知県精神医療センター	http://www.pref.aichi.jp/seishiniryo-center	273	名古屋市千種区徳川山町4-1-7	052-763-1511	35.172502	136.968681
10	都道府県	あいち小児保健医療総合センター	http://www.achmc.pref.aichi.jp/	200	大府市森岡町7-426	0562-43-0500	34.998586	136.954122
11	市町村	あま市民病院	http://www.city-ama-hosp.jp	180	あま市甚目寺畦田1番地	052-444-0050	35.19997	136.825897
12	市町村	一宮市立市民病院	https://www.municipal-hospital.ichinomiya.aichi.jp	594	一宮市文京2-2-22	0586-71-1911	35.312744	136.805846
13	市町村	稲沢市民病院	http://www.inazawa-hospital.jp/	320	稲沢市長束町沼100	0587-32-2111	35.241315	136.809101
14	市町村	岡崎市民病院	http://www.okazakihospital.jp	715	岡崎市高隆寺町字五所合3-1	0564-21-8111	34.949532	137.203769
15	市町村	岡崎市立愛知病院	http://aichihospital.okazakihospital.jp/	151	岡崎市欠町字栗宿18-1	0564-21-6251	34.951748	137.194415
16	市町村	春日井市民病院	http://www.hospital.kasugai.aichi.jp/	558	春日井市鷹来町1-1-1	0568-57-0057	35.271883	136.969325
17	市町村	蒲郡市民病院	http://gamagori-hospital.com/	382	蒲郡市平田町向田1-1	0533-66-2200	34.832075	137.241931
18	市町村	公立陶生病院	http://www.tosei.or.jp/	633	瀬戸市西追分町160番地	0561-82-5101	35.225845	137.0818
19	市町村	公立西知多総合病院	http://www.nishichita-hp.aichi.jp/	468	東海市中ノ池3-1-1	0562-33-5500	34.999141	136.89912
20	市町村	小牧市民病院	http://www.komakihp.gr.jp/	558	小牧市常普請1-20	0568-76-4131	35.287345	136.917165
21	市町村	新城市民病院	http://www.hospital.shinshiro.aichi.jp/	199	新城市字北畑32-1	0536-22-2171	34.898333	137.48969
22	市町村	津島市民病院	http://www.tsushimacity-hp.jp	440	津島市橘町3-73	0567-28-5151	35.173791	136.737593
23	市町村	常滑市民病院	http://www.tokonamecityhospital.jp/	267	常滑市飛香台3-3-3	0569-35-3170	34.895044	136.85335
24	市町村	豊川市民病院	http://www.toyokawa-ch-aichi.jp/	527	豊川市八幡町野路23	0533-86-1111	34.828382	137.351527
25	市町村	豊橋市民病院	http://www.municipal-hospital.toyohashi.aichi.jp/	800	豊橋市青竹町字八間西50	0532-33-6111	34.760904	137.34882
26	市町村	西尾市民病院	http://nishio-shimin-byouin.jp/	372	西尾市熊味町上泡原6	0563-56-3171	34.873711	137.068205
27	市町村	半田市立半田病院	http://www.handa-city-hospital.jp/	499	半田市東洋町2-29	0569-22-9881	34.89216	136.939763
28	市町村	碧南市民病院	http://www.city.hekinan.aichi.jp/HOSPITAL/	319	碧南市平和町3-6	0566-48-5050	34.901792	137.012981
29	市町村	みよし市民病院	http://www.hospital-miyoshi.jp/	122	みよし市三好町八和田山15	0561-33-3300	35.07937	137.07745
30	地方独立行政法人	名古屋市立大学病院	https://w3hosp.med.nagoya-cu.ac.jp/	800	名古屋市瑞穂区瑞穂町字川澄1	052-851-5511	35.138728	136.934926
