id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	三重中央医療センター	http://www.miechuo-hosp.jp	486	津市久居明神町2158-5	059-259-1211	34.686	136.465001
2	独立行政法人地域医療機能推進機構	四日市羽津医療センター	http://yokkaichi.jcho.go.jp/	226	四日市市羽津山町10-8	059-331-2000	34.989232	136.626228
3	市町村	伊賀市立上野総合市民病院	http://www.cgh-iga.jp/	281	伊賀市四十九町831	0595-24-1111	34.746061	136.132417
4	市町村	尾鷲総合病院	http://owasehp.jp/	255	尾鷲市上野町5-25	0597-22-3111	34.069817	136.188455
5	市町村	市立伊勢総合病院	http://hospital.city.ise.mie.jp/	300	伊勢市楠部町3038	0596-23-5111	34.482906	136.726703
6	市町村	市立四日市病院	http://www.city.yokkaichi.mie.jp/hospital/	568	四日市市芝田2-2-37	059-354-1111	34.971969	136.607718
7	市町村	松阪市民病院	http://www.city.matsusaka.mie.jp/site/hosannai/	328	松阪市殿町1550	0598-23-1515	34.577508	136.525965
8	地方独立行政法人	桑名市総合医療センター	https://www.kuwanacmc.or.jp	400	桑名市寿町3-11	0594-22-1211	35.065277	136.686908
9	日赤	伊勢赤十字病院	http://www.ise.jrc.or.jp	655	伊勢市船江1-471-2	0596-28-2171	34.500738	136.713405
10	済生会	済生会松阪総合病院	http://www.matsusaka.saiseikai.or.jp	430	松阪市朝日町1区15-6	0598-51-2626	34.579709	136.537039
11	済生会	三重県済生会明和病院	http://www.meiwa-saiseikai.jp/	264	多気郡明和町大字上野435	0596-52-0131	34.531512	136.629986
12	厚生連	大台厚生病院	http://www.miekosei.or.jp/5_okh/	110	多気郡大台町上三瀬663-2	0598-82-1313	34.397573	136.417729
13	厚生連	鈴鹿厚生病院	http://www.miekosei.or.jp/7_skh/	320	鈴鹿市岸岡町589-2	059-382-1401	34.856995	136.601889
14	厚生連	鈴鹿中央総合病院	http://www.miekosei.or.jp/2_sch/	460	鈴鹿市安塚町山之花1275-53	059-382-1311	34.865847	136.56998
15	厚生連	松阪中央総合病院	http://www.miekosei.or.jp/1_mch/	440	松阪市川井町字小望102	0598-21-5252	34.582102	136.511623
16	厚生連	三重北医療センター　いなべ総合病院	http://www.miekosei.or.jp/4_ish/	220	いなべ市北勢町阿下喜771	0594-72-2000	35.146552	136.514382
17	厚生連	三重北医療センター　菰野厚生病院	http://www.miekosei.or.jp/3_kkh/	230	三重郡菰野町大字福村75	059-393-1212	35.008656	136.520848
18	医療法人	伊勢田中病院	http://www.isetanaka.jp/	83	伊勢市大世古4-6-47	0596-25-3111	34.500262	136.702382
19	医療法人	岩崎病院	http://www.iwasaki-hosp.or.jp/	47	津市一身田町333	059-232-2216	34.759076	136.509298
20	医療法人	倉本内科病院	http://www.kuramotohospital.net	50	津市下弁財町津興3040	059-227-6712	34.704722	136.510727
21	医療法人	榊原白鳳病院	http://www.ohrin-mc.jp/hakuho	201	津市榊原町5630	059-252-2300	34.700561	136.368944
22	医療法人	富田浜病院	http://tomidahama.jp/index.php	145	四日市市富田浜町26-14	059-365-0023	34.998049	136.652384
23	医療法人	永井病院	http://www.nagai-hp.or.jp/	199	津市西丸之内29-29	059-228-5181	34.719182	136.501579
24	医療法人	花の丘病院	http://www.shoutoku.or.jp/hananooka/	96	松阪市山室町707-3	0598-29-8700	34.530607	136.502651
25	医療法人	みたき総合病院	http://mitakihp.jp/	199	四日市市生桑町菰池458-1	059-330-6000	34.979927	136.603497
26	医療法人	村瀬病院	http://www.murase.or.jp/hospital/	218	鈴鹿市神戸3-12-10	0593-82-0330	34.878452	136.584074
27	医療法人	ヨナハ総合病院	http://www.yonaha.jp	147	桑名市和泉8-264-3	0594-23-2415	35.043321	136.680956
28	医療法人	若葉病院	http://wakabahsp.jp/	130	津市南中央28-13	059-227-0207	34.707832	136.509673
29	特定医療法人	榊原温泉病院	http://www.sakaki-hosp.jp/	297	津市榊原町1033-4	059-252-1111	34.702353	136.383758
30	特定医療法人	武内病院	http://www.takeuchi-hosp.jp/	147	津市北丸之内82	059-226-1111	34.72231	136.509384
31	特定医療法人	遠山病院	http://www.toyama-hp.jp	180	津市南新町17-22	059-227-6171	34.714335	136.498438
32	特定医療法人	山中胃腸科病院	http://www.yamanaka-hsp.or.jp/	93	四日市市小古曽3-5-33	059-345-0511	34.926214	136.587383
33	社会医療法人	鈴鹿回生病院	http://www.kaiseihp.com/	379	鈴鹿市国府町112-1	0593-75-1212	34.86044	136.495282
34	医療生協	津生協病院	http://www.tsucoop.jp/	149	津市船頭町1721	059-225-2848	34.710205	136.514739
