id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	紫香楽病院	http://nho-shigaraki.jp/	180	甲賀市信楽町牧997	0748-83-0101	34.915842	136.084595
2	独立行政法人国立病院機構	東近江総合医療センター	https://higashiomi.hosp.go.jp/	320	東近江市五智町255	0748-22-3030	35.094205	136.229246
3	独立行政法人地域医療機能推進機構	滋賀病院	https://shiga.jcho.go.jp/	325	大津市富士見台１６－１	077-537-3101	34.985793	135.884648
4	都道府県	滋賀県立総合病院	http://www.pref.shiga.lg.jp/kensou/index.html	535	守山市守山5-4-30	077-582-5031	35.061822	135.988149
5	市町村	近江八幡市立総合医療センター	http://www.kenkou1.com/	407	近江八幡市土田町1379	0748-33-3151	35.124247	136.087178
6	市町村	公立甲賀病院	http://www.kohka-hp.or.jp/	413	甲賀市水口町松尾1256	0748-62-0234	34.982684	136.177922
7	市町村	市立長浜病院	http://www.nagahama-hp.jp/	600	長浜市大戌亥町313	0749-68-2300	35.369486	136.286463
8	市町村	高島市民病院	http://www.city.takashima.shiga.jp/tmh/	210	高島市勝野1667	0740-36-0220	35.29237	136.011451
9	市町村	長浜市立湖北病院	http://www.ikbk.jp	140	長浜市木之本町黒田1221	0749-82-3315	35.50492	136.212369
10	市町村	彦根市立病院	http://www.municipal-hp.hikone.shiga.jp	438	彦根市八坂町1882	0749-22-6050	35.262094	136.225134
11	地方独立行政法人	市立大津市民病院	https://och.or.jp/	439	大津市本宮2-9-9	077-522-4607	34.999992	135.876261
12	日赤	大津赤十字志賀病院	https://www.otsu-shiga.jrc.or.jp/	150	大津市和邇中298	077-594-8777	35.15731	135.913837
13	日赤	大津赤十字病院	http://www.otsu.jrc.or.jp	796	大津市長等1-1-35	077-522-4131	35.007238	135.859906
14	日赤	長浜赤十字病院	http://www.nagahama.jrc.or.jp/	504	長浜市宮前町14-7	0749-63-2111	35.383482	136.273326
15	済生会	済生会滋賀県病院	http://www.saiseikai-shiga.jp/	393	栗東市大橋2-4-1	077-552-1221	35.033106	136.001198
16	公益法人	ヴォーリズ記念病院	http://www.vories.or.jp/	168	近江八幡市北之庄町492	0748-32-5211	35.15244	136.08952
17	公益法人	滋賀八幡病院	http://www.seijyukai.jp/	350	近江八幡市鷹飼町744	0748-33-7101	35.124866	136.104142
18	公益法人	豊郷病院	http://www.toyosato.or.jp/	338	犬上郡豊郷町八目12	0749-35-3001	35.198803	136.231134
19	医療法人	甲南病院	http://www.kohnan-shiga.or.jp	199	甲賀市甲南町葛木958	0748-86-3131	34.929007	136.175371
20	医療法人	琵琶湖大橋病院	http://www.boh.or.jp	199	大津市真野5-1-29	077-573-4321	35.128302	135.922867
21	医療法人	琵琶湖中央病院	http://www.biwako-chuo-byoin.jp/	180	大津市御殿浜22-33	077-526-2131	34.989374	135.896177
22	医療法人	マキノ病院	http://www.makino-hosp.or.jp	120	高島市マキノ町新保1097	0740-27-0099	35.44572	136.032903
23	医療法人	南草津病院	http://www.373932hp.jp	137	草津市野路5-2-39	077-562-0724	35.002109	135.951602
24	医療法人	友仁山崎病院	http://www.yujin-yamazaki.co.jp/	157	彦根市竹ヶ鼻町80	0749-23-1800	35.24115	136.247663
25	特定医療法人	東近江敬愛病院	http://www.keiaikai.or.jp/	154	東近江市八日市東本町8-16	0748-22-2222	35.108804	136.204147
26	社会医療法人	草津総合病院	http://kusatsu-gh.or.jp/ghk/	619	草津市矢橋町1660	077-563-8866	35.011133	135.927073
27	社会福祉法人	セフィロト病院	http://www.seishokai.jp/sephiroth/	179	長浜市寺田町257	0749-62-1652	35.364138	136.28656
28	その他法人	今津病院	http://www.oumiairinen.org/hospital/	80	高島市今津町南新保87-1	0740-22-2238	35.406953	136.043135
