id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	宇多野病院	http://www.utanohosp.jp/	380	京都市右京区鳴滝音戸山町8	075-461-5121	35.028737	135.701539
2	独立行政法人国立病院機構	京都医療センター	https://kyoto.hosp.go.jp/	600	京都市伏見区深草向畑町1-1	075-641-9161	34.95393	135.774387
3	独立行政法人国立病院機構	舞鶴医療センター	http://www.hosp.go.jp/~maizuru/	409	舞鶴市字行永2410	0773-62-2680	35.461753	135.401548
4	独立行政法人国立病院機構	南京都病院	http://mkyoto-hosp.jp/	335	城陽市中芦原11	0774-52-0065	34.832075	135.815374
5	独立行政法人地域医療機能推進機構	京都鞍馬口医療センター	http://kyoto.jcho.go.jp/	300	京都市北区小山下総町27	075-441-6101	35.039588	135.758849
6	市町村	京都中部総合医療センター	http://www.kyoto-chubumedc.or.jp	464	南丹市八木町八木上野25	0771-42-2510	35.071081	135.530182
7	市町村	京都山城総合医療センター	http://www.yamashiro-hp.jp	321	木津川市木津駅前1-27	0774-72-0235	34.735954	135.823598
8	市町村	市立福知山市民病院	http://www.fukuchiyama-hosp.jp/	354	福知山市厚中町231	0773-22-2101	35.303717	135.112481
9	市町村	市立舞鶴市民病院	http://www.hospital.maizuru.kyoto.jp	100	舞鶴市字倉谷1350-11	0773-60-9020	35.444452	135.338721
10	地方独立行政法人	京都市立病院	http://www.kch-org.jp/	548	京都市中京区壬生東高田町1-2	075-311-5311	34.996855	135.734999
11	地方独立行政法人	京都府立医科大学附属病院	http://www.h.kpu-m.ac.jp/	1065	京都市上京区河原町通広小路上ル梶井町465	075-251-5111	35.022981	135.769698
12	地方独立行政法人	京都府立医科大学附属北部医療センター	http://nmc.kpu-m.ac.jp/	295	与謝郡与謝野町男山481	0772-46-3371	35.56954	135.165698
13	日赤	京都第一赤十字病院	http://www.kyoto1-jrc.org/	652	京都市東山区本町15-749	075-561-1121	34.980463	135.771991
14	日赤	京都第二赤十字病院	https://www.kyoto2.jrc.or.jp/	668	京都市上京区釜座通丸太町上ル春帯町355番地の5	075-231-5171	35.018981	135.75616
15	日赤	舞鶴赤十字病院	http://maizuru.jrc.or.jp/	198	舞鶴市倉谷427	0773-75-4175	35.444561	135.337411
16	済生会	済生会京都府病院	http://kyoto.saiseikai.or.jp/	300	長岡京市今里南平尾8	075-955-0111	34.927313	135.682355
17	共済組合及び連合会	京都警察病院	http://kyopolice-hp.jp/	100	京都市北区小山北上総町14	075-491-8559	35.045414	135.758948
18	共済組合及び連合会	舞鶴共済病院	http://www.kkr.or.jp/hospital/maizuru	300	舞鶴市字浜1035	0773-62-2510	35.469651	135.391336
19	共済組合及び連合会	舞鶴こども療育センター	http://maizuru-ryouiku.jp/	35	舞鶴市字行永2410-37	0773-63-4865	35.462156	135.40248
20	公益法人	京都民医連第二中央病院	http://www.shinwakai-min.com/kyoto2hp/	172	京都市左京区田中飛鳥井町89	075-701-6111	35.031693	135.781202
21	公益法人	京都民医連中央病院	http://kyoto-min-iren-c-hp.jp/	411	京都市右京区太秦土本町2-1	075-861-2220	35.007952	135.704961
22	公益法人	丹後中央病院	http://www.tangohp.com	306	京丹後市峰山町杉谷158-1	0772-62-0791	35.626877	135.060226
23	公益法人	長岡病院	http://www.nagaoka.or.jp/healthcare/	441	長岡京市友岡4-18-1	075-951-9201	34.91378	135.689864
