id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	大阪医療センター	https://osaka.hosp.go.jp/html/fip/index.html	692	大阪市中央区法円坂2-1-14	06-6942-1331	34.680216	135.520294
2	独立行政法人国立病院機構	大阪南医療センター	http://www.hosp.go.jp/~ommedc/	430	河内長野市木戸東町2-1	0721-53-5761	34.472613	135.571421
3	独立行政法人国立病院機構	近畿中央呼吸器センター	http://www.hosp.go.jp/~kch/	385	堺市北区長曽根町1180	072-252-3021	34.57043	135.503118
4	独立行政法人労働者健康安全機構	大阪労災病院	http://www.osakah.johas.go.jp/	678	堺市北区長曽根町1179-3	072-252-3561	34.567793	135.507174
5	国立研究開発法人	国立循環器病研究センター病院	http://www.ncvc.go.jp/hospital/	612	吹田市岸部新町6-1	06-6170-1070	34.779362	135.540822
6	独立行政法人地域医療機能推進機構	大阪病院	http://osaka.jcho.go.jp	565	大阪市福島区福島4-2-78	06-6441-5451	34.69191	135.483229
7	独立行政法人地域医療機能推進機構	大阪みなと中央病院	https://minato.jcho.go.jp/	275	大阪市港区築港1-8-30	06-6572-5721	34.653915	135.435695
8	独立行政法人地域医療機能推進機構	星ヶ丘医療センター	http://hoshigaoka.jcho.go.jp	580	枚方市星丘4-8-1	072-840-2641	34.81141	135.667675
9	市町村	和泉市立総合医療センター	https://izumi-tokushukai.or.jp/	307	和泉市和気町4-5-1	0725-41-1331	34.477787	135.431008
10	市町村	市立池田病院	http://www.hosp.ikeda.osaka.jp/	364	池田市城南3-1-18	072-751-2881	34.820982	135.433404
11	市町村	市立柏原病院	http://www.hospital-kashiwara-osaka.jp	220	柏原市法善寺1-7-9	072-972-0885	34.592667	135.624776
12	市町村	市立豊中病院	http://www.chp.toyonaka.osaka.jp/	613	豊中市柴原町4-14-1	06-6843-0101	34.802063	135.458089
13	市町村	市立ひらかた病院	http://hirakatacity-hp.osaka.jp/	335	枚方市禁野本町2-14-1	072-847-2821	34.820278	135.658294
14	市町村	阪南市民病院	https://www.seichokai.or.jp/hannan/	185	阪南市下出17	072-471-3321	34.360766	135.242305
15	市町村	箕面市立病院	http://minoh-hp.jp/	317	箕面市萱野5-7-1	072-728-2001	34.823834	135.484297
16	市町村	八尾市立病院	http://www.hospital.yao.osaka.jp/	380	八尾市龍華町1-3-1	072-922-0881	34.620682	135.587018
17	地方独立行政法人	大阪急性期・総合医療センター	http://www.gh.opho.jp/	865	大阪市住吉区万代東3-1-56	06-6692-1201	34.61682	135.504941
18	地方独立行政法人	大阪国際がんセンター	http://www.mc.pref.osaka.jp/	500	大阪市中央区大手前3-1-69	06-6945-1181	34.68525	135.519313
19	地方独立行政法人	大阪市立十三市民病院	http://www.osakacity-hp.or.jp/juso/	263	大阪市淀川区野中北2-12-27	06-6150-8000	34.728322	135.477301
20	地方独立行政法人	大阪市立総合医療センター	http://www.osakacity-hp.or.jp/ocgh/	1063	大阪市都島区都島本通2-13-22	06-6929-1221	34.707713	135.523822
21	地方独立行政法人	大阪市立大学医学部附属病院	http://www.hosp.med.osaka-cu.ac.jp/	972	大阪市阿倍野区旭町1-5-7	06-6645-2121	34.646643	135.508907
22	地方独立行政法人	大阪精神医療センター	http://pmc.opho.jp/	473	枚方市宮之阪3-16-21	072-847-3261	34.814138	135.661398
23	地方独立行政法人	堺市立総合医療センター	http://www.sakai-city-hospital.jp/	487	堺市西区家原寺町1-1-1	072-272-1199	34.539513	135.471491
24	地方独立行政法人	市立吹田市民病院	http://www.city.suita.osaka.jp/hospital	431	吹田市岸部新町5-7	06-6387-3311	34.77646	135.537643
25	日赤	大阪赤十字病院	http://www.osaka-med.jrc.or.jp	964	大阪市天王寺区筆ケ崎町5-30	06-6774-5111	34.664658	135.525494
26	日赤	高槻赤十字病院	http://www.takatsuki.jrc.or.jp/	393	高槻市阿武野1-1-1	072-696-0571	34.855089	135.577081
27	済生会	大阪府済生会泉尾病院	http://www.izuo-saiseikai.gr.jp/	450	大阪市大正区北村3-4-5	06-6552-0091	34.64938	135.46673
28	済生会	大阪府済生会茨木病院	http://www.ibaraki.saiseikai.or.jp/	315	茨木市見付山2-1-45	072-622-8651	34.820939	135.556126
29	済生会	大阪府済生会新泉南病院	http://www.saiseikaisennan.jp	26	泉南市りんくう南浜3-7	072-480-5611	34.379199	135.264861
30	済生会	大阪府済生会吹田病院	http://www.suita.saiseikai.or.jp/	500	吹田市川園町1-2	06-6382-1521	34.761691	135.534725
31	済生会	大阪府済生会千里病院	http://www.senri.saiseikai.or.jp	343	吹田市津雲台1-1-6	06-6871-0121	34.79516	135.510447
32	済生会	大阪府済生会中津病院	http://www.nakatsu.saiseikai.or.jp/	712	大阪市北区芝田2-10-39	06-6372-0333	34.708176	135.495931
33	済生会	社会福祉法人恩賜財団大阪府済生会富田林病院	http://www.tonbyo.org	300	富田林市向陽台1-3-36	0721-29-1121	34.503165	135.583371
34	済生会	野江病院	http://www.noe.saiseikai.or.jp/	400	大阪市城東区古市1-3-25	06-6932-0401	34.706683	135.554953
35	健康保険組合及び連合会	大阪中央病院	http://www.osaka-centralhp.jp/	143	大阪市北区梅田3-3-30	06-4795-5505	34.699084	135.491196
36	健康保険組合及び連合会	松下記念病院	http://phio.panasonic.co.jp/kinen/	323	守口市外島町5-55	06-6992-1231	34.743629	135.562553
37	共済組合及び連合会	大手前病院	http://www.otemae.gr.jp/	401	大阪市中央区大手前1-5-34	06-6941-0484	34.689494	135.519547
38	共済組合及び連合会	枚方公済病院	http://www.kkr-hirakoh.org	313	枚方市藤阪東町1-2-1	072-858-8233	34.819524	135.710512
39	公益法人	医学研究所 北野病院	http://www.kitano-hp.or.jp/	699	大阪市北区扇町2-4-20	06-6312-1221	34.705128	135.506838
40	公益法人	大阪病院	http://www.osaka-hospital.org/	177	寝屋川市寝屋川公園2276-1	072-821-4781	34.763199	135.656316
41	公益法人	大阪労働衛生センター第一病院	http://www.osaka-daiichi-hosp.org/	213	大阪市西淀川区御幣島6-2-2	06-6474-1201	34.719275	135.454622
42	公益法人	聖バルナバ病院	http://www.barnaba.or.jp	73	大阪市天王寺区細工谷1-3-18	06-6779-1600	34.663054	135.524332
43	公益法人	日本生命病院	http://www.nissay-hp.or.jp	350	大阪市西区江之子島2-1-54	06-6443-3446	34.6818	135.485072
44	医療法人	相生病院	http://www.aioi-hospital.jp/	111	大阪市生野区生野西3-2-5	06-6731-0201	34.651681	135.530337
45	医療法人	藍野病院	http://www.koshokai.or.jp/aino/	969	茨木市高田町11-18	072-627-7611	34.844642	135.580844
46	医療法人	青山病院		57	貝塚市新町11-5	072-433-2526	34.444323	135.352764
47	医療法人	生野中央病院	http://www.ikuno-chuo.com/	148	大阪市生野区中川5-4-2	06-6751-3731	34.65842	135.545784
48	医療法人	育和会記念病院	http://www.ikuwakai.or.jp/ikuwakai/index.html	265	大阪市生野区巽北3-20-29	06-6758-8000	34.655765	135.555139
49	医療法人	石切生喜病院	http://www.ishikiriseiki.or.jp/	331	東大阪市弥生町18-28	072-988-3121	34.678527	135.63521
50	医療法人	医誠会病院	http://www.iseikaihp.or.jp/	327	大阪市東淀川区菅原6-2-25	06-6326-1121	34.738653	135.523301
51	医療法人	医療法人御殿山　福田総合病院	http://www.fukuda-hsp.jp/	171	枚方市渚西1-18-11	072-847-5752	34.829315	135.652964
52	医療法人	上田病院	http://www.z-uedahp.com	94	豊中市庄内幸町4-28-12	06-6334-0831	34.746936	135.469774
53	医療法人	榎坂病院	http://www.esakahp.or.jp	360	吹田市江坂町4-32-1	06-6384-3365	34.770712	135.493277
54	医療法人	大阪晴愛病院	http://koutokukai@osaka-seiai.or.jp	69	泉南市新家3469-1	072-482-7777	34.374721	135.29803
55	医療法人	葛城病院	http://www.katsuragi-hosp.or.jp	243	岸和田市土生町2-33-1	072-422-9909	34.446703	135.380357
56	医療法人	河北病院	http://www.kahoku.or.jp/	170	寝屋川市河北東町19-1	072-822-3663	34.728997	135.631404
57	医療法人	ガラシア病院	http://www.gratia.or.jp/	104	箕面市粟生間谷西6-14-1	072-729-2345	34.850692	135.507656
58	医療法人	かわい病院	http://www.kawai-hp.or.jp/	46	泉大津市豊中町2-6-5	0725-21-6222	34.495039	135.424414
59	医療法人	河内総合病院	http://www.kawati.or.jp	350	東大阪市横枕1-31	072-965-0731	34.679251	135.608147
60	医療法人	岸和田徳洲会病院	http://www.kishiwada.tokushukai.or.jp	341	岸和田市加守町4-27-1	072-445-9915	34.471756	135.392277
61	医療法人	北大阪ほうせんか病院	https://sfmc-h.org	280	茨木市室山1-2-2	072-643-6921	34.842765	135.547538
62	医療法人	喜馬病院	http://www.juzankai.com/	123	東大阪市岩田町4-2-8	072-961-6888	34.664362	135.609114
63	医療法人	久米田病院	http://kumeda-hp.or.jp	494	岸和田市尾生町6-12-31	072-445-3545	34.447379	135.417375
