id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	神戸医療センター	https://kobe.hosp.go.jp/	304	神戸市須磨区西落合3-1-1	078-791-0111	34.681575	135.085384
2	独立行政法人国立病院機構	姫路医療センター	http://www.hosp.go.jp/~hmj/	411	姫路市本町68	079-225-3211	34.833766	134.692804
3	独立行政法人国立病院機構	兵庫あおの病院	http://www.hosp.go.jp/~aono/	250	小野市市場町926-453	0794-62-5533	34.829418	134.95192
4	独立行政法人国立病院機構	兵庫中央病院	http://www.hyogo-chuo-hosp.jp/	500	三田市大原1314	079-563-2121	34.909956	135.228989
5	独立行政法人労働者健康安全機構	関西労災病院	http://www.kansaih.johas.go.jp/	642	尼崎市稲葉荘3-1-69	06-6416-1221	34.736899	135.384443
6	独立行政法人労働者健康安全機構	神戸労災病院	http://www.kobeh.johas.go.jp/	360	神戸市中央区籠池通4-1-23	078-231-5901	34.710581	135.207001
7	独立行政法人地域医療機能推進機構	神戸中央病院	http://kobe.jcho.go.jp/	424	神戸市北区惣山町2-1-1	078-594-2211	34.735892	135.155577
8	都道府県	兵庫県立尼崎総合医療センター	http://agmc.hyogo.jp/	730	尼崎市東難波町2-17-77	06-6480-7000	34.729904	135.412791
9	市町村	赤穂市民病院	http://www.amh.ako.hyogo.jp/	396	赤穂市中広1090	0791-43-3222	34.743731	134.39054
10	市町村	加東市民病院	http://www.city.kato.lg.jp/hospital/	139	加東市家原85	0795-42-5511	34.922809	134.963245
11	市町村	北播磨総合医療センター	http://www.kitahari-mc.jp	450	小野市市場町926-250	0794-88-8800	34.831581	134.951744
12	市町村	公立豊岡病院組合立朝来医療センター	http://www.toyookahp-kumiai.or.jp/asago/	150	朝来市和田山町法興寺392	079-672-3999	35.324752	134.854392
13	市町村	公立豊岡病院組合立豊岡病院	http://www.toyookahp-kumiai.or.jp/toyooka/	518	豊岡市戸牧1094	0796-22-6111	35.526753	134.806492
14	市町村	公立浜坂病院	http://hamasaka-hosp.town.shinonsen.hyogo.jp/	49	美方郡新温泉町二日市184-1	0796-82-1611	35.618519	134.475852
15	市町村	公立八鹿病院	http://www.hosp.yoka.hyogo.jp/	380	養父市八鹿町八鹿1878-1	079-662-5555	35.40495	134.773122
16	市町村	市立伊丹病院	http://www.hosp.itami.hyogo.jp/	414	伊丹市昆陽池1-100	072-777-3773	34.78372	135.397016
17	市町村	市立加西病院	http://www.hospital.kasai.hyogo.jp/	266	加西市北条町横尾1-13	0790-42-2200	34.924575	134.840096
18	市町村	豊岡病院日高医療センター	http://www.toyookahp-kumiai.or.jp/hidaka/	99	豊岡市日高町岩中81	0796-42-1611	35.467107	134.770745
19	市町村	西脇市立西脇病院	http://nshp.jp/	320	西脇市下戸田652-1	0795-22-0111	34.987872	134.984406
20	地方独立行政法人	加古川中央市民病院	https://www.kakohp.jp/	600	加古川市加古川町本町439	079-451-5500	34.771435	134.832487
21	地方独立行政法人	神戸市立医療センター中央市民病院	http://chuo.kcho.jp/	768	神戸市中央区港島南町2-1-1	078-302-4321	34.660117	135.214121
22	地方独立行政法人	神戸市立医療センター西市民病院	http://nishi.kcho.jp/	358	神戸市長田区一番町2-4	078-576-5251	34.667312	135.156949
23	地方独立行政法人	神戸市立神戸アイセンター病院	http://kobe.eye.center.kcho.jp/	30	神戸市中央区港島南町2-1-8	078-381-9876	34.658959	135.215543
24	地方独立行政法人	地方独立行政法人　明石市立市民病院	http://www.akashi-shiminhosp.jp/	337	明石市鷹匠町1-33	078-912-2323	34.657017	134.9902
25	地方独立行政法人	西神戸医療センター	http://www.nmc-kobe.or.jp	475	神戸市西区糀台5-7-1	078-997-2200	34.716847	135.019026
26	日赤	神戸赤十字病院	http://www.kobe.jrc.or.jp/	310	神戸市中央区脇浜海岸通1-3-1	078-231-6006	34.696515	135.211739
27	日赤	多可赤十字病院	http://www.taka.jrc.or.jp/	110	多可郡多可町中区岸上280	0795-32-1223	35.05488	134.922252
28	日赤	姫路赤十字病院	http://himeji.jrc.or.jp/	560	姫路市下手野1-12-1	079-294-2251	34.844245	134.64786
29	済生会	済生会兵庫県病院	http://www.saiseikai.info	268	神戸市北区藤原台中町5-1-1	078-987-2222	34.823176	135.215077
30	健康保険組合及び連合会	ＩＨＩ播磨病院	http://www.harima-hp.jp	180	相生市旭3-5-15	0791-22-0380	34.806264	134.469424
31	共済組合及び連合会	近畿中央病院	http://www.kich.itami.hyogo.jp/	445	伊丹市車塚3-1	072-781-3712	34.763191	135.401345
32	共済組合及び連合会	六甲病院	http://www.rokkouhp.jp/	178	神戸市灘区土山町5-1	078-851-8558	34.725192	135.24241
33	医療法人	明石土山病院	http://www.athp.jp/	403	明石市魚住町清水2744-30	078-942-1021	34.722223	134.906075
34	医療法人	赤穂中央病院	http://www.hakuho.or.jp/	265	赤穂市惣門町52-6	0791-45-1111	34.75602	134.385464
35	医療法人	あさひ病院	http://www.asahi-hospital.gr.jp/	100	明石市林崎町2-1-31	078-924-1111	34.650975	134.967707
