id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	奈良医療センター	http://www.nho-nara.jp/	350	奈良市七条2-789	0742-45-4591	34.665631	135.77672
2	独立行政法人国立病院機構	やまと精神医療センター	http://yamato-hosp.jp/	283	大和郡山市小泉町2815	0743-52-3081	34.631821	135.750525
3	独立行政法人地域医療機能推進機構	大和郡山病院	http://www.yamatokoriyama.jcho.go.jp	223	大和郡山市朝日町1-62	0743-53-1111	34.647418	135.780011
4	市町村	宇陀市立病院	http://www.city.uda.nara.jp/udacity-hp/	176	宇陀市榛原萩原815	0745-82-0381	34.530664	135.960918
5	市町村	国保中央病院	http://www.kokuho-hp.or.jp/	220	磯城郡田原本町宮古404-1	0744-32-8800	34.562326	135.777487
6	市町村	市立奈良病院	http://www.nara-jadecom.jp	350	奈良市東紀寺町1-50-1	0742-24-1252	34.671957	135.835343
7	市町村	南奈良総合医療センター	http://nanwairyou.jp/	232	吉野郡大淀町大字福神8-1	0747-54-5000	34.393262	135.751137
8	市町村	大和高田市立病院	http://ym-hp.yamatotakada.nara.jp/index.html	320	大和高田市礒野北町1-1	0745-53-2901	34.509962	135.736494
9	地方独立行政法人	奈良県西和医療センター	http://seiwa-mc.jp/	300	生駒郡三郷町三室1-14-16	0745-32-0505	34.601194	135.710434
10	地方独立行政法人	奈良県総合医療センター	http://www.nara-hp.jp/	540	奈良市七条西町2-897-5	0742-46-6001	34.662422	135.767525
11	地方独立行政法人	奈良県立医科大学附属病院	http://www.naramed-u.ac.jp/hospital/	992	橿原市四条町840	0744-22-3051	34.502488	135.792853
12	済生会	済生会御所病院	http://saiseikai-gose.jp	190	御所市三室20	0745-62-3585	34.461417	135.730723
13	済生会	済生会中和病院	http://www.chuwa-hp.jp/	324	桜井市阿部323	0744-43-5001	34.50736	135.839972
14	済生会	済生会奈良病院	http://www.saiseikai-nara-hp.jp/	194	奈良市八条4-643	0742-36-1881	34.668922	135.805155
15	公益法人	天理よろづ相談所病院	http://www.tenriyorozu.jp	715	天理市三島町200	0743-63-5611	34.602755	135.839005
16	医療法人	秋津鴻池病院	http://www.kounoikekai.com/	544	御所市池之内1064	0745-63-0601	34.451441	135.75084
17	医療法人	倉病院	http://www.kura-hp.com/	60	生駒市本町1-7	0743-73-4888	34.691801	135.69898
18	医療法人	桜井病院	http://www.sakurai-hp.com/	41	桜井市桜井973	0744-43-3541	34.511247	135.846293
19	医療法人	白庭病院	http://www.allpines.jp	150	生駒市白庭台6-10-1	0743-70-0022	34.720957	135.717315
20	医療法人	関屋病院	http://www.kouseikai-sekiya.or.jp	350	香芝市関屋北5-11-1	0745-77-2434	34.56151	135.669507
21	医療法人	総合病院高の原中央病院	http://www.takanohara-ch.or.jp/	249	奈良市右京1-3-3	0742-71-1030	34.721378	135.789307
22	医療法人	田北病院	http://www.takitakai.or.jp/	210	大和郡山市城南町2-13	0743-54-0112	34.64632	135.776204
23	医療法人	登美ヶ丘リハビリテーション病院	http://www.tomigaoka-rh.jp/	122	奈良市中登美ヶ丘6-12-2	0742-45-6800	34.725329	135.748372
24	医療法人	奈良厚生会病院	http://nara-koseikai.or.jp/	60	大和郡山市椎木町769-3	0743-56-5678	34.608295	135.768649
25	医療法人	奈良西部病院	http://www.naraseibu-hp.com/	117	奈良県奈良市三碓町2143-1	0742-51-8700	34.68748	135.721214
26	医療法人	奈良東九条病院	http://www.tokujyo.com	60	奈良市東九条町752	0742-61-1118	34.662364	135.818837
27	医療法人	奈良東病院	http://www.fureai-net.com	170	天理市中之庄町470	0743-65-1771	34.637007	135.844679
28	医療法人	西の京病院	http://www.nishinokyo.or.jp	248	奈良市六条町102-1	0742-35-1121	34.665645	135.789125
29	医療法人	服部記念病院	http://www.hattorin.jp/	162	北葛城郡上牧町大字上牧4244	0745-77-1333	34.559373	135.709842
30	医療法人	阪奈中央病院	http://www.wakoucai.or.jp/hanna-hp/	199	生駒市俵口町741	0743-74-8660	34.706594	135.697278
31	医療法人	藤村病院	http://www.touwakai.or.jp/	45	大和郡山市北郡山町104-3	0743-53-2001	34.65547	135.784122
32	医療法人	吉本整形外科・外科病院	https://www.yoshimoto-seikei.com/	57	葛城市疋田676番地1	0745-69-5353	34.502386	135.724861
33	特定医療法人	おかたに病院	http://www.okatani.or.jp	150	奈良市南京終町1-25-1	0742-63-7700	34.671195	135.825471
34	特定医療法人	奈良春日病院	http://www.narakasuga-hospital.or.jp	220	奈良市鹿野園町1212-1	0742-24-4771	34.664238	135.85297
35	社会医療法人	土庫病院	http://www.kenseikai-nara.jp	199	大和高田市日之出町12-3	0745-53-5471	34.522203	135.748323
36	社会医療法人	西奈良中央病院	http://www.nishinarachuo.or.jp	166	奈良市鶴舞西町1-15	0742-43-3333	34.703917	135.749817
37	社会医療法人	平成記念病院	http://www.heisei-h.or.jp/	300	橿原市四条町827	0744-29-3300	34.504293	135.79059
38	社会医療法人	吉田病院	http://www.heiwakai.or.jp/	312	奈良市西大寺赤田町1-7-1	0742-45-4601	34.699443	135.771871
39	私立学校法人	近畿大学医学部奈良病院	http://www.kindainara.com	518	生駒市乙田町1248-1	0743-77-0880	34.651133	135.715503
40	その他法人	沢井病院	http://sawai.or.jp/	111	奈良市船橋町8	0742-23-3086	34.68875	135.821615
