id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	盛岡医療センター	https://morioka.hosp.go.jp	260	盛岡市青山1-25-1	019-647-2195	39.722672	141.111341
2	都道府県	岩手県立胆沢病院	http://www.isawa-hp.com/	346	奥州市水沢字龍ヶ馬場61	0197-24-4121	39.122977	141.134329
3	都道府県	岩手県立一戸病院	http://www.ichinohe-hp.com/	324	二戸郡一戸町一戸字砂森60-1	0195-33-3101	40.207532	141.305037
4	都道府県	岩手県立磐井病院	http://www.iwai-hp.com/	315	一関市狐禅寺字大平17	0191-23-3452	38.936175	141.170258
5	都道府県	岩手県立江刺病院	http://www.esashi-hp.com/	137	奥州市江刺区西大通り5-23	0197-35-2181	39.194152	141.172575
6	都道府県	岩手県立大槌病院	https://www5.pref.iwate.jp/~ootsuchi/	50	上閉伊郡大槌町小鎚第23地割字寺野1-1	0193-42-2121	39.358675	141.879961
7	都道府県	岩手県立大船渡病院	http://oofunato-hp.com/	489	大船渡市大船渡町字山馬越10-1	0192-26-1111	39.072631	141.707478
8	都道府県	岩手県立釜石病院	http://www.kamaishi-hp.com/	272	釜石市甲子町10-483-6	0193-25-2011	39.279497	141.781163
9	都道府県	岩手県立久慈病院	http://www.kuji-hp.com/	334	久慈市旭町第10地割1番	0194-53-6131	40.200937	141.777185
10	都道府県	岩手県立千厩病院	http://www.senmaya-hospital.jp/	152	一関市千厩町千厩字草井沢32-1	0191-53-2101	38.928367	141.34341
11	都道府県	岩手県立大東病院	http://www.daitou-hp.com/	40	一関市大東町大原字川内128	0191-72-2121	39.01663	141.395166
12	都道府県	岩手県立中央病院	http://www.chuo-hp.jp/	685	盛岡市上田一丁目４番１号	019-653-1151	39.713433	141.145816
13	都道府県	岩手県立中部病院	http://www.chubu-hp.com/	434	北上市村崎野17地割10番地	0197-71-1511	39.330011	141.104996
14	都道府県	岩手県立東和病院	http://www.towa-hp.com/	68	花巻市東和町安俵6区75-1	0198-42-2211	39.383922	141.223815
15	都道府県	岩手県立遠野病院	http://www.tono-hospital.com/	122	遠野市松崎町白岩14地割74番地	0198-62-2222	39.339187	141.541599
16	都道府県	岩手県立二戸病院	http://www.ninohe-hp.net/	253	二戸市堀野字大川原毛38-2	0195-23-2191	40.299997	141.306024
17	都道府県	岩手県立宮古病院	http://www.miyako-hp.jp/	334	宮古市崎鍬ケ崎第1地割11-26	0193-62-4011	39.658868	141.948045
18	都道府県	岩手県立山田病院	https://www.pref.iwate.jp/iryoukyoku/yamada/index.html	50	下閉伊郡山田町飯岡第１地割21-1	0193-82-2111	39.458148	141.951119
19	市町村	国民健康保険葛巻病院	https://kuzumaki-hp.jp/	60	岩手郡葛巻町葛巻第16地割１番地１	0195-66-2311	40.040119	141.438921
20	市町村	八幡平市国民健康保険西根病院	http://www.city.hachimantai.lg.jp/	60	八幡平市田頭第22地割79-1	0195-76-3111	39.91448	141.090051
21	市町村	盛岡市立病院	http://www.morioka-city-hosp.jp/	268	盛岡市本宮5-15-1	019-635-0101	39.68935	141.124483
22	日赤	盛岡赤十字病院	http://www.morioka.jrc.or.jp/	438	盛岡市三本柳6地割1-1	019-637-3111	39.661609	141.166686
23	済生会	岩泉病院	http://saisei-iwaizumi.com/	92	下閉伊郡岩泉町岩泉字中家19-1	0194-22-2151	39.847589	141.795035
24	済生会	北上済生会病院	http://www.saiseikai-hp.or.jp	303	北上市花園町1-6-8	0197-64-7722	39.288652	141.121649
25	公益法人	総合花巻病院	http://www.hanamakihospital.or.jp	199	花巻市花城町4-28	0198-23-3311	39.390003	141.116722
26	医療法人	せいてつ記念病院	http://www.rakuzankai.jp	119	釜石市小佐野町4-3-7	0193-23-2030	39.261644	141.836338
27	医療法人	遠山病院	http://www.toyama-byouin.jp/	136	盛岡市下ノ橋町6-14	019-651-2111	39.697155	141.149081
28	医療法人	南昌病院	http://kikodo.or.jp/	180	紫波郡矢巾町広宮沢1-2-181	019-697-5211	39.629995	141.100801
29	医療法人	松園第二病院	http://www.matsuzono.jp	90	盛岡市西松園3-22-3	019-662-0100	39.756577	141.162761
30	医療法人	盛岡南病院	http://moriokaminami-hp.com/	164	盛岡市津志田13地割18-4	019-638-2020	39.656446	141.156058
31	医療法人	盛岡友愛病院	http://www.yu-ai.net/	386	盛岡市永井12-10	019-638-2222	39.652277	141.145027
32	医療法人	八角病院	http://www.nisshindo-g.com	50	盛岡市好摩字夏間木70-190	019-682-0201	39.875063	141.165343
33	特定医療法人	奥州病院	http://www.hopital-ohshu.or.jp/	156	奥州市水沢東大通り1-5-30	0197-25-5111	39.139649	141.148249
34	特定医療法人	盛岡つなぎ温泉病院	http://tsunagi-hp.net	170	盛岡市繋字尾入野64-9	019-689-2101	39.68907	141.024205
35	社会福祉法人	みちのく療育園	http://www.i-shinseikai.jp/publics/index/165/	54	紫波郡矢巾町大字煙山第24地割1番地	019-611-0600	39.610434	141.120682
36	医療生協	川久保病院	http://kawakubo-hos.jp	120	盛岡市津志田26-30-1	019-635-1305	39.663719	141.145341
37	その他法人	東八幡平病院	http://www.mairin.jp/hospital/	150	八幡平市柏台2-8-2	0195-78-2511	39.916025	140.982036
