id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	南和歌山医療センター	http://www.hosp.go.jp/~swymhp2/	316	田辺市たきない町27-1	0739-26-7050	33.700669	135.399653
2	独立行政法人国立病院機構	和歌山病院	http://www.wakayama-hosp.jp/	310	日高郡美浜町和田1138	0738-22-3256	33.892434	135.134502
3	独立行政法人労働者健康安全機構	和歌山労災病院	http://www.wakayamah.johas.go.jp	303	和歌山市木の本93-1	073-451-3181	34.256363	135.121864
4	都道府県	和歌山県立こころの医療センター	http://www.pref.wakayama.lg.jp/prefg/050112/050112.html	300	有田郡有田川町庄31	0737-52-3221	34.06529	135.242206
5	市町村	新宮市立医療センター	http://www.hsp.shingu.wakayama.jp/	304	新宮市蜂伏18-7	0735-31-3333	33.686644	135.964095
6	市町村	橋本市民病院	http://www.hashimoto-hsp.jp	300	橋本市小峰台2-8-1	0736-37-1200	34.354282	135.63451
7	市町村	ひだか病院	http://www.hidakagh.gobo.wakayama.jp/	367	御坊市薗116-2	0738-22-1111	33.895329	135.153763
8	地方独立行政法人	和歌山県立医科大学附属病院	http://www.wakayama-med.ac.jp/hospital	800	和歌山市紀三井寺811-1	073-447-2300	34.18805	135.181914
9	日赤	和歌山医療センター	http://www2.kankyo.ne.jp/nisseki-w/	873	和歌山市小松原通4-20	073-422-4171	34.220182	135.167996
10	済生会	済生会有田病院	http://www.saiseikai-arida.jp/	184	有田郡湯浅町吉川52-6	0737-63-5561	34.045658	135.1934
11	済生会	済生会和歌山病院	http://www.saiseikai-wakayama.jp	200	和歌山市十二番丁45	073-424-5185	34.231686	135.17319
12	公益法人	白浜はまゆう病院	http://www.hamayu-hp.or.jp/	258	西牟婁郡白浜町1447	0739-43-6200	33.681824	135.348217
13	医療法人	石本病院	http://ishimoto-hospital.jp/	53	海南市船尾365	073-482-5063	34.159572	135.196409
14	医療法人	稲田病院	http://www.inada-med.or.jp/	72	和歌山市和田1175	073-472-1135	34.207346	135.206665
15	医療法人	今村病院	http://www7a.biglobe.ne.jp/~imamura_hp/	52	和歌山市砂山南2-4-21	073-425-3271	34.218596	135.159781
16	医療法人	笠松病院	http://kasamatsu.jp	47	海南市船尾196	073-482-3153	34.158741	135.20681
17	医療法人	河西田村病院	http://www.seishou-kai.jp	108	和歌山市島橋東ノ丁1-11	073-455-1015	34.242996	135.150413
18	医療法人	児玉病院	http://www.hakubunkai.com	44	和歌山市餌差町1-12	073-436-6557	34.229081	135.184061
19	医療法人	桜ヶ丘病院	http://www.cherry-hill.or.jp	99	有田市箕島904	0737-83-0078	34.085707	135.123551
20	医療法人	嶋病院		57	和歌山市西仲間町1-30	073-431-3900	34.236889	135.178817
21	医療法人	角谷整形外科病院	http://www.sumiya.or.jp/	70	和歌山市吉田337	073-433-1161	34.236824	135.190147
22	医療法人	整形外科北裏病院	http://www.kitaura-hp.jp/	100	御坊市湯川町小松原454	0738-22-3352	33.90685	135.156894
23	医療法人	誠佑記念病院	http://www.seiyu-hp.jp/	110	和歌山市西田井391	073-462-6211	34.254364	135.236637
24	医療法人	田辺中央病院	http://www.tanabechp.or.jp	139	田辺市南新町147	0739-24-5333	33.732812	135.379273
25	医療法人	谷口病院	http://www.taniguchi-hp.or.jp/	60	海南市日方327-11	073-482-2500	34.158176	135.208882
26	医療法人	田村病院	http://www.tamura-hsp.or.jp/	174	和歌山市小倉645	073-477-1268	34.249122	135.286244
27	医療法人	富田病院	http://www.tomita.or.jp/	156	岩出市紀泉台2	0736-62-1522	34.280778	135.293484
28	医療法人	中江病院	http://www.nakae.or.jp/	192	和歌山市船所30-1	073-451-0222	34.253953	135.180563
29	医療法人	中谷病院	http://www.kikyokai.or.jp	195	和歌山市鳴神123-1	073-471-3111	34.225993	135.21139
30	医療法人	名手病院	http://nate-hospital.com/	104	紀の川市名手市場294-1	0736-75-5252	34.272679	135.437816
31	医療法人	西和歌山病院	http://www.nishiwaka.or.jp	120	和歌山市土入176	073-452-1233	34.253052	135.14018
32	医療法人	橋本病院	http://hashimoto-hp.or.jp/	118	和歌山市堀止南ノ丁4-31	073-426-3388	34.212172	135.170765
33	医療法人	福外科病院	http://www.fukugeka.jp/	54	和歌山市和歌浦東3-5-31	073-445-3101	34.189073	135.177735
34	医療法人	伏虎リハビリテーション病院	http://nakatani.wakayama.jp/	89	和歌山市屋形町1-11	073-433-4488	34.231369	135.177145
35	医療法人	堀口記念病院	http://horiguchi.or.jp/	150	和歌山市湊本町3-4-1	073-435-0113	34.232449	135.162449
36	医療法人	和歌浦中央病院	http://www.wachuohp.or.jp	165	和歌山市塩屋6-2-70	073-444-1600	34.195143	135.177674
37	特定医療法人	玉置病院	http://www.aikis.or.jp/~tamakihp/	66	田辺市上屋敷2-5-1	0739-22-6028	33.730898	135.376225
38	社会医療法人	貴志川リハビリテーション病院	http://www.mikurumakai.or.jp	168	紀の川市貴志川町丸栖1423-3	0736-64-0039	34.240811	135.326954
39	社会医療法人	北出病院	http://www.reimeikai.com	182	御坊市湯川町財部728-4	0738-22-2188	33.897015	135.155152
40	社会医療法人	山本病院	http://www.yamamoto-hp.net/	84	橋本市東家6-7-26	0736-32-8899	34.313225	135.605305
