id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人労働者健康安全機構	山陰労災病院	http://www.saninh.johas.go.jp/	377	米子市皆生新田1-8-1	0859-33-8181	35.451819	133.364536
2	都道府県	鳥取県立厚生病院	http://www.pref.tottori.lg.jp/kouseibyouin/	304	倉吉市東昭和町150	0858-22-8181	35.436131	133.840773
3	都道府県	鳥取県立中央病院	http://www.pref.tottori.lg.jp/chuoubyouin/	518	鳥取市江津730	0857-26-2271	35.522522	134.211989
4	市町村	鳥取市立病院	http://hospital.tottori.tottori.jp/	340	鳥取市的場1-1	0857-37-1522	35.474412	134.234376
5	日赤	鳥取赤十字病院	http://www.tottori-med.jrc.or.jp/	350	鳥取市尚徳町117	0857-24-8111	35.501561	134.235642
6	済生会	鳥取県済生会境港総合病院	http://www.sakaiminato-saiseikai.jp	197	境港市米川町44	0859-42-3161	35.539753	133.221926
7	医療法人	北岡病院	http://kitaoka-hp.jp/	102	倉吉市明治町1031-5	0858-22-3176	35.433876	133.82346
8	医療法人	野島病院	http://www.nojima-hospital.jp	190	倉吉市瀬崎町2714-1	0858-22-6231	35.431562	133.819912
9	特定医療法人	博愛病院	http://www.hakuai-hp.jp	199	米子市両三柳1880	0859-29-1100	35.455395	133.31928
10	社会医療法人	医療福祉センター　倉吉病院	https://www.med-wel.jp	278	倉吉市山根43	0858-26-1011	35.452216	133.856015
