id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	浜田医療センター	http://hamada.hosp.go.jp/	365	浜田市浅井町777-12	0855-25-0505	34.903447	132.087995
2	独立行政法人地域医療機能推進機構	玉造病院	http://tamatsukuri.jcho.go.jp/	253	松江市玉湯町湯町1-2	0852-62-1560	35.431181	133.01776
3	都道府県	島根県立中央病院	http://www.spch.izumo.shimane.jp/	634	出雲市姫原4-1-1	0853-22-5111	35.375091	132.754559
4	市町村	雲南市立病院	http://unnan-hp.jp/	281	雲南市大東町飯田96-1	0854-47-7500	35.324078	132.95994
5	市町村	大田市立病院	http://www.ohda-hp.ohda.shimane.jp/	339	大田市大田町吉永1428-3	0854-82-0330	35.181246	132.502294
6	市町村	隠岐島前病院	http://okidozenhospital.com/	44	隠岐郡西ノ島町大字美田2071-1	08514-7-8211	36.106317	133.035894
7	市町村	公立邑智病院	http://www.ohchihospital.jp/	98	邑智郡邑南町中野3848-2	0855-95-2111	34.894746	132.453515
8	市町村	松江市立病院	http://www.matsue-cityhospital.jp/	470	松江市乃白町32-1	0852-60-8000	35.438764	133.055423
9	市町村	安来市立病院	http://www.city.yasugi.shimane.jp/hospital/	148	安来市広瀬町広瀬1931	0854-32-2121	35.365285	133.172408
10	日赤	益田赤十字病院	http://www.masuda.jrc.or.jp/	284	益田市乙吉町イ103-1	0856-22-1480	34.684051	131.841218
11	日赤	松江赤十字病院	http://www.matsue.jrc.or.jp	599	松江市母衣町200	0852-24-2111	35.470465	133.057046
12	済生会	島根県済生会江津総合病院	http://www.saiseikai-gotsu.jp/	300	江津市江津町1016-37	0855-54-0101	35.012835	132.214879
13	公益法人	益田地域医療センター医師会病院	http://hp.masuda-med.or.jp/	323	益田市遠田町1917-2	0856-22-3611	34.696735	131.866984
14	医療法人	松江記念病院	http://www.souken-kai.or.jp/	116	松江市上乃木3-4-1	0852-27-8111	35.448512	133.058954
15	社会医療法人	六日市病院	http://www.sekisyukai.or.jp/	110	鹿足郡吉賀町六日市368-4	0856-77-1581	34.35354	131.937492
16	社会医療法人	安来第一病院	http://www.syourinkai.or.jp	381	安来市安来町899-1	0854-22-3411	35.432289	133.251735
17	医療生協	松江生協病院	http://www.matsue-seikyo.jp/	351	松江市西津田8-8-8	0852-23-1111	35.454316	133.067607
