id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	岡山医療センター	http://okayamamc.jp/index.php	609	岡山市北区田益1711-1	086-294-9911	34.708182	133.899601
2	独立行政法人労働者健康安全機構	岡山労災病院	http://www.okayamah.johas.go.jp/	358	岡山市南区築港緑町1-10-25	086-262-0131	34.604417	133.932592
3	地方独立行政法人	岡山県精神科医療センター	http://www.popmc.jp/	252	岡山市北区鹿田本町3-16	086-225-3821	34.650792	133.916189
4	地方独立行政法人	岡山市立市民病院	http://okayama-gmc.or.jp/shimin/	400	岡山市北区北長瀬表町3-20-1	086-737-3000	34.652073	133.884713
5	日赤	岡山赤十字病院	http://www.okayama-med.jrc.or.jp	500	岡山市北区青江2-1-1	086-222-8811	34.635544	133.923155
6	済生会	岡山済生会外来センター病院	http://www.okayamasaiseikai.or.jp	80	岡山市北区伊福町1-17-18	086-252-2211	34.670577	133.917294
7	済生会	岡山済生会総合病院	http://www.okayamasaiseikai.or.jp/	473	岡山市北区国体町2番25号	086-252-2211	34.672475	133.91986
8	済生会	済生会吉備病院	http://www.saiseikaikibi.jp/	75	岡山市北区高松原古才584-1	086-287-8655	34.683855	133.825405
9	公益法人	岡山旭東病院	http://www.kyokuto.or.jp/	202	岡山市中区倉田567-1	086-276-3231	34.631277	133.955249
10	公益法人	岡山県健康づくり財団附属病院	http://www.okakenko.jp/	126	岡山市北区平田408-1	086-241-0880	34.634944	133.882198
11	公益法人	岡山リハビリテーション病院	http://www.okayama-reha-hp.or.jp/	129	岡山市中区倉田503-1	086-274-7001	34.629997	133.958568
12	公益法人	倉敷中央病院	http://www.kchnet.or.jp/	1166	倉敷市美和1-1-1	086-422-0210	34.602083	133.775439
13	公益法人	倉敷中央病院リバーサイド	https://www.kchnet.or.jp/krh/	130	倉敷市鶴の浦2-6-11	086-448-1111	34.542192	133.706378
14	公益法人	慈圭病院	http://www.zikei.or.jp	570	岡山市南区浦安本町100-2	086-262-1191	34.603379	133.917221
15	公益法人	玉島病院	http://www.tamashimahosp.or.jp/	166	倉敷市玉島乙島4030	086-522-4141	34.541624	133.680491
16	医療法人	大谷病院		48	津山市田町33	0868-22-9381	35.063712	134.001837
17	医療法人	太田病院	http://www.ohta-hp.com/	60	新見市西方426	0867-72-0214	34.9871	133.459433
18	医療法人	おおもと病院	http://oomotohosp.jp/	51	岡山市北区大元1-1-5	086-241-6888	34.647031	133.904377
19	医療法人	梶木病院	http://www.kajikihp.or.jp/	62	岡山市北区西花尻1231－1	086-293-3355	34.651945	133.856495
20	医療法人	倉敷スイートホスピタル	http://sweet-town.jp/	196	倉敷市中庄3542-1	086-463-7111	34.624393	133.804093
21	医療法人	倉敷第一病院	http://www.seiwakai-net.or.jp/daiichi	191	倉敷市老松町5-3-10	086-424-1000	34.593425	133.757125
22	医療法人	重井医学研究所附属病院	http://www.shigei.or.jp/smrh/	198	岡山市南区山田2117	086-282-5311	34.620213	133.84919
23	医療法人	しげい病院	http://www.shigei.or.jp/shigei/	256	倉敷市幸町2-30	086-422-3655	34.603563	133.773216
24	医療法人	平病院	https://www.tairahos.or.jp	89	和気郡和気町尺所438	0869-93-1155	34.805319	134.161532
25	医療法人	玉島中央病院	www.tamasima-ch.or.jp/	122	倉敷市玉島阿賀崎2-1-1	086-526-8111	34.547634	133.672596
26	医療法人	松田病院	http://www.kct.ne.jp/~matuda/	135	倉敷市鶴形1-3-10	086-422-3550	34.601638	133.770205
27	医療法人	水島第一病院	http://mizu-1.jp/	199	倉敷市神田2-3-33	086-444-5333	34.541733	133.738728
28	医療法人	美作中央病院		110	美作市明見357-1	0868-72-0461	35.01336	134.146764
29	特定医療法人	笠岡第一病院	http://www.kasaoka-d-hp.or.jp	148	笠岡市横島1945	0865-67-0211	34.478145	133.520803
30	特定医療法人	金光病院	http://konkohp.jp/	147	浅口市金光町占見新田740	0865-42-3211	34.541871	133.626205
31	特定医療法人	新見中央病院	http://nchp.jp	115	新見市新見827-1	0867-72-2110	34.983636	133.469483
32	特定医療法人	竜操整形外科病院	http://www.ryusoh.or.jp	111	岡山市中区藤原21-1	086-273-1233	34.675463	133.9597
33	特定医療法人	渡辺病院	http://www.watanabe-byouin.or.jp/	88	新見市高尾2278-1	0867-72-2123	34.994443	133.445441
34	社会医療法人	岡村一心堂病院	http://www.isshin.or.jp/	152	岡山市東区西大寺南2-1-7	086-942-9919	34.652243	134.032323
35	社会医療法人	岡山中央病院	http://www.kohjin.ne.jp/	162	岡山市北区伊島北町6-3	086-252-3221	34.681111	133.904887
36	社会医療法人	倉敷平成病院	http://www.heisei.or.jp	220	倉敷市老松町4-3-38	086-427-1111	34.593109	133.76183
37	社会医療法人	倉敷リハビリテーション病院	http://www.kurareha.com/krh/00top/top.html	155	倉敷市笹沖21	086-421-3311	34.572023	133.761593
38	社会医療法人	光生病院	http://www.kousei-hp.or.jp/	198	岡山市北区厚生町3-8-35	086-222-6806	34.655881	133.91104
39	社会医療法人	水島中央病院	http://suiwakai-mch.or.jp	155	倉敷市水島青葉町4-5	086-444-3311	34.534262	133.739193
40	私立学校法人	川崎医科大学附属病院	https://h.kawasaki-m.ac.jp/	1182	倉敷市松島577	086-462-1111	34.632008	133.81139
41	社会福祉法人	旭川荘療育・医療センター	http://www.jidouin.jp/	422	岡山市北区祇園866	086-275-8555	34.709509	133.958594
42	社会福祉法人	岡山博愛会病院	http://www.okayama-hakuaikai.or.jp	171	岡山市中区江崎456-2	086-274-8101	34.624308	133.964459
43	医療生協	水島協同病院	http://www.mizukyo.jp	282	倉敷市水島南春日町1-1	086-444-3211	34.541904	133.742575
44	その他法人	旭ヶ丘病院	http://www.junpukai.or.jp	60	岡山市北区万成東町3-1	086-252-1185	34.673464	133.895806
45	その他法人	河田病院	http://kawada.or.jp	640	岡山市北区富町2-15-21	086-252-1231	34.663999	133.908983
46	その他法人	倉敷成人病センター	http://www.fkmc.or.jp	269	倉敷市白楽町250	086-422-2111	34.587759	133.765164
47	その他法人	積善病院	http://www.sekizen.or.jp	295	津山市一方140	0868-22-3166	35.055524	133.979569
48	その他法人	津山中央病院	http://www.tch.or.jp/	515	津山市川崎1756	0868-21-8111	35.064854	134.039997
49	その他法人	芳野病院	http://www.kyouaikai.or.jp/	110	苫田郡鏡野町吉原312	0868-54-0312	35.071993	133.935687
