id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	呉医療センター	http://www.kure-nh.go.jp/	700	呉市青山町3-1	0823-22-3111	34.23939	132.565917
2	独立行政法人国立病院機構	広島西医療センター	http://www.hiro-nishi-nh.jp/	440	大竹市玖波4-1-1	0827-57-7151	34.25149	132.224301
3	独立行政法人国立病院機構	福山医療センター	http://www.fukuyama-hosp.go.jp/	350	福山市沖野上町4-14-17	084-922-0001	34.471101	133.370978
4	独立行政法人労働者健康安全機構	中国労災病院	http://www.chugokuh.johas.go.jp/	410	広島県呉市広多賀谷１丁目５－１	0823-72-7171	34.230074	132.613572
5	市町村	公立世羅中央病院	http://www.serachuo-hp.jp/	155	世羅郡世羅町大字本郷918-3	0847-22-2577	34.586417	133.045371
6	市町村	公立みつぎ総合病院	http://www.mitsugibyouin.com	240	尾道市御調町市124	0848-76-1111	34.516622	133.147666
7	市町村	市立三次中央病院	http://www.miyoshi-central-hospital.jp	350	三次市東酒屋町10531	0824-65-0101	34.782032	132.867706
8	地方独立行政法人	広島市立安佐市民病院	http://www.asa-hosp.city.hiroshima.jp/	527	広島市安佐北区可部南2-1-1	082-815-5211	34.506488	132.515863
9	地方独立行政法人	広島市立広島市民病院	http://www.city-hosp.naka.hiroshima.jp/	743	広島市中区基町7-33	082-221-2291	34.397842	132.4597
10	地方独立行政法人	広島市立リハビリテーション病院	http://soriha-hiroshima.jp/	100	広島市安佐南区伴南1-39-1	082-848-8001	34.44911	132.38315
11	地方独立行政法人	府中市民病院	http://shimin.fuchuhp.jp/	150	府中市鵜飼町555-3	0847-45-3300	34.569883	133.248146
12	日赤	総合病院庄原赤十字病院	http://www.shobara.jrc.or.jp/	300	庄原市西本町2-7-10	0824-72-3111	34.858296	133.010445
13	日赤	総合病院　三原赤十字病院	http://mihara.jrc.or.jp/	226	三原市東町2-7-1	0848-64-8111	34.402732	133.089962
14	日赤	広島赤十字・原爆病院	http://www.hiroshima-med.jrc.or.jp/	565	広島市中区千田町1-9-6	082-241-3111	34.380885	132.454195
15	済生会	済生会呉病院	http://www.saiseikai-kure.jp	150	呉市三条2-1-13	0823-21-1601	34.24627	132.553669
16	済生会	済生会広島病院	http://www.saiseikai.com	312	安芸郡坂町北新地2-3-10	082-884-2566	34.350827	132.518623
17	厚生連	尾道総合病院	http://onomichi-gh.jp/	393	尾道市平原1-10-23	0848-22-8111	34.407342	133.176694
18	厚生連	ＪＡ広島総合病院	http://www.hirobyo.jp/	531	廿日市市地御前1-3-3	0829-36-3111	34.343592	132.322871
19	厚生連	吉田総合病院	http://yoshida-gene-hospi.jp/	340	安芸高田市吉田町吉田3666	0826-42-0636	34.664249	132.701577
20	共済組合及び連合会	呉共済病院	http://www.kure-kyosai.jp/	440	呉市西中央2-3-28	0823-22-2111	34.248778	132.558506
21	共済組合及び連合会	呉共済病院忠海分院	http://www.k3.dion.ne.jp/~tdu-hp/	44	竹原市忠海中町2-2-45	0846-26-0250	34.337948	132.9928
22	共済組合及び連合会	中国中央病院	http://www.kouritu-cch.jp	277	福山市御幸町大字上岩成148-13	084-970-2121	34.54808	133.347991
23	共済組合及び連合会	広島記念病院	http://www.kkrhiroshimakinen-hp.org/	200	広島市中区本川町1-4-3	082-292-1271	34.395665	132.449425
24	共済組合及び連合会	吉島病院	http://www.yoshijima-hosp.jp	199	広島市中区吉島東3-2-33	082-241-2167	34.369288	132.451023
25	医療法人	アマノリハビリテーション病院	http://www.amano-reha.com/	120	廿日市市陽光台5-9	0829-37-0800	34.356584	132.309729
26	医療法人	荒木脳神経外科病院	http://www.arakihp.jp	110	広島市西区庚午北2-8-7	082-272-1114	34.390642	132.421886
27	医療法人	五日市記念病院	http://www.seifu.or.jp	180	広島市佐伯区倉重1-95	082-924-2211	34.383304	132.351805
28	医療法人	太田川病院	http://info@otagawa-hp.com	214	広島市東区戸坂千足1-21-25	082-220-0221	34.436917	132.484038
29	医療法人	梶川病院	http://www.kajikawa.or.jp	88	広島市西区天満町8-7	082-231-1131	34.396429	132.440541
30	医療法人	北広島病院	http://www.m-meiwakai.jp	55	山県郡北広島町壬生433-4	0826-72-2050	34.680718	132.551843
31	医療法人	呉中通病院	http://www.kure-nakadori.jp	123	呉市中通1-3-8	0823-22-2510	34.244238	132.562178
32	医療法人	山陽病院	http://www.sanyo.or.jp	82	福山市野上町2-8-2	084-923-1133	34.478101	133.36518
33	医療法人	JR広島病院	http://www.jrhh.or.jp/	275	広島市東区二葉の里3-1-36	082-262-1170	34.401296	132.477703
34	医療法人	シムラ病院	http://www.shimura.or.jp	116	広島市中区舟入町3-13	082-294-5151	34.391543	132.443997
35	医療法人	須波宗斉会病院	http://www1.megaegg.ne.jp/~sunami/	70	三原市須波ハイツ2-3-10	0848-69-1888	34.35231	133.07749
36	医療法人	たかの橋中央病院	http://www.jinyoukai.or.jp/	106	広島市中区国泰寺町2-4-16	082-242-1515	34.38353	132.454461
37	医療法人	長久堂野村病院	http://www.chokyudo-nomura.or.jp/	79	広島市安佐北区可部南4-17-30	082-815-2882	34.505039	132.512718
38	医療法人	長崎病院	http://www.nagasaki-hp.jp	175	広島市西区横川新町3-11	082-208-5801	34.409012	132.447283
39	医療法人	西広島リハビリテーション病院	http://www.welnet.jp	139	広島市佐伯区三宅6-265	082-921-3230	34.378272	132.339514
40	医療法人	野村病院	http://www.medical-park.jp	106	広島市安佐南区祇園2-42-14	082-875-1111	34.438892	132.465144
41	医療法人	馬場病院	http://www.rakuseikai.jp	80	竹原市下野町1744	0846-22-2071	34.334505	132.887707
42	医療法人	原田病院	http://www.icy.or.jp	120	広島市佐伯区海老山町7-10	082-923-5161	34.364151	132.364506
43	医療法人	日比野病院		146	広島市安佐南区伴東7-9-2	082-848-2357	34.464093	132.421068
44	医療法人	広島パークヒル病院	http://ph.wadoukai.jp/	114	広島市西区田方2-16-45	082-274-1600	34.391779	132.396134
45	医療法人	福山城西病院	http://www.fukuyamajousei.jp/	60	福山市西町2-11-36	084-926-0606	34.490013	133.356548
46	医療法人	福山第一病院	http://www.jojokai.or.jp/	132	福山市南蔵王町5-14-5	084-943-7171	34.503728	133.402041
47	医療法人	ふたば病院	http://www.wakokai.jp/	208	呉市広白石4-7-22	0823-70-0555	34.226433	132.641943
48	医療法人	松石病院	http://matsuishi-hp.or.jp/	58	広島市安芸区船越南3-23-3	082-823-0003	34.370289	132.524651
49	医療法人	松岡病院	http://www.matsuoka.or.jp/	51	福山市宝町5-32	084-923-0385	34.489754	133.366398
50	医療法人	松尾内科病院	http://mihara-matuohp.or.jp/	110	三原市城町3-7-1	0848-63-5088	34.396541	133.083854
51	医療法人	本永病院	http://www.motonaga.or.jp/	182	東広島市西条岡町8-13	082-423-2666	34.429081	132.741764
52	医療法人	安田病院	http://www.yasudabyouin.com/	153	竹原市下野町3136	0846-22-6523	34.352674	132.900399
53	特定医療法人	土谷総合病院	http://www.tsuchiya-hp.jp/	394	広島市中区中島町3-30	082-243-9191	34.390254	132.451772
54	特定医療法人	本郷中央病院	http://www.jinkokai.jp/	137	三原市下北方1-7-30	0848-86-6780	34.406339	132.975253
55	社会医療法人	井野口病院	http://inokuchi.or.jp/	188	東広島市西条土与丸6-1-91	082-422-3711	34.42705	132.752272
56	社会医療法人	神原病院	http://kambara-hp.sakura.ne.jp/	115	福山市赤坂町赤坂1313	084-951-1007	34.471887	133.30294
