id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	関門医療センター	http://www.hosp.go.jp/~kanmon/	400	下関市長府外浦町1-1	083-241-1199	33.988436	130.992296
2	独立行政法人国立病院機構	柳井医療センター	http://yanai-hosp.jp/	280	柳井市伊保庄95	0820-27-0211	33.912331	132.12777
3	独立行政法人労働者健康安全機構	山口労災病院	http://www.yamaguchih.johas.go.jp/	313	山陽小野田市小野田1315-4	0836-83-2881	33.986859	131.184534
4	独立行政法人地域医療機能推進機構	下関医療センター	http://shimonoseki.jcho.go.jp/	315	下関市上新地町3-3-8	083-231-5811	33.95902	130.919767
5	独立行政法人地域医療機能推進機構	徳山中央病院	http://tokuyama.jcho/go.jp	519	周南市孝田町1-1	0834-28-4411	34.047404	131.834305
6	市町村	山陽小野田市民病院	https://sanyo-onoda-city-hosp.jp/	215	山陽小野田市大字東高泊1863-1	0836-83-2355	33.997912	131.177313
7	市町村	周南市立新南陽市民病院	http://www.city-hp.or.jp/	150	周南市宮の前2-3-15	0834-61-2500	34.072689	131.765079
8	市町村	萩市民病院	http://www.hagicvhp.jp/	100	萩市大字椿3460-3	0838-25-1200	34.396836	131.394074
9	市町村	光市立光総合病院	http://hikari-hosp.jp/	210	光市光ケ丘6-1	0833-72-1000	33.983318	131.918939
10	地方独立行政法人	下関市立市民病院	https://shimonosekicity-hosp.jp/	436	下関市向洋町一丁目１３番１号	083-231-4111	33.966175	130.930206
11	地方独立行政法人	山口県立総合医療センター	http://www.ymghp.jp	504	防府市大字大崎１００７７番地	0835-22-4411	34.079446	131.526272
12	日赤	小野田赤十字病院	http://www.onoda-redcross-hosp.jp	132	山陽小野田市大字小野田3700	0836-88-0221	33.954355	131.18392
13	日赤	山口赤十字病院	http://www.yamaguchi-redcross.jp	427	山口市八幡馬場53-1	083-923-0111	34.184681	131.48247
14	済生会	山口県済生会下関総合病院	https://www.simo.saiseikai.or.jp/	373	下関市安岡町8-5-1	083-262-2300	34.031454	130.931066
15	済生会	山口県済生会豊浦病院	http://www.toyoura-saiseikai.jp/	275	下関市豊浦町大字小串10007-3	083-774-0511	34.172747	130.933441
16	済生会	山口県済生会山口総合病院	http://www.yamaguchi-saiseikai.jp/	310	山口市緑町2-11	083-901-6111	34.171229	131.467234
17	済生会	山口県済生会湯田温泉病院	http://saiseikai-care-y.jp/	142	山口市朝倉町4-55	083-932-3311	34.175895	131.452846
18	厚生連	小郡第一総合病院	http://ogoridaiichi.jp	182	山口市小郡下郷862-3	083-972-0333	34.103181	131.397021
19	厚生連	周東総合病院	http:www.hsp-shuto.jp/	360	柳井市古開作1000-1	0820-22-3456	33.95885	132.095938
20	厚生連	長門総合病院	http://www.nagato-hp.jp	309	長門市東深川85	0837-22-2220	34.385952	131.196389
21	医療法人	阿知須共立病院	http://www.kyoai.or.jp	135	山口市阿知須4841-1	0836-65-2200	34.01132	131.355583
22	医療法人	阿知須同仁病院	http://www.ajisudohjin.com	138	山口市阿知須4241-4	0836-65-5555	34.010023	131.360443
23	医療法人	医療法人社団宇部興産中央病院	http://www.ube-hp.or.jp/	396	宇部市西岐波750	0836-51-9286	33.966692	131.330593
24	医療法人	医療法人　長府病院	http://www.hp.chofu-hp.or.jp	60	下関市長府中之町2-4	083-245-1131	34.000047	130.99082
25	医療法人	光輝病院	http://www.kouki-hospital.jp/	920	熊毛郡平生町佐賀鳩ヶ峯2-77	0820-58-1111	33.89323	132.105734
26	医療法人	佐々木外科病院	http://sasaki-geka.jp/	54	山口市泉都町9-13	083-923-8811	34.166485	131.461583
27	医療法人	全眞会病院	http://zenshinkai.sakura.ne.jp/	108	萩市山田西沖田4807-3	0838-22-4106	34.405782	131.383164
28	医療法人	都志見病院	http://www.tsushimi.jp	234	萩市大字江向413-1	0838-22-2811	34.406441	131.401086
29	医療法人	豊関会記念病院		57	下関市長府江下町2番10号	083-245-2222	34.012154	130.99681
30	医療法人	三田尻病院	http://www.mitajiri.net/	144	防府市お茶屋町3-27	0835-22-1110	34.046433	131.572985
31	特定医療法人	昭和病院	http://www.akanekai-showa.com/	338	下関市汐入町35-1	083-231-3888	33.971692	130.916472
32	社会医療法人	尾中病院	http://www.onaka.or.jp/	180	宇部市常盤町2-4-5	0836-31-2133	33.949048	131.251027
33	社会医療法人	周南記念病院	http://shunan-kinen.jp	250	下松市生野屋南1-10-1	0833-45-3330	34.032561	131.876295
34	その他法人	防府胃腸病院	http://www.hofu-icho.or.jp/	120	防府市駅南町14-33	0835-22-3339	34.050913	131.564286
35	個人	玉木病院	http://www.tamaki-hp.jp/	151	萩市瓦町1	0838-22-0030	34.411732	131.395639
