id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	東徳島医療センター	http://www.etokushima-mc.jp/	330	板野郡板野町大寺字大向北1-1	088-672-1171	34.136902	134.468706
2	都道府県	徳島県立中央病院	http://www.tph.gr.jp/	460	徳島県徳島市蔵本町１丁目１０－３	088-631-7151	34.077072	134.519399
3	都道府県	徳島県立三好病院	http://www.miyoshi-hosp.jp	220	三好市池田町シマ815-2	0883-72-1131	34.028502	133.818027
4	地方独立行政法人	徳島県鳴門病院	http://naruto-hsp.jp	307	鳴門市撫養町黒崎字小谷32	088-683-0011	34.182671	134.594165
5	日赤	徳島赤十字病院	http://www.tokushima-med.jrc.or.jp	405	小松島市小松島町字井利ノ口103番	0885-32-2555	34.012389	134.58358
6	医療法人	伊月病院	http://www.itsuki-hp.jp/	89	徳島市徳島町2-54	088-622-1117	34.073338	134.55755
7	医療法人	沖の洲病院	http://www.nmt.ne.jp/~nagioo/	33	徳島市城東町1-8-8	088-622-7111	34.073221	134.57371
8	医療法人	亀井病院	http://www.kameihospital.com/	42	徳島市八万町寺山231	088-668-1177	34.040555	134.520847
9	医療法人	碩心館病院	http://www.sekishinkan.or.jp	82	小松島市江田町字大江田44-1	0885-32-3555	34.01431	134.563691
10	医療法人	博愛記念病院	http://hakuaihp.jp	210	徳島市勝占町惣田9	088-669-2166	34.021353	134.550919
11	医療法人	三加茂田中病院	http://www.mikamotanakahp.ecnet.jp	192	三好郡東みよし町加茂1883-4	0883-82-3700	34.039307	133.926213
