id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	四国こどもとおとなの医療センター	http://www.shikoku-med.jp/	689	善通寺市仙遊町2-1-1	0877-62-1000	34.228693	133.770921
2	独立行政法人労働者健康安全機構	香川労災病院	http://www.kagawah.johas.go.jp/	404	丸亀市城東町3-3-1	0877-23-3111	34.288134	133.806016
3	独立行政法人地域医療機能推進機構	りつりん病院	http://ritsurin.jcho.go.jp/	199	高松市栗林町3-5-9	087-862-3171	34.328744	134.050497
4	都道府県	香川県立中央病院	http://www.chp-kagawa.jp/	531	高松市朝日町1-2-1	087-811-3333	34.348811	134.062555
5	市町村	坂出市立病院	http://www.city.sakaide.lg.jp/site/sakaide-hospital/	194	坂出市寿町3-1-2	0877-46-5131	34.317363	133.849558
6	市町村	さぬき市民病院	http://www.city.sanuki.kagawa.jp/hospital/	179	さぬき市寒川町石田東甲387-1	0879-43-2521	34.267158	134.202067
7	市町村	高松市立みんなの病院	http://www.takamatsu-municipal-hospital.jp/	305	高松市仏生山町甲847-1	087-813-7171	34.282758	134.040448
8	市町村	三豊総合病院	http://www.mitoyo-hosp.jp	482	観音寺市豊浜町姫浜708	0875-52-3366	34.081933	133.641655
9	日赤	高松赤十字病院	http://www.takamatsu.jrc.or.jp	576	高松市番町4-1-3	087-831-7101	34.341084	134.043231
10	済生会	香川県済生会病院	http://www.saiseikai-kagawa.jp/	198	高松市多肥上町1331-1	087-868-1551	34.295501	134.058308
11	厚生連	滝宮総合病院	http://www.takinomiya-hp.com/	191	綾歌郡綾川町滝宮486	087-876-1145	34.247991	133.923967
12	厚生連	屋島総合病院	http://www.yashima-hp.com/	279	高松市屋島西町2105-17	087-841-9141	34.343455	134.090517
13	共済組合及び連合会	高松病院	http://www.kkr-ta-hp.gr.jp/	179	高松市天神前4-18	087-861-3261	34.339896	134.045601
14	医療法人	宇多津病院	http://www.utz.or.jp/	38	綾歌郡宇多津町浜五番丁66-1	0877-56-7777	34.30425	133.81071
15	医療法人	永生病院	http://www.eisei-hp.or.jp	40	仲多度郡まんのう町買田221-3	0877-73-3300	34.172143	133.827381
16	医療法人	キナシ大林病院	http://www.obayashihp.or.jp/	254	高松市鬼無町藤井435-1	087-881-3631	34.332738	134.002223
17	医療法人	クワヤ病院	http://www.kuwaya.or.jp	73	高松市塩屋町1-4	087-851-5208	34.344031	134.055046
18	医療法人	善通寺前田病院	http://www.junshinkai.com/	46	善通寺市中村町894-1	0877-63-3131	34.243249	133.764884
19	医療法人	橋本病院	http://wafukai-hashimoto.jp	156	三豊市山本町財田西902番地1	0875-63-3311	34.117212	133.735597
20	医療法人	まるがめ医療センター	http://www.jyujin-mmc.jp	300	丸亀市津森町219	0877-23-5555	34.276896	133.794657
21	医療法人	ミタニ病院	http://www.mitani-fujita-hp.jp/	85	高松市三谷町1680番地1	087-864-8778	34.280308	134.059981
22	社会医療法人	総合病院回生病院	http://www.kaisei.or.jp/	398	坂出市室町3-5-28	0877-46-1011	34.317785	133.8618
23	その他法人	聖マルチン病院	http://sakaide-martinhp.jp/	196	坂出市谷町1-4-13	0877-46-5195	34.311831	133.859411
24	その他法人	附属三宅リハビリテーション病院	http://www.miyake.or.jp	61	高松市天神前5番5号	087-831-2101	34.339832	134.045019
25	個人	整形外科吉峰病院	http://www.yoshimine.com	60	高松市番町1-4-13	087-851-8775	34.338333	134.048891
