id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人労働者健康安全機構	愛媛労災病院	http://www.ehimeh.johas.go.jp/	199	新居浜市南小松原町13-27	0897-33-6191	33.97389	133.292245
2	独立行政法人地域医療機能推進機構	宇和島病院	http://uwajima.jcho.go.jp/	199	宇和島市賀古町2-1-37	0895-22-5616	33.216125	132.569882
3	都道府県	愛媛県立中央病院	http://www.eph.pref.ehime.jp/epch/	827	松山市春日町83	089-947-1111	33.831556	132.764945
4	市町村	宇和島市立津島病院	https://www.city.uwajima.ehime.jp/site/h-tusima/	128	宇和島市津島町高田丙15番地	0895-32-2011	33.122338	132.519955
5	市町村	宇和島市立吉田病院	https://www.city.uwajima.ehime.jp/site/yoshida-hospital/	144	宇和島市吉田町北小路甲217	0895-52-0611	33.282451	132.541128
6	市町村	西条市立周桑病院	http://www.shuso-hospital.jp/	185	西条市壬生川131	0898-64-2630	33.93286	133.078419
7	市町村	市立宇和島病院	http://www.uwajima-mh.jp	435	宇和島市御殿町1-1	0895-25-1111	33.216103	132.564939
8	市町村	市立八幡浜総合病院	http://yawatahama-cgh.jp/	256	八幡浜市大平1-638	0894-22-3211	33.468392	132.424604
9	日赤	松山赤十字病院	http://www.matsuyama.jrc.or.jp/	632	松山市文京町1	089-924-1111	33.848443	132.774172
10	済生会	済生会今治第二病院	http://www.imabari.saiseikai.or.jp/imabari2/	30	今治市北日吉町1-7-43	0898-23-0100	34.063559	132.988585
11	済生会	済生会今治病院	http://www.imabari.saiseikai.or.jp/	191	今治市喜田村7-1-6	0898-47-2500	34.044154	133.02015
12	済生会	済生会西条病院	http://www.saiseikaisaijo.jp	150	西条市朔日市269-1	0897-55-5100	33.928785	133.191776
13	済生会	済生会松山病院	http://db.matsuyama.saiseikai.or.jp/	199	松山市山西町880-2	089-951-6111	33.85236	132.720829
14	共済組合及び連合会	四国中央病院	http://www.shikoku-ctr-hsp.jp	275	四国中央市川之江町2233	0896-58-3515	34.011434	133.581595
15	医療法人	住友別子病院	http://www.sbh.gr.jp/	360	新居浜市王子町3-1	0897-37-7111	33.953265	133.263621
16	医療法人	松山城東病院	http://www.m-joto-hsp.com/	90	松山市松末2-19-36	089-943-7717	33.827017	132.788276
17	医療法人	松山第一病院	http://www.matsuyama-daiichi.jp	70	松山市久万ノ台282-2	089-924-6878	33.85959	132.748314
18	医療法人	松山西病院	http://www.yu-wakai.or.jp/	102	松山市富久町360-1	089-972-3355	33.821915	132.726991
19	医療法人	南高井病院	http://www.tensinkai.or.jp/	353	松山市南高井町333	089-976-7777	33.787756	132.824881
20	医療法人	南松山病院	http://www.minami-hp.or.jp	242	松山市朝生田町1-3-10	089-941-8255	33.824232	132.774168
21	特定医療法人	加戸病院	http://kato-hp.jp/	92	喜多郡内子町内子771	0893-44-5500	33.546253	132.647011
22	特定医療法人	西条市民病院	http://www.saijo-hospital.jp/	101	西条市小松町妙口甲1521	0898-72-4111	33.895754	133.089962
23	社会医療法人	大洲中央病院	http://www.oozuchuo-hsp.jp	182	大洲市東大洲5	0893-24-4551	33.515422	132.55119
24	社会医療法人	西条中央病院	http://www.saijo-c-hospital.jp	242	西条市朔日市804	0897-56-0300	33.929667	133.180448
25	社会医療法人	ＨＩＴＯ病院	http://hito-medical.jp	257	四国中央市上分町788-1	0896-58-2222	33.991509	133.587481
26	社会医療法人	村上記念病院	http://www.murakami-kinen.or.jp/	199	西条市大町739	0897-56-2300	33.915246	133.190379
27	その他法人	十全総合病院	http://jyuzen.jp/	350	新居浜市北新町1-5	0897-33-1818	33.959892	133.273568
28	その他法人	松山市民病院	http://www.matsuyama-shimin-hsp.or.jp	432	松山市大手町2-6-5	089-943-1151	33.839532	132.753737
