id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	高知病院	http://www.kochihp.com	424	高知市朝倉西町1-2-25	088-844-3111	33.542652	133.48435
2	国立大学法人	高知大学医学部附属病院	http://www.kochi-ms.ac.jp/~hsptl/	613	南国市岡豊町小蓮185-1	088-866-5811	33.594677	133.614658
3	独立行政法人地域医療機能推進機構	高知西病院	http://kochi.jcho.go.jp	165	高知市神田317-12	088-843-1501	33.540834	133.50191
4	都道府県	高知医療センター	http://www2.khsc.or.jp/	660	高知市池2125-1	088-837-3000	33.531382	133.585168
5	都道府県	高知県立あき総合病院	http://www.pref.kochi.lg.jp/aki/	270	安芸市宝永町3-33	0887-34-3111	33.506388	133.897547
6	都道府県	高知県立幡多けんみん病院	http://www.pref.kochi.lg.jp/hata/	355	宿毛市山奈町芳奈3-1	0880-66-2222	32.966643	132.805462
7	市町村	いの町立国民健康保険仁淀病院	http://www.town.ino.kochi.jp/niyodo-hospital/	100	吾川郡いの町1369	088-893-1551	33.546893	133.43366
8	市町村	佐川町立高北国民健康保険病院	http://www.town.sakawa.lg.jp/kouhoku_hospital/	98	高岡郡佐川町甲1687	0889-22-1166	33.503728	133.286623
9	市町村	四万十市立市民病院	http://www3.city.shimanto.lg.jp/hospital/	99	四万十市中村東町1-1-27	0880-34-2126	32.993704	132.937424
10	市町村	町立国保嶺北中央病院	http://reihokuchuo-hp.jp	99	長岡郡本山町本山620	0887-76-2450	33.759316	133.586449
11	市町村	土佐市民病院	http://www.city.tosa.lg.jp/hospital/	150	土佐市高岡町甲1867	088-852-2151	33.506588	133.421123
12	日赤	高知赤十字病院	http://www.kochi-med.jrc.or.jp/	468	高知市秦南町1-4-63-11	088-822-1201	33.576021	133.544172
13	厚生連	ＪＡ高知病院	http://www.kouseiren.ja-kochi.or.jp/	178	南国市明見字中野526-1	088-863-2181	33.570077	133.623071
14	医療法人	愛宕病院	http://www.atago-hp.or.jp/	562	高知市愛宕町1-1-13	088-823-3301	33.565365	133.53731
15	医療法人	渭南病院	http://www.inan-hp.jp/	105	土佐清水市越前町6-1	0880-82-1151	32.781565	132.95101
16	医療法人	岡村病院	http://www.okamura-hp.or.jp/	145	高知市入明町1-5	088-822-5155	33.565603	133.532163
17	医療法人	北島病院	http://www.kitajima-hp.com	50	高岡郡越知町越知甲1662	0889-26-0432	33.530478	133.253068
18	医療法人	国吉病院	http://www.kuniyoshi-hp.or.jp/	106	高知市上町1-3-4	088-875-0231	33.55845	133.526172
19	医療法人	くぼかわ病院	http://www.kawamurakai.com	172	高岡郡四万十町見付902-1	0880-22-1111	33.205791	133.148641
20	医療法人	高知城東病院	http://www.kochijoto.or.jp/	92	高知市大津乙719	088-866-2326	33.567848	133.597242
21	医療法人	高知高須病院	http://www.takasuhp.or.jp/	63	高知市大津乙2705-1	088-878-3377	33.566528	133.579723
22	医療法人	島津病院	http://www.shimazuhp.jp/	69	高知市比島町4-6-22	088-823-2285	33.573317	133.549964
23	医療法人	白菊園病院	http://siragiku.jp	187	土佐市新居萩ﾉ里1	088-856-1101	33.449462	133.459008
24	医療法人	須崎くろしお病院	http://susaki-kuroshio-hp.or.jp/	160	須崎市緑町4-30	0889-43-2121	33.411835	133.289389
25	医療法人	だいいちリハビリテーション病院	http://www.daiichi-hp.jp	180	高知市九反田2-14	088-882-0811	33.558215	133.547996
26	医療法人	田中整形外科病院	http://www.tanakaseikei.jp	112	高知市上町3-2-6	088-822-7660	33.558146	133.52256
27	医療法人	田野病院	http://www.usui-kai.com/	84	安芸郡田野町1414-1	0887-38-7111	33.428934	134.008696
28	医療法人	野市中央病院	http://www.kouseikai-g.jp/	171	香南市野市町東野555-18	0887-55-1101	33.561069	133.71758
29	医療法人	幡多病院	http://www.hatabyouin.net/	45	四万十市右山天神町10-12	0880-34-6211	32.984492	132.941812
30	医療法人	海里マリン病院	http://www.marine-hosp.jp	76	高知市仁井田1617-5	088-847-0101	33.514121	133.572615
31	医療法人	もみのき病院	http://mominoki-hp.or.jp	60	高知市塚ノ原6-1	088-840-2222	33.560237	133.496031
32	特定医療法人	いずみの病院	http://www.izumino.or.jp	238	高知市薊野北町2-10-53	088-826-5511	33.580574	133.555423
33	特定医療法人	大井田病院	http://www.ooida-hp.net/	93	宿毛市中央8-3-6	0880-63-2101	32.935297	132.731476
34	特定医療法人	香長中央病院		197	香美市土佐山田町西本町5-5-34	0887-53-5155	33.603914	133.67866
35	特定医療法人	図南病院	http://www.hisakai.or.jp/tonan/	183	高知市知寄町1-5-15	088-882-3126	33.558912	133.55608
36	社会医療法人	近森病院	http://www.chikamori.com	512	高知市大川筋1-1-16	088-822-5231	33.564414	133.542268
37	社会医療法人	近森リハビリテーション病院	http://www.chikamori.com	180	高知市廿代町2-22	088-822-5231	33.563464	133.542089
38	社会医療法人	細木病院	http://hosogi-hospital.jp/	499	高知市大膳町37	088-822-7211	33.559938	133.522332
