id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	仙台医療センター	http://www.snh.go.jp/	698	仙台市宮城野区宮城野2-8-8	022-293-1111	38.261283	140.907212
2	独立行政法人労働者健康安全機構	東北労災病院	http://www.tohokuh.johas.go.jp/	548	仙台市青葉区台原4-3-21	022-275-1111	38.284297	140.875708
3	独立行政法人地域医療機能推進機構	仙台病院	http://sendai.jcho.go.jp/	428	仙台市青葉区堤町3-16-1	022-275-3111	38.290902	140.871092
4	独立行政法人地域医療機能推進機構	仙台南病院	http://sendaiminami.jcho.go.jp/	200	仙台市太白区中田町字前沖143	022-306-1711	38.190457	140.899137
5	市町村	石巻市立病院	http://ishinomaki-city.hospital.jp	180	石巻市穀町15-1	0225-25-5555	38.434965	141.3016
6	市町村	大崎市民病院	http://www.h-osaki.jp/	500	大崎市古川穂波3-8-1	0229-23-3311	38.565883	140.943821
7	市町村	栗原市立栗原中央病院	http://www.kurihara-central-hp.jp/	329	栗原市築館宮野中央3-1-1	0228-21-5330	38.746669	141.020295
8	市町村	塩竈市立病院	http://www.city-hospital-shiogama.jp/	161	塩竈市香津町7-1	022-364-5521	38.311034	141.015134
9	市町村	仙台市立病院	http://hospital.city.sendai.jp	525	仙台市太白区あすと長町1-1-1	022-308-7111	38.231903	140.888261
10	市町村	登米市立登米市民病院	http://www.city.tome.miyagi.jp/iryou/tomehp/	258	登米市迫町佐沼字下田中25	0220-22-5511	38.687525	141.192837
11	市町村	南三陸病院	http://www.minamisanriku-hp.jp/	90	本吉郡南三陸町志津川字沼田14-3	0226-46-3664	38.67922	141.462424
12	日赤	石巻赤十字病院	http://www.ishinomaki.jrc.or.jp/	464	石巻市蛇田字西道下71	0225-21-7220	38.459535	141.280179
13	日赤	仙台赤十字病院	http://www.sendai.jrc.or.jp	389	仙台市太白区八木山本町2-43-3	022-243-1111	38.236714	140.839241
14	共済組合及び連合会	東北公済病院	http://www.tohokukosai.com/flash.htm	365	仙台市青葉区国分町2-3-11	022-227-2211	38.262666	140.868152
15	公益法人	坂総合病院	http://www.m-kousei.com/saka/	357	塩竈市錦町16-5	022-365-5175	38.306498	141.015525
16	公益法人	仙台オープン病院	http://www.openhp.or.jp	330	仙台市宮城野区鶴ケ谷5-22-1	022-252-1111	38.293772	140.91721
17	公益法人	宮城利府掖済会病院	http://www.rifuekisaikai.com/	100	利府町森郷字新太子堂51	022-767-2151	38.335205	140.987655
18	医療法人	石巻健育会病院	http://www.ishinomaki.gr.jp/	168	石巻市大街道西3-3-27	0225-94-9195	38.431332	141.271414
19	医療法人	猪苗代病院		60	気仙沼市南町1-3-7	0226-22-7180	38.904917	141.572561
20	医療法人	永仁会病院	www.eijinkai-hp.or.jp	80	大崎市古川旭2-5-1	0229-22-0063	38.564732	140.971411
21	医療法人	齋藤病院	http://www.jinmei.or.jp/saito	179	石巻市山下町1-7-24	0225-96-3251	38.432476	141.29345
22	医療法人	スズキ記念病院	http://www.suzuki-hospital.jp/	78	岩沼市里の杜3-5-5	0223-23-3111	38.109107	140.878983
23	医療法人	仙塩総合病院	http://www.sen-en.jp/sougou/	260	多賀城市桜木2-1-1	022-367-4111	38.291409	141.015013
24	医療法人	仙台徳洲会病院	https://sendai.tokushukai.jp/	315	仙台市泉区七北田字駕籠沢15	022-372-1110	38.326222	140.875205
25	医療法人	仙台東脳神経外科病院	http://www.noukenkai.jp	93	仙台市宮城野区岩切1-12-1	022-255-7117	38.291266	140.936444
26	医療法人	名取熊野堂病院		112	名取市高舘熊野堂字岩口下68-1	022-386-2131	38.197831	140.85001
27	特定医療法人	南浜中央病院	http://www.minamihama.or.jp/	239	岩沼市寺島字北新田111	0223-24-1861	38.08389	140.919014
28	その他法人	仙台厚生病院	http://www.sendai-kousei-hospital.jp/	409	仙台市青葉区広瀬町4-15	022-222-6181	38.269793	140.857594
29	その他法人	光ヶ丘スペルマン病院	http://www.spellman.or.jp/	140	仙台市宮城野区東仙台6-7-1	022-257-0231	38.279034	140.910876
