id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	大牟田病院	https://omuta.hosp.go.jp/	402	大牟田市大字橘1044-1	0944-58-1122	33.072395	130.472399
2	独立行政法人国立病院機構	九州医療センター	http://www.kyumed.jp	702	福岡市中央区地行浜1-8-1	092-852-0700	33.59226	130.360828
3	独立行政法人国立病院機構	九州がんセンター	http://www.ia-nkcc.jp/	411	福岡市南区野多目3-1-1	092-541-3231	33.542448	130.42087
4	独立行政法人国立病院機構	小倉医療センター	http://www.kokura-hp.jp/	400	北九州市小倉南区春ヶ丘10-1	093-921-8881	33.849482	130.883825
5	独立行政法人国立病院機構	福岡東医療センター	https://fukuokae.hosp.go.jp/	549	古賀市千鳥1-1-1	092-943-2331	33.740262	130.475845
6	独立行政法人国立病院機構	福岡病院	http://www.fukuoka-nh.jp/	360	福岡市南区屋形原4-39-1	092-565-5534	33.534103	130.409243
7	独立行政法人労働者健康安全機構	九州労災病院	http://www.kyushuh.johas.go.jp/	450	北九州市小倉南区曽根北町1-1	093-471-1121	33.837172	130.938406
8	独立行政法人労働者健康安全機構	九州労災病院門司メディカルセンター	http://www.mojih.johas.go.jp/	250	北九州市門司区東港町3-1	093-331-3461	33.951163	130.96484
9	独立行政法人地域医療機能推進機構	九州病院	https://kyusyu.jcho.go.jp/	575	北九州市八幡西区岸の浦1-8-1	093-641-5111	33.857459	130.765357
10	独立行政法人地域医療機能推進機構	久留米総合病院	http://kurume.jcho.go.jp/	175	久留米市櫛原町21	0942-33-1211	33.318519	130.51343
11	独立行政法人地域医療機能推進機構	福岡ゆたか中央病院	http://fukuoka.jcho.go.jp	162	直方市感田523-5	0949-26-2311	33.758878	130.736946
12	市町村	公立八女総合病院	http://www.hosp-yame.jp/	300	八女市高塚540番地2	0943-23-4131	33.206253	130.56031
13	市町村	田川市立病院	http://hospital.city.tagawa.fukuoka.jp/	342	田川市大字糒1700-2	0947-44-2100	33.659495	130.799367
14	地方独立行政法人	大牟田市立病院	http://www.ghp.omuta.fukuoka.jp/	350	大牟田市宝坂町2-19-1	0944-53-1061	33.024043	130.445182
15	地方独立行政法人	北九州市立医療センター	http://www.kitakyu-cho.jp/center/	636	北九州市小倉北区馬借2-1-1	093-541-1831	33.879383	130.87896
16	地方独立行政法人	北九州市立八幡病院	http://www.yahatahp.jp/	350	北九州市八幡東区尾倉２－６－２	093-662-6565	33.865181	130.795888
17	地方独立行政法人	筑後市立病院	http://www.chikugocity-hp.jp/	233	筑後市大字和泉917-1	0942-53-7511	33.204715	130.491168
18	地方独立行政法人	福岡市民病院	http://www.fcho.jp/shiminhp/	204	福岡市博多区吉塚本町13-1	092-632-1111	33.604535	130.422263
19	日赤	今津赤十字病院	http://www.fukuoka.jrc.or.jp/imazu/	180	福岡市西区今津377	092-806-2111	33.598587	130.27116
20	日赤	嘉麻赤十字病院	http://www.kama-jrc.jp	142	嘉麻市上山田1237	0948-52-0861	33.561798	130.761862
21	日赤	福岡赤十字病院	http://www.fukuoka-med.jrc.or.jp/	511	福岡市南区大楠3-1-1	092-521-1211	33.571743	130.41443
22	済生会	福岡県済生会飯塚嘉穂病院	http://iizuka-kaho.jp	197	飯塚市太郎丸265	0948-22-3740	33.60135	130.667279
23	済生会	福岡県済生会大牟田病院	http://www.omuta-saiseikai.jp/	196	大牟田市田隈810	0944-53-2488	33.056546	130.465716
24	済生会	福岡県済生会福岡総合病院	http://www.saiseikai-hp.chuo.fukuoka.jp	380	福岡市中央区天神1-3-46	092-771-8151	33.589569	130.402979
25	済生会	福岡県済生会二日市病院	http://www.saiseikai-futsukaichi.org	260	筑紫野市湯町3-13-1	092-923-1551	33.488618	130.515337
26	済生会	福岡県済生会八幡総合病院	http://www.yahata.saiseikai.or.jp/	403	北九州市八幡東区春の町5-9-27	093-662-5211	33.86718	130.803943
27	共済組合及び連合会	九州中央病院	http://kyushu-ctr-hsp.com	330	福岡市南区塩原3-23-1	092-541-4936	33.563389	130.42474
28	共済組合及び連合会	新小倉病院	http://www.shin-kokura.gr.jp/	300	北九州市小倉北区金田1-3-1	093-571-1031	33.878487	130.866373
29	共済組合及び連合会	千早病院	http://www.chihaya-hp.jp/	175	福岡市東区千早2-30-1	092-661-2211	33.648215	130.434008
30	共済組合及び連合会	浜の町病院	http://www.hamanomachi.jp/	468	福岡市中央区長浜3-3-1	092-721-0831	33.59638	130.39364
31	公益法人	健和会大手町病院	http://www.kenwakai.gr.jp/ootemachi/	499	北九州市小倉北区大手町15-1	093-592-5511	33.875916	130.871639
32	公益法人	社会保険　仲原病院	http://www.nakabaru-hp.jp/	125	糟屋郡志免町別府北2-12-1	092-621-2802	33.607438	130.454736
33	公益法人	たたらリハビリテーション病院	http://www.tatara-reha.jp	199	福岡市東区八田1-4-66	092-691-5508	33.633461	130.456497
34	公益法人	千鳥橋病院	http://www.chidoribashi-hp.or.jp/	350	福岡市博多区千代5-18-1	092-641-2761	33.608083	130.412116
35	公益法人	戸畑けんわ病院	http://www.tobatakenwa.or.jp	303	北九州市戸畑区新地1-5-5	093-881-8181	33.895594	130.827473
36	公益法人	三萩野病院	http://www.m-hp.or.jp/	181	北九州市小倉北区三萩野1-12-18	093-931-7931	33.870988	130.883322
37	医療法人	朝倉健生病院	http://www.a-kensei.jp/	150	朝倉市甘木151-4	0946-22-5511	33.415465	130.662188
38	医療法人	大牟田共立病院	http://www.omutakyoritsu.com	102	大牟田市明治町3-7-5	0944-53-5461	33.04117	130.44658
39	医療法人	貝塚病院	http://www.kaizuka-hosp.or.jp	199	福岡市東区箱崎7-7-27	092-632-3333	33.635938	130.424959
40	医療法人	河野病院	http://www.kawano-hp.com	140	糟屋郡篠栗町大字尾仲139	092-947-0611	33.62102	130.520246
41	医療法人	楠病院	http://www.kusu.or.jp/	48	久留米市日吉町115	0942-35-2725	33.315657	130.516331
42	医療法人	小倉蒲生病院	http://www.kokura-gamou.jp	254	北九州市小倉南区蒲生5-5-1	093-961-3238	33.838083	130.860168
