id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	長崎医療センター	http://www.hosp.go.jp/~nagasaki/	643	大村市久原2-1001-1	0957-52-3121	32.896412	129.973647
2	独立行政法人国立病院機構	長崎川棚医療センター	http://www.nkmc.jp/	285	東彼杵郡川棚町下組郷2005-1	0956-82-3121	33.069087	129.856017
3	独立行政法人国立病院機構	長崎病院	https://nagasaki-hp.hosp.go.jp/	280	長崎市桜木町6-41	095-823-2261	32.728423	129.890185
4	独立行政法人労働者健康安全機構	長崎労災病院	http://nagasakih.johas.go.jp/	350	佐世保市瀬戸越2-12-5	0956-49-2191	33.209761	129.732821
5	独立行政法人地域医療機能推進機構	諫早総合病院	http://hospital-isahaya.jcho.go.jp/	323	諫早市永昌東町24-1	0957-22-1380	32.855357	130.042289
6	都道府県	長崎県上五島病院	http://www.kamigoto-hospital.jp/	186	南松浦郡新上五島町青方郷1549-11	0959-52-3000	32.982555	129.070047
7	都道府県	長崎県対馬病院	http://www.tsushima-hospital.jp/	275	対馬市美津島町鶏知乙1168-7	0920-54-7111	34.286057	129.317228
8	地方独立行政法人	佐世保市総合医療センター	http://www.hospital.sasebo.nagasaki.jp/	594	佐世保市平瀬町9-3	0956-24-1515	33.172899	129.716043
9	地方独立行政法人	長崎みなとメディカルセンター	http://shibyo.nmh.jp	513	長崎市新地町6-39	095-822-3251	32.73973	129.872555
10	地方独立行政法人	北松中央病院	http://www.hokusho.dr-clinic.jp/	189	佐世保市江迎町赤坂299	0956-65-3101	33.297558	129.639102
11	日赤	長崎原爆病院	http://www.nagasaki-med.jrc.or.jp/	297	長崎市茂里町3-15	095-847-1511	32.765181	129.862573
12	済生会	済生会長崎病院	http://www.nsaisei.or.jp/	205	長崎市片渕2-5-1	095-826-9236	32.755932	129.886709
13	共済組合及び連合会	佐世保共済病院	http://www.kkr.sasebo.nagasaki.jp/	413	佐世保市島地町10-17	0956-22-5136	33.170567	129.719438
14	医療法人	愛野記念病院	http://www.ainomhp.jp/	234	雲仙市愛野町甲3838-1	0957-36-0015	32.818644	130.15751
15	医療法人	池田病院	http://www.ikeda-hp.or.jp	90	島原市湖南町6893-2	0957-62-5161	32.778265	130.368312
16	医療法人	大石共立病院	http://oh-ishihospital.jp/	35	長崎市琴海村松町246	095-884-1111	32.881392	129.788674
17	医療法人	郡家病院		50	五島市末広町1-9	0959-72-2436	32.695789	128.843135
18	医療法人	光仁会病院	http://www.kojinkai-hospital.jp/	557	長崎市三原3-643	095-844-3456	32.778736	129.88483
19	医療法人	サンレモリハビリ病院	http://www.sasebo-doujinkai.com/doujinkai/	310	佐世保市江上町4848-1	0956-58-5900	33.069126	129.784585
20	医療法人	清水病院	http://keiseikai.biz/shimizu_web/	181	西彼杵郡時津町浜田郷572	095-882-1225	32.833452	129.859439
21	医療法人	田上病院	http://www.tagami-hp.com/	161	長崎市田上2-14-15	0958-26-8186	32.725887	129.887441
22	医療法人	俵町浜野病院	http://www.wakabakai.or.jp	64	佐世保市俵町22-1	0956-22-6548	33.18788	129.718278
23	医療法人	長崎北徳洲会病院	http://www.nk-toku.jp	108	長崎市滑石1-12-5	095-857-3000	32.807584	129.847671
24	医療法人	長崎みどり病院	http://www.midorimidori.jp/	59	長崎市富士見町18-24	095-833-1350	32.773147	129.854672
25	医療法人	長崎友愛病院	http://www.nagasaki-yuuai.com	70	長崎市蚊焼町2314-1	095-892-0630	32.652029	129.825198
26	医療法人	長崎百合野病院	http://www.yurinohp.jp/	160	西彼杵郡時津町元村郷1155-2	095-857-3366	32.814747	129.849673
27	医療法人	虹が丘病院	http://www.nijigaoka.org/	150	長崎市虹が丘町1-1	095-856-1112	32.798478	129.846327
28	医療法人	松岡病院	http://www.shimabara.jp/ik-matuokahp/	96	島原市江戸丁1919	0957-62-2526	32.788254	130.364594
29	医療法人	三原台病院	http://www.miharadai.or.jp/	232	長崎市三原1-8-35	095-846-8111	32.781153	129.876175
30	社会医療法人	佐世保中央病院	http://www.hakujyujikai.or.jp/chuo/	312	佐世保市大和町15	0956-33-7151	33.157662	129.748987
31	社会医療法人	青洲会病院	http://www.n-seisyukai.jp/	124	平戸市田平町山内免612-4	0950-57-2155	33.364577	129.57528
32	社会医療法人	長崎記念病院	http://www.nmhp.or.jp/	304	長崎市深堀町1-11-54	095-871-1515	32.685444	129.83345
33	社会医療法人	宮崎病院	http://www.sankoukai.net/	153	諫早市久山町1575-1	0957-25-4800	32.830543	130.002125
34	社会福祉法人	十善会病院	http://www.juzenkai-hospital.or.jp/	193	長崎市籠町7-18	095-821-1214	32.739999	129.876693
35	その他法人	長崎掖済会病院	http://www.ekisaikai-nagasaki.com	142	長崎市樺島町5-16	095-824-0610	32.746333	129.872923
36	その他法人	長崎リハビリテーション病院	http://www.zeshinkai.or.jp	143	長崎市銀屋町4-11	095-818-2002	32.745717	129.880775
