id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	熊本医療センター	https://kumamoto.hosp.go.jp	550	熊本市中央区二の丸1-5	096-353-6501	32.80419	130.701172
2	独立行政法人国立病院機構	熊本再春医療センター	http://www.k-saisyunsou.jp/	513	合志市須屋2659	096-242-1000	32.879496	130.751275
3	独立行政法人労働者健康安全機構	熊本労災病院	http://www.kumamotoh.johas.go.jp	410	八代市竹原町1670	0965-33-4151	32.516237	130.627327
4	独立行政法人地域医療機能推進機構	熊本総合病院	http://kumamoto.jcho.go.jp/	400	八代市通町10-10	0965-32-7111	32.507149	130.603058
5	独立行政法人地域医療機能推進機構	人吉医療センター	http://www.hitoyoshi.jcho.go.jp/	252	人吉市老神町35	0966-22-2191	32.209331	130.759138
6	市町村	阿蘇医療センター	http://aso-mc.jp/	124	阿蘇市黒川1266	0967-34-0311	32.935635	131.071826
7	市町村	荒尾市民病院	http://www.hospital.arao.kumamoto.jp/	274	荒尾市荒尾2600	0968-63-1115	32.975736	130.4466
8	市町村	球磨郡公立多良木病院	http://www.taragihp.jp	183	球磨郡多良木町多良木4210	0966-42-2560	32.254327	130.925542
9	市町村	熊本市立熊本市民病院	http://www.cityhosp-kumamoto.jp/	556	熊本市東区湖東1-1-60	096-365-1711	32.781456	130.745532
10	市町村	国保水俣市立総合医療センター	http://minamata-hp.jp/	361	水俣市天神町1-2-1	0966-63-2101	32.209979	130.405839
11	市町村	山鹿市民医療センター	http://yamaga-medical-center.jp/	201	山鹿市山鹿511	0968-44-2185	33.014948	130.698269
12	地方独立行政法人	公立玉名中央病院	http://www.tamana-chp.jp/	302	玉名市中1950	0968-73-5000	32.932187	130.549561
13	日赤	熊本赤十字病院	http://www.kumamoto-med.jrc.or.jp/	490	熊本市東区長嶺南2-1-1	096-384-2111	32.808161	130.763364
14	済生会	済生会熊本病院	http://www.sk-kumamoto.jp/	400	熊本市南区近見5-3-1	096-351-8000	32.76581	130.700855
15	済生会	済生会みすみ病院	https://www.sk-misumi.jp/	128	宇城市三角町波多775-1	0964-53-1611	32.613049	130.48212
16	共済組合及び連合会	熊本中央病院	http://www.kumachu.gr.jp/	361	熊本市南区田井島1-5-1	096-370-3111	32.770337	130.724779
17	医療法人	朝日野総合病院	http://www.asahino.or.jp/	378	熊本市北区室園町12-10	096-344-3000	32.823336	130.724725
18	医療法人	東病院	http://www.touyoukai.jp/	63	熊本市南区出仲間5-2-2	096-378-2222	32.769703	130.716428
19	医療法人	天草第一病院	http://www.eijukai-amakusa.com/	128	天草市今釜新町3413-6	0969-24-3777	32.459842	130.194297
20	医療法人	荒尾中央病院	http://www.senshinkai.or.jp/chuoh/	298	荒尾市増永1544-1	0968-64-1333	32.973083	130.440889
21	医療法人	伊井産婦人科病院	http://www.ii-sanfujinka.com	47	熊本市中央区大江本町8-15	096-364-4003	32.794707	130.723037
22	医療法人	表参道吉田病院	http://www.kiseikai.or.jp	126	熊本市中央区北千反畑町2-5	096-343-6161	32.809015	130.716028
23	医療法人	菊池中央病院	http://www.nobuokakai.ecnet.jp	144	菊池市隈府494	0968-25-3141	32.979629	130.806921
24	医療法人	熊本回生会病院	http://www.reha-kaiseikai.or.jp	161	上益城郡嘉島町鯰1880	096-237-1133	32.747183	130.73755
25	医療法人	熊本機能病院	http://www.juryo.or.jp	395	熊本市北区山室6-8-1	096-345-8111	32.846842	130.718351
26	医療法人	くまもと森都総合病院	http://www.k-shinto.or.jp	199	熊本市中央区大江三丁目2-65	096-364-6000	32.802586	130.723788
27	医療法人	熊本セントラル病院	http://www.kchosp.or.jp/	308	菊地郡大津町室955	096-293-0555	32.876113	130.853366
28	医療法人	桜十字病院	https://sakurajyuji.or.jp	641	熊本市南区御幸木部1-1-1	096-378-1111	32.750517	130.713566
29	医療法人	慈恵病院	http://jikei-hp.or.jp/	98	熊本市西区島崎6-1-27	096-355-6131	32.812327	130.688992
30	医療法人	杉村病院	http://sugimurakai.jp/	177	熊本市中央区本荘3-7-18	096-372-3322	32.794562	130.708708
31	医療法人	青磁野リハビリテーション病院	http://www.seijino.or.jp/	232	熊本市西区島崎2-22-15	096-354-1731	32.807875	130.691704
32	医療法人	成尾整形外科病院	http://www.naruoseikei.com	103	熊本市中央区岡田町12-24	096-371-1188	32.791905	130.721056
33	医療法人	にしくまもと病院	http://www.nishikuma.com	146	熊本市南区富合町古閑1012	096-358-1118	32.709363	130.675949
34	医療法人	西日本病院	http://www.nishinihon.or.jp/	399	熊本市東区八反田3-20-1	096-380-1111	32.821244	130.770701
35	医療法人	比企病院		44	熊本市東区尾ノ上3-1-34	096-381-5151	32.795737	130.754023
36	医療法人	御幸病院	http://www.miyukinosato.or.jp	186	熊本市南区御幸笛田6-7-40	096-378-1166	32.758987	130.71093
37	医療法人	武蔵ヶ丘病院	http://www.tanakakai.com/	145	熊本市北区楠7-15-1	096-339-1161	32.846076	130.762566
38	医療法人	矢部広域病院	http://www.yabekouiki.or.jp/	85	上益城郡山都町下馬尾204	0967-72-1121	32.684801	130.984579
39	医療法人	悠紀会病院	http://www.yukikai.or.jp	139	玉名市上小田1063	0968-74-1131	32.951783	130.586837
40	特定医療法人	熊本第一病院	http://vansay.jp/kumamoto/	125	熊本市南区田迎町田井島224	096-370-7333	32.767687	130.725888
41	特定医療法人	谷田病院	http://www.yatsuda-kai.jp	99	上益城郡甲佐町岩下123	096-234-1248	32.650937	130.810163
42	社会医療法人	宇城総合病院	http://reimeikai.jp/	204	宇城市松橋町久具691	0964-32-3111	32.650778	130.696367
43	社会医療法人	熊本整形外科病院	http://www.marutakai.or.jp	204	熊本市中央区九品寺1-15-7	096-366-3666	32.797383	130.715063
44	社会医療法人	熊本リハビリテーション病院	http://www.marutakai.or.jp/	225	菊池郡菊陽町曲手760	096-232-3111	32.840332	130.835306
45	社会医療法人	大腸肛門病センター高野病院	http://www.takano-hospital.jp	166	熊本市中央区大江3-2-55	096-320-6500	32.802608	130.724859
46	社会医療法人	益城病院	http://www.mashiki.jp/	210	上益城郡益城町馬水123番地	096-286-3611	32.789518	130.800667
47	その他法人	天草地域医療センター	http://www.amed.jp/mc/index.php	210	天草市亀場町食場854-1	0969-24-4111	32.433256	130.180058
