id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	別府医療センター	https://beppu.hosp.go.jp	500	別府市大字内竃1473	0977-67-1111	33.331879	131.485282
2	独立行政法人地域医療機能推進機構	湯布院病院	https://yufuin.jcho.go.jp	199	由布市湯布院町川南252	0977-84-3171	33.256863	131.362724
3	都道府県	大分県立病院	http://hospital.pref.oita.jp/	578	大分市大字豊饒476	097-546-7111	33.206713	131.598594
4	市町村	豊後大野市民病院	http://www.bungo-ohno-hp.jp/	199	豊後大野市緒方町馬場276	0974-42-3121	32.970082	131.475132
5	日赤	大分赤十字病院	http://www.oitasekijyuji.jp	340	大分市千代町3-2-37	097-532-6181	33.243832	131.604378
6	済生会	大分県済生会日田病院	http://saiseikai.hita.oita.jp/	199	日田市大字三和643-7	0973-24-1100	33.345122	130.940425
7	厚生連	大分県厚生連鶴見病院	http://www.ok-tsurumi.com	230	別府市大字鶴見4333	0977-23-7111	33.297488	131.489246
8	共済組合及び連合会	新別府病院	http://www.shinbeppu-hosp.jp/	269	別府市大字鶴見3898	0977-22-0391	33.299301	131.476823
9	医療法人	井野辺病院	http://www.inobe.or.jp/	112	大分市大字中尾255	097-586-5522	33.208558	131.550465
10	医療法人	大分記念病院	http://oitamh.jp	118	大分市羽屋9組5	097-543-5005	33.210116	131.600639
11	医療法人	野口病院	http://www.noguchi-med.or.jp/	120	別府市青山町7-52	0977-21-2151	33.279719	131.49246
12	特定医療法人	黒木記念病院	http://www.kuroki-hp.or.jp	226	別府市照波園町14-28	0977-67-1211	33.319537	131.497318
13	社会医療法人	大分岡病院	http://www.oka-hp.com/	224	大分市西鶴崎3-7-11	097-522-3533	33.240177	131.686014
14	社会医療法人	大久保病院	http://www.okubo-hp.com/	136	竹田市久住町大字栢木6026-2	0974-64-7777	33.05751	131.332119
15	社会医療法人	天心堂へつぎ病院	http://www.tenshindo.org/	188	大分市中戸次二本木5956	097-597-4535	33.158218	131.656917
16	その他法人	アルメイダ病院	http://www.almeida-hospital.com	406	大分市大字宮崎1509-2	097-569-3121	33.192881	131.610083
17	その他法人	津久見市医師会立　津久見中央病院	http://tsukumi.oita.med.or.jp	120	津久見市大字千怒6011	0972-82-1123	33.07212	131.887776
