id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	指宿医療センター	https://ibusuki.hosp.go.jp/	199	指宿市十二町4145	0993-22-2231	31.221424	130.645143
2	独立行政法人国立病院機構	鹿児島医療センター	http://kagomc.jp/	370	鹿児島市城山町8-1	099-223-1151	31.600598	130.555763
3	独立行政法人国立病院機構	南九州病院	http://minamikyusyu.hosp.go.jp	445	姶良市加治木町木田1882	0995-62-2121	31.730708	130.64454
4	市町村	鹿児島市立病院	http://www.kch.kagoshima.jp/	574	鹿児島市上荒田町37-1	099-230-7000	31.574041	130.542028
5	日赤	鹿児島赤十字病院	http://www.kagoshima-med.jrc.or.jp	120	鹿児島市平川町2545	099-261-2111	31.46011	130.513231
6	済生会	済生会鹿児島病院	http://www.saiseikai-kagoshima.jp	70	鹿児島市南林寺町1-11	099-223-0101	31.584819	130.557965
7	済生会	済生会川内病院	http://www.saiseikai-sendai.jp/	244	薩摩川内市原田町2-46	0996-23-5221	31.827283	130.305875
8	公益法人	いづろ今村病院	http://www.jiaikai.or.jp/idzuro-imamura/	145	鹿児島市堀江町17-1	0992-26-2600	31.591156	130.559992
9	公益法人	今村総合病院	http://www.jiaikai.or.jp	376	鹿児島市鴨池新町11-23	099-251-2221	31.556862	130.55786
10	公益法人	大島郡医師会病院	http://hp.oshima-med.or.jp/	188	奄美市名瀬小宿字苗代田3411	0997-54-8111	28.386424	129.474395
11	公益法人	鹿児島市医師会病院	http://www.city.kagoshima.med.or.jp/kasiihp/	199	鹿児島市鴨池新町7-1	099-254-1125	31.559992	130.556367
12	公益法人	川内市医師会立市民病院	http://sendaihp.jp/	224	薩摩川内市永利町4107-7	0996-22-1111	31.797763	130.34928
13	公益法人	曽於医師会立病院	http://www.soo-hp.com	198	曽於市大隅町月野894	099-482-4888	31.570099	131.033623
14	公益法人	南風病院	http://www.nanpuh.or.jp/	338	鹿児島市長田町14-3	099-226-9111	31.604091	130.557251
15	医療法人	池田病院	http://www.ikeda-hp.com	189	鹿屋市下祓川町1830	0994-43-3434	31.412956	130.850442
16	医療法人	指宿さがら病院	http://ibusuki-sagara.jp/	100	指宿市湯の浜1-11-29	0993-22-3079	31.236204	130.644005
17	医療法人	大勝病院	http://ookatsu.jp/	260	鹿児島市真砂本町3-95	099-253-1122	31.557323	130.548512
18	医療法人	大隅鹿屋病院	http://www.kanoya-aishinkai.com/	391	鹿屋市新川町6081-1	0994-40-1111	31.376393	130.860962
19	医療法人	鹿児島徳洲会病院	http://www/kagotoku.jp	310	鹿児島市下荒田3-8-1	099-250-1110	31.57171	130.55571
20	医療法人	加治木温泉病院	http://www.gyokushoukai.com/	270	姶良市加治木町木田4714	0995-62-0001	31.749879	130.663017
21	医療法人	花倉病院	http://www.jinaikai.com/	156	鹿児島市吉野町5147	099-243-5111	31.647727	130.582051
22	医療法人	昭南病院	http://www.aisei-kai.com/	154	曽於市大隅町下窪町1	099-482-3984	31.583368	131.000963
23	医療法人	高田病院	http://www.gyokushoukai.com/	179	鹿児島市堀江町5-1	099-226-4325	31.590269	130.559734
24	医療法人	高原病院	http://www.takahara-net.or.jp/	65	曽於市末吉町栄町2-12-1	0986-76-1050	31.656398	131.018341
25	医療法人	財部記念病院		95	曽於市財部町南俣3619-1	0986-72-1000	31.704149	130.962023
26	医療法人	三宅病院	http://www.miyake-hp.or.jp	130	鹿児島市谷山中央7-3-1	099-268-3512	31.524059	130.51427
27	特定医療法人	霧島杉安病院	http://www.kouseikai.info	163	霧島市霧島田口2143	0995-57-1221	31.847534	130.855681
28	社会医療法人	恒心会おぐら病院	http://www.koshinkai.or.jp	216	鹿屋市笠之原町27-22	0994-44-7171	31.386679	130.881492
29	社会医療法人	相良病院	http://www.sagara.or.jp/	80	鹿児島市松原町3-31	099-224-1800	31.586076	130.557749
30	社会医療法人	種子島医療センター	http://www.tanegashima-mc.jp	204	西之表市西之表7463	0997-22-0960	30.736122	130.999338
31	社会医療法人	米盛病院	http://www.yonemorihp.jp/	305	鹿児島市与次郎1-7-1	099-230-0100	31.570641	130.562733
32	社会福祉法人	オレンジ学園	http://www.sfc-tachibanakai.or.jp/orange	196	霧島市福山町福山838	0995-55-2121	31.655553	130.824358
33	医療生協	総合病院　鹿児島生協病院	http://www.kaseikyohp.jp	306	鹿児島市谷山中央5-20-10	0992-67-1455	31.517802	130.513457
