id	type	name	url	beds	address	tel	lat	lon
1	都道府県	沖縄県立中部病院	https://chubuweb.hosp.pref.okinawa.jp/	559	うるま市宮里281	098-973-4111	26.354635	127.834831
2	都道府県	沖縄県立南部医療センター・こども医療センター	http://www.hosp.pref.okinawa.jp/nanbu/	434	南風原町字新川118-1	098-888-0123	26.205863	127.723734
3	都道府県	沖縄県立北部病院	http://www.hosp.pref.okinawa.jp/hokubu/	327	名護市大中2-12-3	0980-52-2719	26.592307	127.986165
4	都道府県	沖縄県立宮古病院	http://www.hosp.pref.okinawa.jp/miyako/	305	宮古島市平良字下里427-1	0980-72-3151	24.799357	125.276335
5	都道府県	沖縄県立八重山病院	http://yaeyamaweb.hosp.pref.okinawa.jp/	302	石垣市字真栄里584-1	0980-87-5557	24.34348	124.18386
6	地方独立行政法人	那覇市立病院	http://www.nch.naha.okinawa.jp/	470	那覇市古島２丁目３１－１	098-884-5111	26.226856	127.709831
7	日赤	沖縄赤十字病院	http://www.okinawa-rch.jp/	302	那覇市与儀1-3-1	098-853-3134	26.206996	127.692639
8	医療法人	大浜第一病院	http://www.omotokai.or.jp/ohama1/	214	那覇市天久1000	098-866-5171	26.23456	127.684127
9	医療法人	沖縄リハビリテーションセンター病院	http://www.tapic-reha.or.jp/	199	沖縄市比屋根2-15-1	098-982-1777	26.31457	127.824156
10	医療法人	大道中央病院	http://www.youshinkai.jp/	224	那覇市安里1-1-37	098-869-0005	26.219352	127.692742
11	医療法人	ちゅうざん病院	http://www.chuzan.or.jp	216	沖縄市松本6-2-1	098-982-1346	26.354642	127.80982
12	特定医療法人	南部徳洲会病院	http://www.nantoku.org	345	島尻郡八重瀬町字外間171-1	098-998-3221	26.178348	127.715544
13	社会医療法人	豊見城中央病院	https://tomishiro-chp.jp/	378	豊見城市上田25	098-850-3811	26.175845	127.676574
14	社会医療法人	中頭病院	http://www.nakagami.or.jp/	355	沖縄市字登川610	098-939-1300	26.366669	127.825256
15	社会医療法人	ハートライフ病院	http://www.heartlife.or.jp	308	中頭郡中城村伊集208	098-895-3255	26.237873	127.770847
16	医療生協	沖縄協同病院	http://oki-kyo.jp/	280	那覇市古波蔵4-10-55	098-853-1200	26.195937	127.689999
