id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	あきた病院	http://akitahp.jp/AkitaHP_top.html	340	由利本荘市岩城内道川字井戸ノ沢84-40	0184-73-2002	39.560891	140.059091
2	市町村	羽後町立羽後病院	http://www.ugo-h.jp	168	雄勝郡羽後町西馬音内字大戸道44-5	0183-62-1111	39.196374	140.407664
3	市町村	大館市立総合病院	http://www.odate-hp.odate.akita.jp	443	大館市豊町3-1	0186-42-5370	40.273527	140.55504
4	市町村	男鹿みなと市民病院	http://www.ogaminato.jp/	145	男鹿市船川港船川字海岸通り1号8-6	0185-23-2221	39.88249	139.852931
5	市町村	市立角館総合病院	http://kakunodate-hp.com/	206	仙北市角館町岩瀬3	0187-54-2111	39.586754	140.559742
6	市町村	市立田沢湖病院	http://www.hana.or.jp/~thos/	60	仙北市田沢湖生保内字浮世坂17-1	0187-43-1131	39.698517	140.721479
7	市町村	市立横手病院	http://www.yokote-mhp.jp/	229	横手市根岸町5-31	0182-32-5001	39.318504	140.569185
8	地方独立行政法人	秋田県立循環器・脳脊髄センター	http://www.akita-noken.jp/pc/	184	秋田市千秋久保田町6-10	018-833-0115	39.720337	140.12711
9	地方独立行政法人	市立秋田総合病院	http://akita-city-hospital.jp/	456	秋田市川元松丘町4-30	018-823-4171	39.712865	140.102744
10	日赤	秋田赤十字病院	http://www.akita-med.jrc.or.jp/	480	秋田市上北手猿田字苗代沢222-1	018-829-5000	39.686876	140.152804
11	厚生連	秋田厚生医療センター	http://akikumihsp.com	479	秋田市飯島西袋1-1-1	018-880-3000	39.767712	140.093119
12	厚生連	大曲厚生医療センター	http://www.okmc.jp/	437	大仙市大曲通町8-65	0187-63-2111	39.465117	140.476214
13	厚生連	雄勝中央病院	http://www.ogachi-hsp.jp	366	湯沢市山田字勇ヶ岡25	0183-73-5000	39.145274	140.455405
14	厚生連	かづの厚生病院	http://www.hspkazuno.kazuno.akita.jp/	199	鹿角市花輪字向畑18	0186-23-2111	40.21909	140.785385
15	厚生連	北秋田市民病院	http://www.kitaakita-hp.jp/	320	北秋田市下杉字上清水沢16-29	0186-62-7001	40.16747	140.356141
16	厚生連	湖東厚生病院	http://www.koto-ghp.jp/	100	南秋田郡八郎潟町川崎字貝保98-1	018-875-2100	39.945896	140.102469
17	厚生連	能代厚生医療センター	http://yamamoto-hosp.noshiro.akita.jp/	456	能代市落合字上前田地内	0185-52-3111	40.226693	140.023042
18	厚生連	平鹿総合病院	http://www.hiraka-hp.yokote.akita.jp/	586	横手市前郷字八ツ口3-1	0182-32-5121	39.312739	140.549138
19	厚生連	由利組合総合病院	http://www.yuri-hospital.honjo.akita.jp/	606	由利本荘市川口字家後38	0184-27-1200	39.404744	140.060991
20	医療法人	秋田緑ヶ丘病院	http://www.kyusei.or.jp	380	秋田市飯島字堀川84	018-845-2161	39.79015	140.061197
21	医療法人	佐藤病院	http://satohospital.jp/	137	由利本荘市小人町117-3	0184-22-6555	39.380213	140.047139
22	特定医療法人	藤原記念病院	http://www.fujiwarahsp.or.jp/	140	潟上市天王字上江川47	018-878-3131	39.882672	139.988034
23	社会医療法人	中通総合病院	http://www.meiwakai.or.jp/nakadori/	450	秋田市南通みその町3-15	018-833-1122	39.71081	140.123002
24	社会医療法人	本荘第一病院	http://www.honjodaiichihp.com	158	由利本荘市岩渕下110	0184-22-0111	39.3927	140.051291
25	その他法人	能代山本医師会病院	http://ny-ishikaihp.jp/	200	能代市桧山字新田沢105-11	0185-58-3311	40.17789	140.073551
