id	type	name	url	beds	address	tel	lat	lon
1	都道府県	山形県立河北病院	http://www.kahoku-hospital.jp	186	西村山郡河北町谷地字月山堂111	0237-73-3131	38.414307	140.308641
2	都道府県	山形県立こころの医療センター	http://cocorohosp-yamagata.jp/	213	鶴岡市茅原字草見鶴51-1	0235-64-8100	38.756747	139.841842
3	都道府県	山形県立新庄病院	http://www.ysh.pref.yamagata.jp	454	新庄市若葉町12-55	0233-22-5525	38.758416	140.302337
4	都道府県	山形県立中央病院	http://www.ypch.gr.jp/	609	山形市青柳1800	023-685-2626	38.300198	140.346169
5	市町村	公立置賜総合病院	http://www.okitama-hp.or.jp/	520	東置賜郡川西町大字西大塚2000	0238-46-5000	38.050986	140.056739
6	市町村	寒河江市立病院	http://www.city.sagae.yamagata.jp/hospital/hospital/	98	寒河江市大字寒河江字塩水80	0237-86-2101	38.377602	140.263472
7	市町村	鶴岡市立荘内病院	http://www.shonai-hos.jp/	521	鶴岡市泉町4-20	0235-26-5111	38.731761	139.829446
8	市町村	天童市民病院	http://www.tendo-city-hospital.jp	84	天童市駅西五丁目２番１号	023-654-2511	38.354862	140.362747
9	市町村	山形市立病院済生館	https://www.saiseikan.jp/	528	山形市七日町1-3-26	023-625-5555	38.252669	140.337352
10	市町村	米沢市立病院	http://yonezawa-city-hospital.jp	322	米沢市相生町6-36	0238-22-2450	37.904808	140.119476
11	地方独立行政法人	日本海総合病院	http://www.nihonkai-hos.jp/hospital/	634	酒田市あきほ町30	0234-26-2001	38.890516	139.853837
12	済生会	山形済生病院	http://www.ameria.org	473	山形市沖町79-1	023-682-1111	38.284398	140.334605
13	共済組合及び連合会	東北中央病院	https://www.tohoku-ctr-hsp.com/	252	山形市和合町3-2-5	023-623-5111	38.259218	140.361654
14	医療法人	篠田総合病院	http://www.shinoda-hp.or.jp/	383	山形市桜町2-68	023-623-1711	38.251648	140.331254
15	医療法人	庄内余目病院	http://www.amarume-hp.jp/	324	東田川郡庄内町松陽1-1-1	0234-43-3434	38.85197	139.895692
16	医療法人	新庄徳洲会病院	http://www.shin-toku.com	270	新庄市大字鳥越字駒場4623	0233-23-3434	38.7406	140.312716
17	社会医療法人	みゆき会病院	http://www.miyuki.or.jp/	183	上山市弁天2-2-11	023-672-8282	38.169156	140.29229
18	医療生協	鶴岡協立病院	http://y-mcoop.com/hospital/	199	鶴岡市文園町9-34	0235-23-6060	38.714124	139.827605
19	その他法人	三友堂病院	http://www.sanyudo.or.jp	187	米沢市中央6-1-219	0238-24-3700	37.918891	140.105666
