id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	いわき病院	http://iwaki-hosp.jp/	154	いわき市小名浜野田字八合88-1	0246-88-7101	36.982473	140.877179
2	独立行政法人労働者健康安全機構	福島労災病院	http://www.fukushimah.johas.go.jp/	406	いわき市内郷綴町沼尻3	0246-26-1111	37.040281	140.865408
3	独立行政法人地域医療機能推進機構	二本松病院	http://nihonmatsu.jcho.go.jp/	160	二本松市成田町1-553	0243-23-1231	37.590413	140.422175
4	市町村	いわき市医療センター	http://iwaki-city-medical.center.jp/	700	いわき市内郷御厩町久世原16	0246-26-3151	37.041549	140.867213
5	市町村	公立相馬総合病院	http://www.bb.soma.or.jp/~psghjim1/	198	相馬市新沼字坪ケ迫142	0244-36-5101	37.811207	140.921842
6	市町村	公立藤田総合病院	http://www.fujita-hp.jp	311	伊達郡国見町塚野目字三本木14	024-585-2121	37.872721	140.540328
7	地方独立行政法人	福島県立医科大学会津医療センター附属病院	http://www.fmu.ac.jp/amc/	226	会津若松市河東町谷沢字前田21-2	0242-75-2100	37.552254	139.907544
8	日赤	福島赤十字病院	http://www.fukushima-med-jrc.jp/	296	福島市八島町7-7	024-534-6101	37.769178	140.483791
9	済生会	済生会川俣病院	http://www.kawamata.saiseikai.or.jp/	90	伊達郡川俣町大字鶴沢字川端2-4	024-566-2323	37.664181	140.596008
10	済生会	済生会福島総合病院	http://www.saisei.ecnet.jp/	216	福島市大森字下原田25	024-544-5171	37.723594	140.444783
11	厚生連	白河厚生総合病院	http://www.shirakawa-kosei.jp	471	白河市豊地上弥次郎2-1	0248-22-2211	37.145502	140.215269
12	厚生連	塙厚生病院	https://www.hanawa-fkousei.jp/	303	東白川郡塙町塙字大町1-5	0247-43-1145	36.960169	140.407887
13	公益法人	会田病院	http://www.aida-hp.or.jp/	193	西白河郡矢吹町本町216	0248-42-2121	37.208917	140.324936
14	公益法人	北福島医療センター	http://www.jinsenkai.or.jp/kitafukushima/	226	伊達市箱崎東23-1	024-551-0551	37.818137	140.520708
15	公益法人	寿泉堂綜合病院	http://www.jusendo.or.jp	305	郡山市駅前1-1-17	024-932-6363	37.396258	140.385329
16	公益法人	長春館病院	http://www.matsumura-ghp.or.jp/choshunkanHP/choshunkan-top.html	168	いわき市平藤間字川前63-2	0246-39-3090	37.035692	140.970893
17	公益法人	針生ヶ丘病院	http://www.k-washinkai.or.jp/haryu/	407	郡山市大槻町字天正坦11	024-932-0201	37.386227	140.349113
18	公益法人	雲雀ヶ丘病院	http://www.k-washinkai.or.jp/hibari/	254	南相馬市原町区上町1-30	0244-23-4166	37.630576	140.95122
19	公益法人	星総合病院	http://www.hoshipital.jp/	430	郡山市向河原町159-1	024-983-5511	37.402439	140.392714
20	公益法人	松村総合病院	http://www.matsumura-ghp.or.jp/matsumuraGHP/matsumura-top.html	206	いわき市平字小太郎町1-1	0246-23-2161	37.052535	140.891888
21	医療法人	飯塚病院	http://www.sakuunkai.or.jp/iizuka	410	喜多方市松山町村松字北原3634-1	0241-24-3421	37.681467	139.869047
22	医療法人	磐城中央病院	http://www.shouyoukai.or.jp	60	いわき市小名浜南富岡字富士前41	0246-53-2267	36.958704	140.88129
23	医療法人	いわき湯本病院	http://iwakiyumoto-hp.or.jp/	154	いわき市常磐湯本町台山6	0246-42-3188	37.011	140.849737
24	医療法人	かしま病院	http://www.kashima.jp	232	いわき市鹿島町下蔵持字中沢目22-1	0246-58-8010	36.992946	140.911182
25	医療法人	呉羽総合病院	http://www.kureha-hosp.jp/	199	いわき市錦町落合1-1	0246-63-2181	36.899914	140.782552
26	医療法人	福島西部病院	http://www.keiai-kai.com/seibu/	99	福島市東中央3-15	024-533-2121	37.762125	140.437247
27	医療法人	枡記念病院	http://www.masu-med.or.jp/masu_memorial	216	二本松市住吉100	0243-22-3100	37.554914	140.403821
28	医療法人	松尾病院	http://matsuo-iwaki.or.jp/	199	いわき市平字愛谷町4-1-4	0246-22-4421	37.051583	140.907441
29	社会医療法人	あづま脳神経外科病院	http://www.azumanh.or.jp	168	福島市大森字柳下16-1	024-546-3911	37.739669	140.445177
30	その他法人	会津中央病院	http://www.onchikai.jp	713	会津若松市鶴賀町1-1	0242-25-1515	37.521936	139.944862
31	その他法人	太田熱海病院	http://www.ohta-hp.or.jp/n_atami/a-top.htm	399	郡山市熱海町熱海5-240	024-984-0088	37.486361	140.263506
32	その他法人	大原医療センター	http://www.ohara-hp.or.jp/iryou/	190	福島市鎌田字中江33	024-554-2001	37.796593	140.47749
33	その他法人	大原綜合病院	http://www.ohara-hp.or.jp/ohara/	353	福島市上町6-1	024-526-0300	37.753198	140.468382
34	その他法人	竹田綜合病院	http://www.takeda.or.jp/	837	会津若松市山鹿町3-27	0242-27-5511	37.490038	139.922569
35	その他法人	附属太田西ノ内病院	https://www.ohta-hp.or.jp/n_nishi/n_top.htm	1086	郡山市西ノ内2-5-20	024-925-1188	37.406532	140.366008
36	その他法人	附属　総合南東北病院	http://www.minamitohoku.or.jp	461	郡山市八山田七丁目115番地	024-934-5322	37.423105	140.383278
