id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	茨城東病院	http://www.ibarakihigashi-hospital.jp/	346	那珂郡東海村照沼825	029-282-1151	36.437615	140.595232
2	独立行政法人国立病院機構	霞ヶ浦医療センター	http://kasumi-hosp.jp/	250	土浦市下高津2-7-14	029-822-5050	36.072949	140.192823
3	独立行政法人国立病院機構	水戸医療センター	http://www.hosp.go.jp/~mito-mc/	500	東茨城郡茨城町桜の郷280	029-240-7711	36.324115	140.40926
4	国立大学法人	筑波大学附属病院	http://www.hosp.tsukuba.ac.jp/	800	つくば市天久保2-1-1	029-853-3900	36.092487	140.101107
5	都道府県	茨城県立こども病院	http://ibaraki-kodomo.com/	115	水戸市双葉台3-3-1	0292-54-1151	36.399217	140.394024
6	都道府県	茨城県立中央病院	http://www.hospital.pref.ibaraki.jp/chuo/	500	笠間市鯉淵6528	0296-77-1121	36.350799	140.31924
7	市町村	北茨城市民病院	http://kitaibaraki.info/	183	北茨城市関南町関本下1050	0293-46-1121	36.843301	140.77138
8	市町村	村立東海病院	http://www.tokai-hp.jp/	80	那珂郡東海村村松2081-2	029-282-2188	36.458726	140.574313
9	地方独立行政法人	茨城県西部メディカルセンター	http://www.iwmo.or.jp	250	筑西市大塚555	0296-24-9111	36.289565	140.010328
10	日赤	古河赤十字病院	http://www.koga.jrc.or.jp/	200	古河市下山町1150	0280-23-7111	36.188052	139.722968
11	日赤	水戸赤十字病院	http://www.mito.jrc.or.jp	442	水戸市三の丸3-12-48	029-221-5177	36.371244	140.48655
12	済生会	神栖済生会病院	http://www.kamisusaisei.jp	179	神栖市知手中央7-2-45	0299-97-2111	35.872618	140.709056
13	済生会	常陸大宮済生会病院	http://ho-saisei.jp/	160	常陸大宮市田子内町3033-3	0295-52-5151	36.559946	140.400865
14	済生会	水戸済生会総合病院	http://www.mito-saisei.jp/	472	水戸市双葉台3-3-10	029-254-5151	36.398406	140.394651
15	済生会	龍ケ崎済生会病院	http://www.ryugasaki-hp.org	210	龍ケ崎市中里1-1	0297-63-7111	35.927806	140.204487
16	厚生連	茨城西南医療センター病院	http://www.seinan-mch.or.jp	358	猿島郡境町2190	0280-87-8111	36.119008	139.796199
17	厚生連	県北医療センター高萩協同病院	http://www.takahagi-kyodo-hp.jp	199	高萩市大字上手綱上ヶ穂町1006-9	0293-23-1122	36.732796	140.684255
18	厚生連	ＪＡとりで総合医療センター	http://www.toride-medical.or.jp/	414	取手市本郷2-1-1	0297-74-5551	35.911039	140.068952
19	厚生連	総合病院土浦協同病院	http://www.tkgh.jp	800	土浦市おおつ野4-1-1	029-830-3711	36.08372	140.258557
20	厚生連	総合病院水戸協同病院	http://www.mitokyodo-hp.jp	389	水戸市宮町3-2-7	029-231-2371	36.37297	140.471487
21	厚生連	土浦協同病院なめがた地域医療センタ－	http://www.ndgh.jp	199	行方市井上藤井98-8	0299-56-0600	36.069314	140.459371
22	共済組合及び連合会	水府病院	http://www.kkr-suifu.com/	131	水戸市赤塚1-1	029-309-5000	36.382259	140.414281
23	公益法人	石岡第一病院	http://www.ishioka1.com	126	石岡市東府中1-7	0299-22-5151	36.20335	140.293291
24	公益法人	鹿島病院	http://www.kashimahp.jp	261	鹿嶋市平井1129-2	0299-82-1271	35.964581	140.661908
25	公益法人	筑波メディカルセンター病院	http://www.tmch.or.jp/hosp/	453	つくば市天久保1-3-1	029-851-3511	36.092061	140.106187
26	公益法人	取手北相馬保健医療センター医師会病院	http://www.ishikaibyouin.or.jp/	199	取手市野々井1926	0297-78-6111	35.917394	140.025297
27	医療法人	会田記念リハビリテーション病院	http://www.aida-hp.jp	178	守谷市同地字仲山360	0297-48-6111	35.953555	140.017514
28	医療法人	いちはら病院	http://www.ichihara-hospital.or.jp	199	つくば市大曽根3681	029-864-0303	36.138909	140.079332
29	医療法人	牛久愛和総合病院	http://www.jojinkai.com	489	牛久市猪子町896	029-873-3111	35.998623	140.143716
30	医療法人	大洗海岸病院	http://www.watanabekai.net	177	東茨城郡大洗町大貫町915	029-267-2191	36.301626	140.558734
31	医療法人	川崎胃腸科肛門科病院	http://www.kawahp.net	45	日立市桜川町3-3-19	0294-36-1800	36.561736	140.63482
32	医療法人	神立病院	http://www.seisyuukai.com/kandatsu/	160	土浦市神立中央5-11-2	029-831-9711	36.120408	140.229352
33	医療法人	志村大宮病院	http://www.hakujinkai.com/	178	常陸大宮市上町313	0295-53-1111	36.549311	140.413937
34	医療法人	聖麗メモリアル病院	http://www.seirei-memorial.com/	72	日立市茂宮町841番地	0294-52-8500	36.50297	140.594712
35	医療法人	筑波記念病院	http://www.tsukuba-kinen.or.jp	487	つくば市要1187-299	029-864-1212	36.107687	140.078489
36	医療法人	筑波病院	http://tsukuba-hospital.jp/	199	つくば市大角豆1761	029-855-0777	36.069133	140.137414
37	医療法人	美浦中央病院	http://www.mihochu.or.jp	186	稲敷郡美浦村宮地596	029-885-3551	36.003563	140.316298
38	医療法人	宮本病院	http://www.miyamoto-hp.or.jp/	417	稲敷市幸田1247	0299-79-2114	35.940316	140.385813
39	医療法人	守谷慶友病院	http://www.keiyu.or.jp	178	守谷市立沢980-1	0297-45-3311	35.953284	139.978796
40	特定医療法人	つくば双愛病院	http://www.tsukuba-soai.com/	176	つくば市高崎1008	029-873-2511	36.003909	140.115985
41	特定医療法人	日鉱記念病院	http://www.nikko-memorial-hos.or.jp	98	日立市神峰町2-12-8	0294-24-1212	36.599296	140.653584
42	社会医療法人	総合守谷第一病院	http://www.moriya.daiichi.or.jp/	199	守谷市松前台1-17	0297-45-5111	35.967311	139.96705
43	社会医療法人	つくばセントラル病院	http://www.central.or.jp/	313	牛久市柏田町1589-3	029-872-1771	35.98261	140.157659
44	社会医療法人	ひたち医療センター	http://www.hitachi-mch.or.jp	273	日立市鮎川町2-8-16	0294-36-2551	36.566235	140.636989
45	私立学校法人	東京医科大学茨城医療センター		501	稲敷郡阿見町中央3-20-1	029-887-1161	36.036552	140.216798
46	社会福祉法人	白十字総合病院	http://www.hakujyuji.jp/	304	神栖市賀2148	0299-92-3311	35.900485	140.624068
47	医療生協	城南病院	http://www.ibaraki-health.coop/jyunan/	113	水戸市城南3-15-17	029-226-3021	36.364255	140.483323
48	会社	日立総合病院	http://www.hitachi.co.jp/hospital/hitachi/	651	日立市城南町2-1-1	0294-23-1111	36.590102	140.644711
49	会社	ひたちなか総合病院	http://www.hitachi.co.jp/hospital/hitachinaka/	302	ひたちなか市石川町20-1	029-354-5111	36.392897	140.529492
50	その他法人	石岡市医師会病院	http://www.ishiokashi-ishikai.or.jp	74	石岡市大砂10528-25	0299-22-4321	36.224971	140.247706
51	その他法人	きぬ医師会病院	http://www.kinunet.or.jp/	124	常総市新井木町13-3	0297-23-1771	36.025227	139.998366
52	その他法人	筑波学園病院	http://www.gakuen-hospital.or.jp/	331	つくば市上横場2573-1	029-836-1355	36.038251	140.09762
53	その他法人	友愛記念病院	http://www.yuai-hosp-jp.org	325	古河市東牛谷707	0280-97-3000	36.208051	139.745005
