id	type	name	url	beds	address	tel	lat	lon
1	独立行政法人国立病院機構	栃木医療センター	https://tochigi.hosp.go.jp/	350	宇都宮市中戸祭1-10-37	028-622-5241	36.5794	139.866525
2	独立行政法人地域医療機能推進機構	うつのみや病院	http://utsunomiya.jcho.go.jp	199	宇都宮市南高砂町11-17	028-653-1001	36.482671	139.871017
3	市町村	那須南病院	http://www.minaminasukouiki.jp/?cat=3	150	那須烏山市中央3-2-13	0287-84-3911	36.660703	140.152721
4	地方独立行政法人	新小山市民病院	http://hospital-shinoyama.jp/	300	小山市大字神鳥谷2251-1	0285-36-0200	36.275458	139.800093
5	日赤	足利赤十字病院	http://www.ashikaga.jrc.or.jp/	555	足利市五十部町284-1	0284-21-0121	36.339571	139.42185
6	日赤	那須赤十字病院	http://www.nasu.jrc.or.jp	460	大田原市中田原1081-4	0287-23-1122	36.88177	140.037537
7	日赤	芳賀赤十字病院	http://www.haga.jrc.or.jp	364	真岡市中郷271	0285-82-2195	36.451602	140.011897
8	済生会	済生会宇都宮病院	http://www.saimiya.com/	644	宇都宮市竹林町911-1	028-626-5500	36.579158	139.897347
9	厚生連	上都賀総合病院	http://www.kamituga-hp.or.jp/	352	鹿沼市下田町1-1033	0289-64-2161	36.561696	139.750634
10	厚生連	佐野厚生総合病院	http://jasanoko.or.jp	531	佐野市堀米町1728	0283-22-5222	36.325121	139.573464
11	公益法人	日光市民病院	https://www.jadecom.or.jp/jadecomhp/nikko/html/	100	日光市清滝安良沢町1752-10	0288-50-1188	36.749694	139.576304
12	医療法人	石橋総合病院	http://ishibashi-hp.jp	185	下野市下古山1-15-4	0285-53-1134	36.441861	139.855173
13	医療法人	今井病院	http://www.anz.or.jp/	186	足利市田中町100	0284-71-0181	36.323718	139.451008
14	医療法人	宇都宮東病院	http://www.hokutokai.or.jp/hospital/	142	宇都宮市平出町368-8	028-664-1551	36.570913	139.946999
15	医療法人	黒磯病院		55	那須塩原市高砂町3-5	0287-62-0961	36.973854	140.053505
16	医療法人	白澤病院	http://shirasawa-hosp.jp/	159	宇都宮市白沢町1813-16	028-673-0011	36.630756	139.933491
17	医療法人	鈴木病院	http://www.2854.com/	56	足利市栄町1-3412	0284-21-2854	36.335345	139.439611
18	医療法人	那須脳神経外科病院	http://www.nasu-nouge.or.jp/	100	那須塩原市野間字神沼453-14	0287-62-5500	36.930702	140.079226
19	医療法人	野木病院	http://www.nogihosp.or.jp/nogi-hospital/	52	下都賀郡野木町友沼5320-2	0280-57-0578	36.228715	139.728401
20	医療法人	福島整形外科病院	https://www.f-o-h.net/	60	那須塩原市弥生町1-10	0287-62-0805	36.973182	140.055814
21	医療法人	本庄記念病院	http://www.honhp.or.jp/	92	足利市堀込町2859	0284-73-1199	36.32008	139.435083
22	社会医療法人	宇都宮記念病院	http://www.nakayamakai.com	193	宇都宮市大通り1-3-16	028-622-1991	36.560635	139.891397
23	社会医療法人	菅間記念病院	http://www.hakuai.or.jp/modules/kamma/index.html	338	那須塩原市大黒町2-5	0287-62-0733	36.971332	140.04948
24	私立学校法人	国際医療福祉大学病院	http://hospital.iuhw.ac.jp/	353	那須塩原市井口537-3	0287-37-2221	36.911295	139.971262
25	私立学校法人	自治医科大学附属病院	http://www.jichi.ac.jp/hospital/top/	1132	下野市薬師寺3311-1	0285-58-7103	36.399207	139.860398
26	私立学校法人	獨協医科大学病院	http://www.dokkyomed.ac.jp/hosp-m/	1195	下都賀郡壬生町北小林880	0282-86-1111	36.472839	139.823689
27	その他法人	宇都宮リハビリテーション病院	http://www.utsunomiyarh-hp.jp/index.php	96	宇都宮市御幸ケ原町43-2	028-662-6789	36.590992	139.926946
28	その他法人	新上三川病院	http://www.kaminokawa-hp.jp/	209	河内郡上三川町上三川2360	0285-56-7111	36.435393	139.920272
29	その他法人	とちぎメディカルセンターしもつが	https://www.tochigi-medicalcenter.or.jp/shimotsuga/	307	栃木市大平町川連420-1	0282-22-2551	36.365933	139.727044
30	その他法人	とちぎメディカルセンターとちのき	https://www.tochigi-medicalcenter.or.jp/tochinoki/	250	栃木市大町39-5	0282-22-7722	36.399371	139.735066
